Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
2011,Number,F,Canton 10,Live births,227
2012,Number,Total,Federation of Bosnia and Herzegovina,Live births,21389
2012,Number,Total,Una-Sana Canton,Live births,2351
2012,Number,Total,Posavina Canton,Live births,220
2012,Number,Total,Tuzla Canton,Live births,4587
2012,Number,Total,Zenica-Doboj Canton,Live births,3807
2012,Number,Total,Bosnian-Podrinje Canton,Live births,216
2012,Number,Total,Central Bosnia Canton,Live births,2361
2012,Number,Total,Herzegovina-Neretva Canton,Live births,1901
2012,Number,Total,West Herzegovina Canton,Live births,798
2012,Number,Total,Sarajevo Canton,Live births,4682
2012,Number,Total,Canton 10,Live births,466
2012,Number,M,Federation of Bosnia and Herzegovina,Live births,11110
2012,Number,M,Una-Sana Canton,Live births,1227
2012,Number,M,Posavina Canton,Live births,125
2012,Number,M,Tuzla Canton,Live births,2351
2012,Number,M,Zenica-Doboj Canton,Live births,1995
2012,Number,M,Bosnian-Podrinje Canton,Live births,121
2012,Number,M,Central Bosnia Canton,Live births,1207
2012,Number,M,Herzegovina-Neretva Canton,Live births,985
2012,Number,M,West Herzegovina Canton,Live births,397
2012,Number,M,Sarajevo Canton,Live births,2465
2012,Number,M,Canton 10,Live births,237
2012,Number,F,Federation of Bosnia and Herzegovina,Live births,10279
2012,Number,F,Una-Sana Canton,Live births,1124
2012,Number,F,Posavina Canton,Live births,95
2012,Number,F,Tuzla Canton,Live births,2236
2012,Number,F,Zenica-Doboj Canton,Live births,1812
2012,Number,F,Bosnian-Podrinje Canton,Live births,95
2012,Number,F,Central Bosnia Canton,Live births,1154
2012,Number,F,Herzegovina-Neretva Canton,Live births,916
2012,Number,F,West Herzegovina Canton,Live births,401
2012,Number,F,Sarajevo Canton,Live births,2217
2012,Number,F,Canton 10,Live births,229
2013,Number,Total,Federation of Bosnia and Herzegovina,Live births,20083
2013,Number,Total,Una-Sana Canton,Live births,2174
2013,Number,Total,Posavina Canton,Live births,167
2013,Number,Total,Tuzla Canton,Live births,4323
2013,Number,Total,Zenica-Doboj Canton,Live births,3416
2013,Number,Total,Bosnian-Podrinje Canton,Live births,236
2013,Number,Total,Central Bosnia Canton,Live births,2184
2013,Number,Total,Herzegovina-Neretva Canton,Live births,1831
2013,Number,Total,West Herzegovina Canton,Live births,773
2013,Number,Total,Sarajevo Canton,Live births,4550
2013,Number,Total,Canton 10,Live births,429
2013,Number,M,Federation of Bosnia and Herzegovina,Live births,10358
2013,Number,M,Una-Sana Canton,Live births,1108
2013,Number,M,Posavina Canton,Live births,85
2013,Number,M,Tuzla Canton,Live births,2243
2013,Number,M,Zenica-Doboj Canton,Live births,1799
2013,Number,M,Bosnian-Podrinje Canton,Live births,132
2013,Number,M,Central Bosnia Canton,Live births,1126
2013,Number,M,Herzegovina-Neretva Canton,Live births,939
2013,Number,M,West Herzegovina Canton,Live births,399
2013,Number,M,Sarajevo Canton,Live births,2305
2013,Number,M,Canton 10,Live births,222
2013,Number,F,Federation of Bosnia and Herzegovina,Live births,9725
2013,Number,F,Una-Sana Canton,Live births,1066
2013,Number,F,Posavina Canton,Live births,82
2013,Number,F,Tuzla Canton,Live births,2080
2013,Number,F,Zenica-Doboj Canton,Live births,1617
2013,Number,F,Bosnian-Podrinje Canton,Live births,104
2013,Number,F,Central Bosnia Canton,Live births,1058
2013,Number,F,Herzegovina-Neretva Canton,Live births,892
2013,Number,F,West Herzegovina Canton,Live births,374
2013,Number,F,Sarajevo Canton,Live births,2245
2013,Number,F,Canton 10,Live births,207
2014,Number,Total,Federation of Bosnia and Herzegovina,Live births,19823
2014,Number,Total,Una-Sana Canton,Live births,2154
2014,Number,Total,Posavina Canton,Live births,212
2014,Number,Total,Tuzla Canton,Live births,4069
2014,Number,Total,Zenica-Doboj Canton,Live births,3391
2014,Number,Total,Bosnian-Podrinje Canton,Live births,268
2014,Number,Total,Central Bosnia Canton,Live births,2090
2014,Number,Total,Herzegovina-Neretva Canton,Live births,1824
2014,Number,Total,West Herzegovina Canton,Live births,816
2014,Number,Total,Sarajevo Canton,Live births,4566
2014,Number,Total,Canton 10,Live births,433
2014,Number,M,Federation of Bosnia and Herzegovina,Live births,10156
2014,Number,M,Una-Sana Canton,Live births,1112
2014,Number,M,Posavina Canton,Live births,107
2014,Number,M,Tuzla Canton,Live births,2091
2014,Number,M,Zenica-Doboj Canton,Live births,1724
2014,Number,M,Bosnian-Podrinje Canton,Live births,134
2014,Number,M,Central Bosnia Canton,Live births,1088
2014,Number,M,Herzegovina-Neretva Canton,Live births,921
2014,Number,M,West Herzegovina Canton,Live births,403
2014,Number,M,Sarajevo Canton,Live births,2355
2014,Number,M,Canton 10,Live births,221
2014,Number,F,Federation of Bosnia and Herzegovina,Live births,9667
2014,Number,F,Una-Sana Canton,Live births,1042
2014,Number,F,Posavina Canton,Live births,105
2014,Number,F,Tuzla Canton,Live births,1978
2014,Number,F,Zenica-Doboj Canton,Live births,1667
2014,Number,F,Bosnian-Podrinje Canton,Live births,134
2014,Number,F,Central Bosnia Canton,Live births,1002
2014,Number,F,Herzegovina-Neretva Canton,Live births,903
2014,Number,F,West Herzegovina Canton,Live births,413
2014,Number,F,Sarajevo Canton,Live births,2211
2014,Number,F,Canton 10,Live births,212
2015,Number,Total,Federation of Bosnia and Herzegovina,Live births,19317
2015,Number,Total,Una-Sana Canton,Live births,2096
2015,Number,Total,Posavina Canton,Live births,193
2015,Number,Total,Tuzla Canton,Live births,3888
2015,Number,Total,Zenica-Doboj Canton,Live births,3438
2015,Number,Total,Bosnian-Podrinje Canton,Live births,214
2015,Number,Total,Central Bosnia Canton,Live births,1965
2015,Number,Total,Herzegovina-Neretva Canton,Live births,1762
2015,Number,Total,West Herzegovina Canton,Live births,734
2015,Number,Total,Sarajevo Canton,Live births,4619
2015,Number,Total,Canton 10,Live births,408
2015,Number,M,Federation of Bosnia and Herzegovina,Live births,9868
2015,Number,M,Una-Sana Canton,Live births,1098
2015,Number,M,Posavina Canton,Live births,108
2015,Number,M,Tuzla Canton,Live births,1919
2015,Number,M,Zenica-Doboj Canton,Live births,1782
2015,Number,M,Bosnian-Podrinje Canton,Live births,114
2015,Number,M,Central Bosnia Canton,Live births,1047
2015,Number,M,Herzegovina-Neretva Canton,Live births,913
2015,Number,M,West Herzegovina Canton,Live births,390
2015,Number,M,Sarajevo Canton,Live births,2304
2015,Number,M,Canton 10,Live births,193
2015,Number,F,Federation of Bosnia and Herzegovina,Live births,9449
2015,Number,F,Una-Sana Canton,Live births,998
2015,Number,F,Posavina Canton,Live births,85
2015,Number,F,Tuzla Canton,Live births,1969
2015,Number,F,Zenica-Doboj Canton,Live births,1656
2015,Number,F,Bosnian-Podrinje Canton,Live births,100
2015,Number,F,Central Bosnia Canton,Live births,918
2015,Number,F,Herzegovina-Neretva Canton,Live births,849
2015,Number,F,West Herzegovina Canton,Live births,344
2015,Number,F,Sarajevo Canton,Live births,2315
2015,Number,F,Canton 10,Live births,215
2016,Number,Total,Federation of Bosnia and Herzegovina,Live births,19655
2016,Number,Total,Una-Sana Canton,Live births,2105
2016,Number,Total,Posavina Canton,Live births,144
2016,Number,Total,Tuzla Canton,Live births,3903
2016,Number,Total,Zenica-Doboj Canton,Live births,3452
2016,Number,Total,Bosnian-Podrinje Canton,Live births,234
2016,Number,Total,Central Bosnia Canton,Live births,2135
2016,Number,Total,Herzegovina-Neretva Canton,Live births,1833
2016,Number,Total,West Herzegovina Canton,Live births,709
2016,Number,Total,Sarajevo Canton,Live births,4774
2016,Number,Total,Canton 10,Live births,366
2016,Number,M,Federation of Bosnia and Herzegovina,Live births,10214
2016,Number,M,Una-Sana Canton,Live births,1090
2016,Number,M,Posavina Canton,Live births,75
2016,Number,M,Tuzla Canton,Live births,1995
2016,Number,M,Zenica-Doboj Canton,Live births,1816
2016,Number,M,Bosnian-Podrinje Canton,Live births,131
2016,Number,M,Central Bosnia Canton,Live births,1106
2016,Number,M,Herzegovina-Neretva Canton,Live births,915
2016,Number,M,West Herzegovina Canton,Live births,371
2016,Number,M,Sarajevo Canton,Live births,2516
2016,Number,M,Canton 10,Live births,199
2016,Number,F,Federation of Bosnia and Herzegovina,Live births,9441
2016,Number,F,Una-Sana Canton,Live births,1015
2016,Number,F,Posavina Canton,Live births,69
2016,Number,F,Tuzla Canton,Live births,1908
2016,Number,F,Zenica-Doboj Canton,Live births,1636
2016,Number,F,Bosnian-Podrinje Canton,Live births,103
2016,Number,F,Central Bosnia Canton,Live births,1029
2016,Number,F,Herzegovina-Neretva Canton,Live births,918
2016,Number,F,West Herzegovina Canton,Live births,338
2016,Number,F,Sarajevo Canton,Live births,2258
2016,Number,F,Canton 10,Live births,167
2017,Number,Total,Federation of Bosnia and Herzegovina,Live births,19824
2017,Number,Total,Una-Sana Canton,Live births,2057
2017,Number,Total,Posavina Canton,Live births,154
2017,Number,Total,Tuzla Canton,Live births,3966
2017,Number,Total,Zenica-Doboj Canton,Live births,3585
2017,Number,Total,Bosnian-Podrinje Canton,Live births,241
2017,Number,Total,Central Bosnia Canton,Live births,2167
2017,Number,Total,Herzegovina-Neretva Canton,Live births,1712
2017,Number,Total,West Herzegovina Canton,Live births,709
2017,Number,Total,Sarajevo Canton,Live births,4856
2017,Number,Total,Canton 10,Live births,377
2017,Number,M,Federation of Bosnia and Herzegovina,Live births,10247
2017,Number,M,Una-Sana Canton,Live births,1051
2017,Number,M,Posavina Canton,Live births,75
2017,Number,M,Tuzla Canton,Live births,2036
2017,Number,M,Zenica-Doboj Canton,Live births,1827
2017,Number,M,Bosnian-Podrinje Canton,Live births,133
2017,Number,M,Central Bosnia Canton,Live births,1189
2017,Number,M,Herzegovina-Neretva Canton,Live births,919
2017,Number,M,West Herzegovina Canton,Live births,364
2017,Number,M,Sarajevo Canton,Live births,2459
2017,Number,M,Canton 10,Live births,194
2017,Number,F,Federation of Bosnia and Herzegovina,Live births,9577
2017,Number,F,Una-Sana Canton,Live births,1006
2017,Number,F,Posavina Canton,Live births,79
2017,Number,F,Tuzla Canton,Live births,1930
2017,Number,F,Zenica-Doboj Canton,Live births,1758
2017,Number,F,Bosnian-Podrinje Canton,Live births,108
2017,Number,F,Central Bosnia Canton,Live births,978
2017,Number,F,Herzegovina-Neretva Canton,Live births,793
2017,Number,F,West Herzegovina Canton,Live births,345
2017,Number,F,Sarajevo Canton,Live births,2397
2017,Number,F,Canton 10,Live births,183
2018,Number,Total,Federation of Bosnia and Herzegovina,Live births,18899
2018,Number,Total,Una-Sana Canton,Live births,1804
2018,Number,Total,Posavina Canton,Live births,151
2018,Number,Total,Tuzla Canton,Live births,3723
2018,Number,Total,Zenica-Doboj Canton,Live births,3488
2018,Number,Total,Bosnian-Podrinje Canton,Live births,240
2018,Number,Total,Central Bosnia Canton,Live births,2040
2018,Number,Total,Herzegovina-Neretva Canton,Live births,1790
2018,Number,Total,West Herzegovina Canton,Live births,760
2018,Number,Total,Sarajevo Canton,Live births,4530
2018,Number,Total,Canton 10,Live births,373
2018,Number,M,Federation of Bosnia and Herzegovina,Live births,9742
2018,Number,M,Una-Sana Canton,Live births,975
2018,Number,M,Posavina Canton,Live births,68
2018,Number,M,Tuzla Canton,Live births,1895
2018,Number,M,Zenica-Doboj Canton,Live births,1760
2018,Number,M,Bosnian-Podrinje Canton,Live births,125
2018,Number,M,Central Bosnia Canton,Live births,1059
2018,Number,M,Herzegovina-Neretva Canton,Live births,914
2018,Number,M,West Herzegovina Canton,Live births,397
2018,Number,M,Sarajevo Canton,Live births,2340
2018,Number,M,Canton 10,Live births,209
2019,Number,M,Federation of Bosnia and Herzegovina,Live births,9342
2018,Number,F,Federation of Bosnia and Herzegovina,Live births,9157
2018,Number,F,Una-Sana Canton,Live births,829
2018,Number,F,Posavina Canton,Live births,83
2018,Number,F,Tuzla Canton,Live births,1828
2018,Number,F,Zenica-Doboj Canton,Live births,1728
2018,Number,F,Bosnian-Podrinje Canton,Live births,115
2018,Number,F,Central Bosnia Canton,Live births,981
2018,Number,F,Herzegovina-Neretva Canton,Live births,876
2018,Number,F,West Herzegovina Canton,Live births,363
2018,Number,F,Sarajevo Canton,Live births,2190
2018,Number,F,Canton 10,Live births,164
2019,Number,Total,Federation of Bosnia and Herzegovina,Live births,18019
2019,Number,Total,Una-Sana Canton,Live births,1735
2019,Number,Total,Posavina Canton,Live births,124
2019,Number,Total,Tuzla Canton,Live births,3636
2019,Number,Total,Zenica-Doboj Canton,Live births,3337
2019,Number,Total,Bosnian-Podrinje Canton,Live births,200
2019,Number,Total,Central Bosnia Canton,Live births,1929
2019,Number,Total,Herzegovina-Neretva Canton,Live births,1632
2019,Number,Total,West Herzegovina Canton,Live births,729
2019,Number,Total,Sarajevo Canton,Live births,4339
2019,Number,Total,Canton 10,Live births,358
2019,Number,M,Federation of Bosnia and Herzegovina,Live births,9342
2019,Number,M,Una-Sana Canton,Live births,876
2019,Number,M,Posavina Canton,Live births,68
2019,Number,M,Tuzla Canton,Live births,1887
2019,Number,M,Zenica-Doboj Canton,Live births,1733
2019,Number,M,Bosnian-Podrinje Canton,Live births,100
2019,Number,M,Central Bosnia Canton,Live births,1041
2019,Number,M,Herzegovina-Neretva Canton,Live births,823
2019,Number,M,West Herzegovina Canton,Live births,381
2019,Number,M,Sarajevo Canton,Live births,2249
2019,Number,M,Canton 10,Live births,184
2019,Number,F,Federation of Bosnia and Herzegovina,Live births,8677
2019,Number,F,Una-Sana Canton,Live births,859
2019,Number,F,Posavina Canton,Live births,56
2019,Number,F,Tuzla Canton,Live births,1749
2019,Number,F,Zenica-Doboj Canton,Live births,1604
2019,Number,F,Bosnian-Podrinje Canton,Live births,100
2019,Number,F,Central Bosnia Canton,Live births,888
2019,Number,F,Herzegovina-Neretva Canton,Live births,809
2019,Number,F,West Herzegovina Canton,Live births,348
2019,Number,F,Sarajevo Canton,Live births,2090
2019,Number,F,Canton 10,Live births,174
2020,Number,Total,Federation of Bosnia and Herzegovina,Live births,17211
2020,Number,Total,Una-Sana Canton,Live births,1552
2020,Number,Total,Posavina Canton,Live births,128
2020,Number,Total,Tuzla Canton,Live births,3425
2020,Number,Total,Zenica-Doboj Canton,Live births,3259
2020,Number,Total,Bosnian-Podrinje Canton,Live births,173
2020,Number,Total,Central Bosnia Canton,Live births,1854
2020,Number,Total,Herzegovina-Neretva Canton,Live births,1532
2020,Number,Total,West Herzegovina Canton,Live births,756
2020,Number,Total,Sarajevo Canton,Live births,4206
2020,Number,Total,Canton 10,Live births,326
2020,Number,M,Federation of Bosnia and Herzegovina,Live births,8901
2020,Number,M,Una-Sana Canton,Live births,808
2020,Number,M,Posavina Canton,Live births,69
2020,Number,M,Tuzla Canton,Live births,1775
2020,Number,M,Zenica-Doboj Canton,Live births,1683
2020,Number,M,Bosnian-Podrinje Canton,Live births,88
2020,Number,M,Central Bosnia Canton,Live births,978
2020,Number,M,Herzegovina-Neretva Canton,Live births,805
2020,Number,M,West Herzegovina Canton,Live births,373
2020,Number,M,Sarajevo Canton,Live births,2164
2020,Number,M,Canton 10,Live births,158
2020,Number,F,Federation of Bosnia and Herzegovina,Live births,8310
2020,Number,F,Una-Sana Canton,Live births,744
2020,Number,F,Posavina Canton,Live births,59
2020,Number,F,Tuzla Canton,Live births,1650
2020,Number,F,Zenica-Doboj Canton,Live births,1576
2020,Number,F,Bosnian-Podrinje Canton,Live births,85
2020,Number,F,Central Bosnia Canton,Live births,876
2020,Number,F,Herzegovina-Neretva Canton,Live births,727
2020,Number,F,West Herzegovina Canton,Live births,383
2020,Number,F,Sarajevo Canton,Live births,2042
2020,Number,F,Canton 10,Live births,168
2021,Number,Total,Federation of Bosnia and Herzegovina,Live births,16873
2021,Number,Total,Una-Sana Canton,Live births,1397
2021,Number,Total,Posavina Canton,Live births,139
2021,Number,Total,Tuzla Canton,Live births,3354
2021,Number,Total,Zenica-Doboj Canton,Live births,3172
2021,Number,Total,Bosnian-Podrinje Canton,Live births,150
2021,Number,Total,Central Bosnia Canton,Live births,1825
2021,Number,Total,Herzegovina-Neretva Canton,Live births,1593
2021,Number,Total,West Herzegovina Canton,Live births,815
2021,Number,Total,Sarajevo Canton,Live births,4093
2021,Number,Total,Canton 10,Live births,335
2021,Number,M,Federation of Bosnia and Herzegovina,Live births,8621
2021,Number,M,Una-Sana Canton,Live births,720
2021,Number,M,Posavina Canton,Live births,71
2021,Number,M,Tuzla Canton,Live births,1714
2021,Number,M,Zenica-Doboj Canton,Live births,1637
2021,Number,M,Bosnian-Podrinje Canton,Live births,78
2021,Number,M,Central Bosnia Canton,Live births,904
2021,Number,M,Herzegovina-Neretva Canton,Live births,802
2021,Number,M,West Herzegovina Canton,Live births,427
2021,Number,M,Sarajevo Canton,Live births,2080
2021,Number,M,Canton 10,Live births,188
2021,Number,F,Federation of Bosnia and Herzegovina,Live births,8252
2021,Number,F,Una-Sana Canton,Live births,677
2021,Number,F,Posavina Canton,Live births,68
2021,Number,F,Tuzla Canton,Live births,1640
2021,Number,F,Zenica-Doboj Canton,Live births,1535
2021,Number,F,Bosnian-Podrinje Canton,Live births,72
2021,Number,F,Central Bosnia Canton,Live births,921
2021,Number,F,Herzegovina-Neretva Canton,Live births,791
2021,Number,F,West Herzegovina Canton,Live births,388
2021,Number,F,Sarajevo Canton,Live births,2013
2021,Number,F,Canton 10,Live births,147
2022,Number,Total,Federation of Bosnia and Herzegovina,Live births,16538
2022,Number,Total,Una-Sana Canton,Live births,1426
2022,Number,Total,Posavina Canton,Live births,124
2022,Number,Total,Tuzla Canton,Live births,3266
2022,Number,Total,Zenica-Doboj Canton,Live births,3038
2022,Number,Total,Bosnian-Podrinje Canton,Live births,152
2022,Number,Total,Central Bosnia Canton,Live births,1701
2022,Number,Total,Herzegovina-Neretva Canton,Live births,1500
2022,Number,Total,West Herzegovina Canton,Live births,849
2022,Number,Total,Sarajevo Canton,Live births,4146
2022,Number,Total,Canton 10,Live births,336
2022,Number,M,Federation of Bosnia and Herzegovina,Live births,8525
2022,Number,M,Una-Sana Canton,Live births,723
2022,Number,M,Posavina Canton,Live births,66
2022,Number,M,Tuzla Canton,Live births,1669
2022,Number,M,Zenica-Doboj Canton,Live births,1558
2022,Number,M,Bosnian-Podrinje Canton,Live births,85
2022,Number,M,Central Bosnia Canton,Live births,931
2022,Number,M,Herzegovina-Neretva Canton,Live births,793
2022,Number,M,West Herzegovina Canton,Live births,432
2022,Number,M,Sarajevo Canton,Live births,2094
2022,Number,M,Canton 10,Live births,174
2022,Number,F,Federation of Bosnia and Herzegovina,Live births,8013
2022,Number,F,Una-Sana Canton,Live births,703
2022,Number,F,Posavina Canton,Live births,58
2022,Number,F,Tuzla Canton,Live births,1597
2022,Number,F,Zenica-Doboj Canton,Live births,1480
2022,Number,F,Bosnian-Podrinje Canton,Live births,67
2022,Number,F,Central Bosnia Canton,Live births,770
2022,Number,F,Herzegovina-Neretva Canton,Live births,707
2022,Number,F,West Herzegovina Canton,Live births,417
2022,Number,F,Sarajevo Canton,Live births,2052
2022,Number,F,Canton 10,Live births,162
1996,Number,Total,Federation of Bosnia and Herzegovina,Deaths,13753
1996,Number,Total,Una-Sana Canton,Deaths,1663
1996,Number,Total,Posavina Canton,Deaths,130
1996,Number,Total,Tuzla Canton,Deaths,2351
1996,Number,Total,Zenica-Doboj Canton,Deaths,2625
1996,Number,Total,Bosnian-Podrinje Canton,Deaths,210
1996,Number,Total,Central Bosnia Canton,Deaths,1604
1996,Number,Total,Herzegovina-Neretva Canton,Deaths,1426
1996,Number,Total,West Herzegovina Canton,Deaths,674
1996,Number,Total,Sarajevo Canton,Deaths,2538
1996,Number,Total,Canton 10,Deaths,532
1996,Number,M,Federation of Bosnia and Herzegovina,Deaths,7645
1996,Number,M,Una-Sana Canton,Deaths,980
1996,Number,M,Posavina Canton,Deaths,73
1996,Number,M,Tuzla Canton,Deaths,1330
1996,Number,M,Zenica-Doboj Canton,Deaths,1439
1996,Number,M,Bosnian-Podrinje Canton,Deaths,112
1996,Number,M,Central Bosnia Canton,Deaths,919
1996,Number,M,Herzegovina-Neretva Canton,Deaths,760
1996,Number,M,West Herzegovina Canton,Deaths,323
1996,Number,M,Sarajevo Canton,Deaths,1424
1996,Number,M,Canton 10,Deaths,285
1996,Number,F,Una-Sana Canton,Deaths,683
1996,Number,F,Federation of Bosnia and Herzegovina,Deaths,6108
1996,Number,F,Posavina Canton,Deaths,57
1996,Number,F,Tuzla Canton,Deaths,1021
1996,Number,F,Zenica-Doboj Canton,Deaths,1186
1996,Number,F,Bosnian-Podrinje Canton,Deaths,98
1996,Number,F,Central Bosnia Canton,Deaths,685
1996,Number,F,Herzegovina-Neretva Canton,Deaths,666
1996,Number,F,West Herzegovina Canton,Deaths,351
1996,Number,F,Sarajevo Canton,Deaths,1114
1996,Number,F,Canton 10,Deaths,247
1997,Number,Total,Federation of Bosnia and Herzegovina,Deaths,15609
1997,Number,Total,Una-Sana Canton,Deaths,1914
1997,Number,Total,Posavina Canton,Deaths,148
1997,Number,Total,Tuzla Canton,Deaths,2562
1997,Number,Total,Zenica-Doboj Canton,Deaths,2562
1997,Number,Total,Bosnian-Podrinje Canton,Deaths,232
1997,Number,Total,Central Bosnia Canton,Deaths,1786
1997,Number,Total,Herzegovina-Neretva Canton,Deaths,1700
1997,Number,Total,West Herzegovina Canton,Deaths,728
1997,Number,Total,Sarajevo Canton,Deaths,2945
1997,Number,Total,Canton 10,Deaths,570
1997,Number,M,Federation of Bosnia and Herzegovina,Deaths,8387
1997,Number,M,Una-Sana Canton,Deaths,1015
1997,Number,M,Posavina Canton,Deaths,81
1997,Number,M,Tuzla Canton,Deaths,1427
1997,Number,M,Zenica-Doboj Canton,Deaths,1675
1997,Number,M,Bosnian-Podrinje Canton,Deaths,120
1997,Number,M,Central Bosnia Canton,Deaths,966
1997,Number,M,Herzegovina-Neretva Canton,Deaths,881
1997,Number,M,West Herzegovina Canton,Deaths,336
1997,Number,M,Sarajevo Canton,Deaths,1581
1997,Number,M,Canton 10,Deaths,305
1997,Number,F,Federation of Bosnia and Herzegovina,Deaths,7222
1997,Number,F,Una-Sana Canton,Deaths,899
1997,Number,F,Posavina Canton,Deaths,67
1997,Number,F,Tuzla Canton,Deaths,1135
1997,Number,F,Zenica-Doboj Canton,Deaths,1349
1997,Number,F,Bosnian-Podrinje Canton,Deaths,112
1997,Number,F,Central Bosnia Canton,Deaths,820
1997,Number,F,Herzegovina-Neretva Canton,Deaths,819
1997,Number,F,West Herzegovina Canton,Deaths,392
1997,Number,F,Sarajevo Canton,Deaths,1364
1997,Number,F,Canton 10,Deaths,265
1998,Number,Total,Federation of Bosnia and Herzegovina,Deaths,15564
1998,Number,Total,Una-Sana Canton,Deaths,1997
1998,Number,Total,Posavina Canton,Deaths,127
1998,Number,Total,Tuzla Canton,Deaths,2547
1998,Number,Total,Zenica-Doboj Canton,Deaths,3038
1998,Number,Total,Bosnian-Podrinje Canton,Deaths,251
1998,Number,Total,Central Bosnia Canton,Deaths,1816
1998,Number,Total,Herzegovina-Neretva Canton,Deaths,1649
1998,Number,Total,West Herzegovina Canton,Deaths,663
1998,Number,Total,Sarajevo Canton,Deaths,2885
1998,Number,Total,Canton 10,Deaths,591
1998,Number,M,Federation of Bosnia and Herzegovina,Deaths,8353
1998,Number,M,Una-Sana Canton,Deaths,1051
1998,Number,M,Posavina Canton,Deaths,66
1998,Number,M,Tuzla Canton,Deaths,1442
1998,Number,M,Zenica-Doboj Canton,Deaths,1614
1998,Number,M,Bosnian-Podrinje Canton,Deaths,145
1998,Number,M,Central Bosnia Canton,Deaths,1005
1998,Number,M,Herzegovina-Neretva Canton,Deaths,865
1998,Number,M,West Herzegovina Canton,Deaths,319
1998,Number,M,Sarajevo Canton,Deaths,1535
1998,Number,M,Canton 10,Deaths,309
1998,Number,F,Federation of Bosnia and Herzegovina,Deaths,7211
1998,Number,F,Una-Sana Canton,Deaths,946
1998,Number,F,Posavina Canton,Deaths,61
1998,Number,F,Tuzla Canton,Deaths,1105
1998,Number,F,Zenica-Doboj Canton,Deaths,1422
1998,Number,F,Bosnian-Podrinje Canton,Deaths,106
1998,Number,F,Central Bosnia Canton,Deaths,811
1998,Number,F,Herzegovina-Neretva Canton,Deaths,784
1998,Number,F,West Herzegovina Canton,Deaths,344
1998,Number,F,Sarajevo Canton,Deaths,1350
1998,Number,F,Canton 10,Deaths,282
1999,Number,Total,Federation of Bosnia and Herzegovina,Deaths,15586
1999,Number,Total,Una-Sana Canton,Deaths,1949
1999,Number,Total,Posavina Canton,Deaths,231
1999,Number,Total,Tuzla Canton,Deaths,2612
1999,Number,Total,Zenica-Doboj Canton,Deaths,3087
1999,Number,Total,Bosnian-Podrinje Canton,Deaths,241
1999,Number,Total,Central Bosnia Canton,Deaths,1797
1999,Number,Total,Herzegovina-Neretva Canton,Deaths,1579
1999,Number,Total,West Herzegovina Canton,Deaths,604
1999,Number,Total,Sarajevo Canton,Deaths,2929
1999,Number,Total,Canton 10,Deaths,557
1999,Number,M,Federation of Bosnia and Herzegovina,Deaths,8235
1999,Number,M,Una-Sana Canton,Deaths,1013
1999,Number,M,Posavina Canton,Deaths,129
1999,Number,M,Tuzla Canton,Deaths,1417
1999,Number,M,Zenica-Doboj Canton,Deaths,1628
1999,Number,M,Bosnian-Podrinje Canton,Deaths,133
1999,Number,M,Central Bosnia Canton,Deaths,957
1999,Number,M,Herzegovina-Neretva Canton,Deaths,816
1999,Number,M,West Herzegovina Canton,Deaths,285
1999,Number,M,Sarajevo Canton,Deaths,1557
1999,Number,M,Canton 10,Deaths,300
1999,Number,F,Federation of Bosnia and Herzegovina,Deaths,7351
1999,Number,F,Una-Sana Canton,Deaths,936
1999,Number,F,Posavina Canton,Deaths,102
1999,Number,F,Tuzla Canton,Deaths,1195
1999,Number,F,Zenica-Doboj Canton,Deaths,1459
1999,Number,F,Bosnian-Podrinje Canton,Deaths,108
1999,Number,F,Central Bosnia Canton,Deaths,840
1999,Number,F,Herzegovina-Neretva Canton,Deaths,763
1999,Number,F,West Herzegovina Canton,Deaths,319
1999,Number,F,Sarajevo Canton,Deaths,1372
1999,Number,F,Canton 10,Deaths,257
2000,Number,Total,Federation of Bosnia and Herzegovina,Deaths,16985
2000,Number,Total,Una-Sana Canton,Deaths,2005
2000,Number,Total,Posavina Canton,Deaths,315
2000,Number,Total,Tuzla Canton,Deaths,2884
2000,Number,Total,Zenica-Doboj Canton,Deaths,3308
2000,Number,Total,Bosnian-Podrinje Canton,Deaths,270
2000,Number,Total,Central Bosnia Canton,Deaths,1847
2000,Number,Total,Herzegovina-Neretva Canton,Deaths,1697
2000,Number,Total,West Herzegovina Canton,Deaths,576
2000,Number,Total,Sarajevo Canton,Deaths,3436
2000,Number,Total,Canton 10,Deaths,647
2000,Number,M,Federation of Bosnia and Herzegovina,Deaths,8917
2000,Number,M,Una-Sana Canton,Deaths,1062
2000,Number,M,Posavina Canton,Deaths,176
2000,Number,M,Tuzla Canton,Deaths,1534
2000,Number,M,Zenica-Doboj Canton,Deaths,1738
2000,Number,M,Bosnian-Podrinje Canton,Deaths,138
2000,Number,M,Central Bosnia Canton,Deaths,958
2000,Number,M,Herzegovina-Neretva Canton,Deaths,900
2000,Number,M,West Herzegovina Canton,Deaths,303
2000,Number,M,Sarajevo Canton,Deaths,1777
2000,Number,M,Canton 10,Deaths,331
2000,Number,F,Federation of Bosnia and Herzegovina,Deaths,8068
2000,Number,F,Una-Sana Canton,Deaths,943
2000,Number,F,Posavina Canton,Deaths,139
2000,Number,F,Tuzla Canton,Deaths,1350
2000,Number,F,Zenica-Doboj Canton,Deaths,1570
2000,Number,F,Bosnian-Podrinje Canton,Deaths,132
2000,Number,F,Central Bosnia Canton,Deaths,889
