Year,UNIT_MEASURE,Sex,Administrative Area,Births,Value
1999,Number,Total,Bosnian-Podrinje Canton,Live births,360
1999,Number,Total,Central Bosnia Canton,Live births,3439
1999,Number,Total,Herzegovina-Neretva Canton,Live births,2012
1999,Number,Total,West Herzegovina Canton,Live births,654
1999,Number,Total,Sarajevo Canton,Live births,4621
1999,Number,Total,Canton 10,Live births,800
1999,Number,M,Federation of Bosnia and Herzegovina,Live births,14046
1999,Number,M,Una-Sana Canton,Live births,2366
1999,Number,M,Posavina Canton,Live births,159
1999,Number,M,Tuzla Canton,Live births,2885
1999,Number,M,Zenica-Doboj Canton,Live births,2648
1999,Number,M,Bosnian-Podrinje Canton,Live births,183
1999,Number,M,Central Bosnia Canton,Live births,1747
1999,Number,M,Herzegovina-Neretva Canton,Live births,1013
1999,Number,M,West Herzegovina Canton,Live births,1013
1999,Number,M,Sarajevo Canton,Live births,2338
1999,Number,M,Canton 10,Live births,394
1999,Number,F,Federation of Bosnia and Herzegovina,Live births,13568
1999,Number,F,Una-Sana Canton,Live births,2309
1999,Number,F,Posavina Canton,Live births,143
1999,Number,F,Tuzla Canton,Live births,2742
1999,Number,F,Zenica-Doboj Canton,Live births,2476
1999,Number,F,Bosnian-Podrinje Canton,Live births,177
1999,Number,F,Central Bosnia Canton,Live births,1692
1999,Number,F,Herzegovina-Neretva Canton,Live births,999
1999,Number,F,West Herzegovina Canton,Live births,999
1999,Number,F,Sarajevo Canton,Live births,2283
1999,Number,F,Canton 10,Live births,406
2000,Number,Total,Federation of Bosnia and Herzegovina,Live births,25255
2000,Number,Total,Una-Sana Canton,Live births,3722
2000,Number,Total,Posavina Canton,Live births,344
2000,Number,Total,Tuzla Canton,Live births,5373
2000,Number,Total,Zenica-Doboj Canton,Live births,4708
2000,Number,Total,Bosnian-Podrinje Canton,Live births,306
2000,Number,Total,Central Bosnia Canton,Live births,3119
2000,Number,Total,Herzegovina-Neretva Canton,Live births,2118
2000,Number,Total,West Herzegovina Canton,Live births,572
2000,Number,Total,Sarajevo Canton,Live births,4268
2000,Number,Total,Canton 10,Live births,725
2000,Number,M,Federation of Bosnia and Herzegovina,Live births,13026
2000,Number,M,Una-Sana Canton,Live births,1901
2000,Number,M,Posavina Canton,Live births,195
2000,Number,M,Tuzla Canton,Live births,2739
2000,Number,M,Zenica-Doboj Canton,Live births,2408
2000,Number,M,Bosnian-Podrinje Canton,Live births,152
2000,Number,M,Central Bosnia Canton,Live births,1628
2000,Number,M,Herzegovina-Neretva Canton,Live births,1130
2000,Number,M,West Herzegovina Canton,Live births,287
2000,Number,M,Sarajevo Canton,Live births,2206
2000,Number,M,Canton 10,Live births,380
2000,Number,F,Federation of Bosnia and Herzegovina,Live births,12229
2000,Number,F,Una-Sana Canton,Live births,1821
2000,Number,F,Posavina Canton,Live births,149
2000,Number,F,Tuzla Canton,Live births,2634
2000,Number,F,Zenica-Doboj Canton,Live births,2300
2000,Number,F,Bosnian-Podrinje Canton,Live births,154
2000,Number,F,Central Bosnia Canton,Live births,1491
2000,Number,F,Herzegovina-Neretva Canton,Live births,988
2000,Number,F,West Herzegovina Canton,Live births,285
2000,Number,F,Sarajevo Canton,Live births,2062
2000,Number,F,Canton 10,Live births,345
2001,Number,Total,Federation of Bosnia and Herzegovina,Live births,23881
2001,Number,Total,Una-Sana Canton,Live births,3497
2001,Number,Total,Posavina Canton,Live births,338
2001,Number,Total,Tuzla Canton,Live births,5162
2001,Number,Total,Zenica-Doboj Canton,Live births,4481
2001,Number,Total,Bosnian-Podrinje Canton,Live births,296
2001,Number,Total,Central Bosnia Canton,Live births,2979
2001,Number,Total,Herzegovina-Neretva Canton,Live births,2043
2001,Number,Total,West Herzegovina Canton,Live births,569
2001,Number,Total,Sarajevo Canton,Live births,3878
2001,Number,Total,Canton 10,Live births,638
2001,Number,M,Federation of Bosnia and Herzegovina,Live births,12278
2001,Number,M,Una-Sana Canton,Live births,1802
2001,Number,M,Posavina Canton,Live births,181
2001,Number,M,Tuzla Canton,Live births,2678
2001,Number,M,Zenica-Doboj Canton,Live births,2292
2001,Number,M,Bosnian-Podrinje Canton,Live births,140
2001,Number,M,Central Bosnia Canton,Live births,1561
2001,Number,M,Herzegovina-Neretva Canton,Live births,1008
2001,Number,M,West Herzegovina Canton,Live births,300
2001,Number,M,Sarajevo Canton,Live births,1999
2001,Number,M,Canton 10,Live births,317
2001,Number,F,Federation of Bosnia and Herzegovina,Live births,11603
2001,Number,F,Una-Sana Canton,Live births,1695
2001,Number,F,Posavina Canton,Live births,157
2001,Number,F,Tuzla Canton,Live births,2484
2001,Number,F,Zenica-Doboj Canton,Live births,2189
2001,Number,F,Bosnian-Podrinje Canton,Live births,156
2001,Number,F,Central Bosnia Canton,Live births,1418
2001,Number,F,Herzegovina-Neretva Canton,Live births,1035
2001,Number,F,West Herzegovina Canton,Live births,269
2001,Number,F,Sarajevo Canton,Live births,1879
2001,Number,F,Canton 10,Live births,321
2002,Number,Total,Federation of Bosnia and Herzegovina,Live births,23058
2002,Number,Total,Una-Sana Canton,Live births,3208
2002,Number,Total,Posavina Canton,Live births,363
2002,Number,Total,Tuzla Canton,Live births,5079
2002,Number,Total,Zenica-Doboj Canton,Live births,4195
2002,Number,Total,Bosnian-Podrinje Canton,Live births,230
2002,Number,Total,Central Bosnia Canton,Live births,2873
2002,Number,Total,Herzegovina-Neretva Canton,Live births,2130
2002,Number,Total,West Herzegovina Canton,Live births,569
2002,Number,Total,Sarajevo Canton,Live births,3840
2002,Number,Total,Canton 10,Live births,571
2002,Number,M,Federation of Bosnia and Herzegovina,Live births,11829
2002,Number,M,Una-Sana Canton,Live births,1650
2002,Number,M,Posavina Canton,Live births,184
2002,Number,M,Tuzla Canton,Live births,2575
2002,Number,M,Zenica-Doboj Canton,Live births,2140
2002,Number,M,Bosnian-Podrinje Canton,Live births,126
2002,Number,M,Central Bosnia Canton,Live births,1491
2002,Number,M,Herzegovina-Neretva Canton,Live births,1092
2002,Number,M,West Herzegovina Canton,Live births,273
2002,Number,M,Sarajevo Canton,Live births,2009
2002,Number,M,Canton 10,Live births,289
2002,Number,F,Federation of Bosnia and Herzegovina,Live births,11229
2002,Number,F,Una-Sana Canton,Live births,1558
2002,Number,F,Posavina Canton,Live births,179
2002,Number,F,Tuzla Canton,Live births,2504
2002,Number,F,Zenica-Doboj Canton,Live births,2055
2002,Number,F,Bosnian-Podrinje Canton,Live births,104
2002,Number,F,Central Bosnia Canton,Live births,1382
2002,Number,F,Herzegovina-Neretva Canton,Live births,1038
2002,Number,F,West Herzegovina Canton,Live births,296
2002,Number,F,Sarajevo Canton,Live births,1831
2002,Number,F,Canton 10,Live births,282
2003,Number,Total,Federation of Bosnia and Herzegovina,Live births,22953
