Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Vocational high schools,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Vocational high schools,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Vocational high schools,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Vocational high schools,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Technical high schools,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Vocational high schools,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Art schools,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,Religious schools,Both sexes,
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,
2016,Number,Una-Sana Canton,Gymnasium,Both sexes,
2016,Number,Una-Sana Canton,Technical high schools,Both sexes,
2016,Number,Una-Sana Canton,Vocational high schools,Both sexes,
2016,Number,Una-Sana Canton,Art schools,Both sexes,
2016,Number,Una-Sana Canton,Religious schools,Both sexes,
2016,Number,Una-Sana Canton,High schools for students with disabilities,Both sexes,
2017,Number,Una-Sana Canton,Gymnasium,Both sexes,
2017,Number,Una-Sana Canton,Technical high schools,Both sexes,
2017,Number,Una-Sana Canton,Vocational high schools,Both sexes,
2017,Number,Una-Sana Canton,Art schools,Both sexes,
2017,Number,Una-Sana Canton,Religious schools,Both sexes,
2017,Number,Una-Sana Canton,High schools for students with disabilities,Both sexes,
2018,Number,Una-Sana Canton,Gymnasium,Both sexes,
2018,Number,Una-Sana Canton,Technical high schools,Both sexes,
2018,Number,Una-Sana Canton,Vocational high schools,Both sexes,
2018,Number,Una-Sana Canton,Art schools,Both sexes,
2018,Number,Una-Sana Canton,Religious schools,Both sexes,
2018,Number,Una-Sana Canton,High schools for students with disabilities,Both sexes,
2019,Number,Una-Sana Canton,Gymnasium,Both sexes,
2019,Number,Una-Sana Canton,Technical high schools,Both sexes,
2019,Number,Una-Sana Canton,Vocational high schools,Both sexes,
2019,Number,Una-Sana Canton,Art schools,Both sexes,
2019,Number,Una-Sana Canton,Religious schools,Both sexes,
2019,Number,Una-Sana Canton,High schools for students with disabilities,Both sexes,
2020,Number,Una-Sana Canton,Gymnasium,Both sexes,
2020,Number,Una-Sana Canton,Technical high schools,Both sexes,
2020,Number,Una-Sana Canton,Vocational high schools,Both sexes,
2020,Number,Una-Sana Canton,Art schools,Both sexes,
2020,Number,Una-Sana Canton,Religious schools,Both sexes,
2020,Number,Una-Sana Canton,High schools for students with disabilities,Both sexes,
2016,Number,Posavina Canton,Gymnasium,Both sexes,
2016,Number,Posavina Canton,Technical high schools,Both sexes,
2016,Number,Posavina Canton,Vocational high schools,Both sexes,
2016,Number,Posavina Canton,Art schools,Both sexes,
2016,Number,Posavina Canton,Religious schools,Both sexes,
2016,Number,Posavina Canton,High schools for students with disabilities,Both sexes,
2017,Number,Posavina Canton,Gymnasium,Both sexes,
2017,Number,Posavina Canton,Technical high schools,Both sexes,
2017,Number,Posavina Canton,Vocational high schools,Both sexes,
2017,Number,Posavina Canton,Art schools,Both sexes,
2017,Number,Posavina Canton,Religious schools,Both sexes,
2017,Number,Posavina Canton,High schools for students with disabilities,Both sexes,
2018,Number,Posavina Canton,Gymnasium,Both sexes,
2018,Number,Posavina Canton,Technical high schools,Both sexes,
2018,Number,Posavina Canton,Vocational high schools,Both sexes,
2018,Number,Posavina Canton,Art schools,Both sexes,
2018,Number,Posavina Canton,Religious schools,Both sexes,
2018,Number,Posavina Canton,High schools for students with disabilities,Both sexes,
2019,Number,Posavina Canton,Gymnasium,Both sexes,
2019,Number,Posavina Canton,Technical high schools,Both sexes,
2019,Number,Posavina Canton,Vocational high schools,Both sexes,
2019,Number,Posavina Canton,Art schools,Both sexes,
2019,Number,Posavina Canton,Religious schools,Both sexes,
2019,Number,Posavina Canton,High schools for students with disabilities,Both sexes,
2020,Number,Posavina Canton,Gymnasium,Both sexes,
2020,Number,Posavina Canton,Technical high schools,Both sexes,
2020,Number,Posavina Canton,Vocational high schools,Both sexes,
2020,Number,Posavina Canton,Art schools,Both sexes,
2020,Number,Posavina Canton,Religious schools,Both sexes,
2020,Number,Posavina Canton,High schools for students with disabilities,Both sexes,
2016,Number,Tuzla Canton,Gymnasium,Both sexes,
2016,Number,Tuzla Canton,Technical high schools,Both sexes,
2016,Number,Tuzla Canton,Vocational high schools,Both sexes,
2016,Number,Tuzla Canton,Art schools,Both sexes,
2016,Number,Tuzla Canton,Religious schools,Both sexes,
2016,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,
2017,Number,Tuzla Canton,Gymnasium,Both sexes,
2017,Number,Tuzla Canton,Technical high schools,Both sexes,
2017,Number,Tuzla Canton,Vocational high schools,Both sexes,
2017,Number,Tuzla Canton,Art schools,Both sexes,
2017,Number,Tuzla Canton,Religious schools,Both sexes,
2017,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,
2018,Number,Tuzla Canton,Gymnasium,Both sexes,
2018,Number,Tuzla Canton,Technical high schools,Both sexes,
2018,Number,Tuzla Canton,Vocational high schools,Both sexes,
2018,Number,Tuzla Canton,Art schools,Both sexes,
2018,Number,Tuzla Canton,Religious schools,Both sexes,
2018,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,
2019,Number,Tuzla Canton,Gymnasium,Both sexes,
2019,Number,Tuzla Canton,Technical high schools,Both sexes,
2019,Number,Tuzla Canton,Vocational high schools,Both sexes,
2019,Number,Tuzla Canton,Art schools,Both sexes,
2019,Number,Tuzla Canton,Religious schools,Both sexes,
2019,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,
2020,Number,Tuzla Canton,Gymnasium,Both sexes,
2020,Number,Tuzla Canton,Technical high schools,Both sexes,
2020,Number,Tuzla Canton,Vocational high schools,Both sexes,
2020,Number,Tuzla Canton,Art schools,Both sexes,
2020,Number,Tuzla Canton,Religious schools,Both sexes,
2020,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,
2016,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,
2016,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,
2016,Number,Zenica-Doboj Canton,Vocational high schools,Both sexes,
2016,Number,Zenica-Doboj Canton,Art schools,Both sexes,
2016,Number,Zenica-Doboj Canton,Religious schools,Both sexes,
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,
2017,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,
2017,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,
2017,Number,Zenica-Doboj Canton,Vocational high schools,Both sexes,
2017,Number,Zenica-Doboj Canton,Art schools,Both sexes,
2017,Number,Zenica-Doboj Canton,Religious schools,Both sexes,
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,
2018,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,
2018,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,
2018,Number,Zenica-Doboj Canton,Vocational high schools,Both sexes,
2018,Number,Zenica-Doboj Canton,Art schools,Both sexes,
2018,Number,Zenica-Doboj Canton,Religious schools,Both sexes,
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,
2019,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,
2019,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,
2019,Number,Zenica-Doboj Canton,Vocational high schools,Both sexes,
2019,Number,Zenica-Doboj Canton,Art schools,Both sexes,
2019,Number,Zenica-Doboj Canton,Religious schools,Both sexes,
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,
2020,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,
2020,Number,Zenica-Doboj Canton,Technical high schools,Both sexes,
