Year,UNIT_MEASURE,Sex,Value
1997,Number per 1000 live births,Both sexes,13.0
1998,Number per 1000 live births,Both sexes,12.1
1999,Number per 1000 live births,Both sexes,11.2
2000,Number per 1000 live births,Both sexes,11.0
2001,Number per 1000 live births,Both sexes,8.9
2002,Number per 1000 live births,Both sexes,10.5
2003,Number per 1000 live births,Both sexes,8.7
2004,Number per 1000 live births,Both sexes,8.5
2005,Number per 1000 live births,Both sexes,8.8
2006,Number per 1000 live births,Both sexes,9.5
2007,Number per 1000 live births,Both sexes,8.9
2008,Number per 1000 live births,Both sexes,8.5
2009,Number per 1000 live births,Both sexes,7.6
2010,Number per 1000 live births,Both sexes,7.7
2011,Number per 1000 live births,Both sexes,6.6
2012,Number per 1000 live births,Both sexes,6.5
2013,Number per 1000 live births,Both sexes,7.3
2014,Number per 1000 live births,Both sexes,6.4
2015,Number per 1000 live births,Both sexes,8.0
2016,Number per 1000 live births,Both sexes,7.5
2017,Number per 1000 live births,Both sexes,8.2
2018,Number per 1000 live births,Both sexes,8.4
2019,Number per 1000 live births,Both sexes,9.3
1997,Number per 1000 live births,M,15.4
1998,Number per 1000 live births,M,14.4
1999,Number per 1000 live births,M,12.2
2000,Number per 1000 live births,M,12.5
2001,Number per 1000 live births,M,9.6
2002,Number per 1000 live births,M,11.6
2003,Number per 1000 live births,M,10.1
2004,Number per 1000 live births,M,9.3
2005,Number per 1000 live births,M,10.0
2006,Number per 1000 live births,M,11.3
2007,Number per 1000 live births,M,10.1
2008,Number per 1000 live births,M,9.4
2009,Number per 1000 live births,M,7.3
2010,Number per 1000 live births,M,9.1
2011,Number per 1000 live births,M,7.7
2012,Number per 1000 live births,M,7.6
2013,Number per 1000 live births,M,8.5
2014,Number per 1000 live births,M,6.2
2015,Number per 1000 live births,M,8.5
2016,Number per 1000 live births,M,8.5
2017,Number per 1000 live births,M,8.5
2018,Number per 1000 live births,M,8.3
2019,Number per 1000 live births,M,9.5
1997,Number per 1000 live births,F,10.3
1998,Number per 1000 live births,F,9.7
1999,Number per 1000 live births,F,10.1
2000,Number per 1000 live births,F,9.5
2001,Number per 1000 live births,F,8.2
2002,Number per 1000 live births,F,9.5
2003,Number per 1000 live births,F,7.2
2004,Number per 1000 live births,F,7.7
2005,Number per 1000 live births,F,7.6
2006,Number per 1000 live births,F,7.5
2007,Number per 1000 live births,F,7.6
2008,Number per 1000 live births,F,7.5
2009,Number per 1000 live births,F,7.8
2010,Number per 1000 live births,F,6.2
2011,Number per 1000 live births,F,5.5
2012,Number per 1000 live births,F,5.2
2013,Number per 1000 live births,F,6.2
2014,Number per 1000 live births,F,6.6
2015,Number per 1000 live births,F,7.4
2016,Number per 1000 live births,F,6.4
2017,Number per 1000 live births,F,7.8
2018,Number per 1000 live births,F,8.4
2019,Number per 1000 live births,F,9.0
