Year,UNIT_MEASURE,Sex,Value
2016,Number,Both sexes,2291
2016,Number,M,1213
2016,Number,F,1078
2017,Number,Both sexes,2710
2017,Number,M,1413
2017,Number,F,1297
2018,Number,Both sexes,3111
2018,Number,M,1633
2018,Number,F,1478
2019,Number,Both sexes,3249
2019,Number,M,1685
2019,Number,F,1564
2020,Number,Both sexes,3039
2020,Number,M,1579
2020,Number,F,1460
2021,Number,Both sexes,4419
2021,Number,M,2318
2021,Number,F,2101
2022,Number,Both sexes,5423
2022,Number,M,2886
2022,Number,F,2537
2023,Number,Both sexes,5838
2023,Number,M,3020
2023,Number,F,2818
