Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2018,Number,Bosnian-Podrinje Canton,Vocational high schools,
2018,Number,Bosnian-Podrinje Canton,Art schools,
2018,Number,Bosnian-Podrinje Canton,Religious schools,
2018,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,
2019,Number,Bosnian-Podrinje Canton,Gymnasium,
2019,Number,Bosnian-Podrinje Canton,Technical high schools,
2019,Number,Bosnian-Podrinje Canton,Vocational high schools,
2019,Number,Bosnian-Podrinje Canton,Art schools,
2019,Number,Bosnian-Podrinje Canton,Religious schools,
2019,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,
2020,Number,Bosnian-Podrinje Canton,Gymnasium,
2020,Number,Bosnian-Podrinje Canton,Technical high schools,
2020,Number,Bosnian-Podrinje Canton,Vocational high schools,
2020,Number,Bosnian-Podrinje Canton,Art schools,
2020,Number,Bosnian-Podrinje Canton,Religious schools,
2020,Number,Bosnian-Podrinje Canton,High schools for students with disabilities,
2016,Number,Central Bosnia Canton,Gymnasium,
2016,Number,Central Bosnia Canton,Technical high schools,
2016,Number,Central Bosnia Canton,Vocational high schools,
2016,Number,Central Bosnia Canton,Art schools,
2016,Number,Central Bosnia Canton,Religious schools,
2016,Number,Central Bosnia Canton,High schools for students with disabilities,
2017,Number,Central Bosnia Canton,Gymnasium,
2017,Number,Central Bosnia Canton,Technical high schools,
2017,Number,Central Bosnia Canton,Vocational high schools,
2017,Number,Central Bosnia Canton,Art schools,
2017,Number,Central Bosnia Canton,Religious schools,
2017,Number,Central Bosnia Canton,High schools for students with disabilities,
2018,Number,Central Bosnia Canton,Gymnasium,
2018,Number,Central Bosnia Canton,Technical high schools,
2018,Number,Central Bosnia Canton,Vocational high schools,
2018,Number,Central Bosnia Canton,Art schools,
2018,Number,Central Bosnia Canton,Religious schools,
2018,Number,Central Bosnia Canton,High schools for students with disabilities,
2019,Number,Central Bosnia Canton,Gymnasium,
2019,Number,Central Bosnia Canton,Technical high schools,
2019,Number,Central Bosnia Canton,Vocational high schools,
2019,Number,Central Bosnia Canton,Art schools,
2019,Number,Central Bosnia Canton,Religious schools,
2019,Number,Central Bosnia Canton,High schools for students with disabilities,
2020,Number,Central Bosnia Canton,Gymnasium,
2020,Number,Central Bosnia Canton,Technical high schools,
2020,Number,Central Bosnia Canton,Vocational high schools,
2020,Number,Central Bosnia Canton,Art schools,
2020,Number,Central Bosnia Canton,Religious schools,
2020,Number,Central Bosnia Canton,High schools for students with disabilities,
2016,Number,Herzegovina-Neretva Canton,Gymnasium,
2016,Number,Herzegovina-Neretva Canton,Technical high schools,
2016,Number,Herzegovina-Neretva Canton,Vocational high schools,
2016,Number,Herzegovina-Neretva Canton,Art schools,
2016,Number,Herzegovina-Neretva Canton,Religious schools,
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,
2017,Number,Herzegovina-Neretva Canton,Gymnasium,
2017,Number,Herzegovina-Neretva Canton,Technical high schools,
2017,Number,Herzegovina-Neretva Canton,Vocational high schools,
2017,Number,Herzegovina-Neretva Canton,Art schools,
2017,Number,Herzegovina-Neretva Canton,Religious schools,
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,
2018,Number,Herzegovina-Neretva Canton,Gymnasium,
2018,Number,Herzegovina-Neretva Canton,Technical high schools,
2018,Number,Herzegovina-Neretva Canton,Vocational high schools,
2018,Number,Herzegovina-Neretva Canton,Art schools,
2018,Number,Herzegovina-Neretva Canton,Religious schools,
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,
2019,Number,Herzegovina-Neretva Canton,Gymnasium,
2019,Number,Herzegovina-Neretva Canton,Technical high schools,
2019,Number,Herzegovina-Neretva Canton,Vocational high schools,
2019,Number,Herzegovina-Neretva Canton,Art schools,
2019,Number,Herzegovina-Neretva Canton,Religious schools,
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,
2020,Number,Herzegovina-Neretva Canton,Gymnasium,
2020,Number,Herzegovina-Neretva Canton,Technical high schools,
2020,Number,Herzegovina-Neretva Canton,Vocational high schools,
2020,Number,Herzegovina-Neretva Canton,Art schools,
2020,Number,Herzegovina-Neretva Canton,Religious schools,
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,
2016,Number,West Herzegovina Canton,Gymnasium,
2016,Number,West Herzegovina Canton,Technical high schools,
2016,Number,West Herzegovina Canton,Vocational high schools,
2016,Number,West Herzegovina Canton,Art schools,
2016,Number,West Herzegovina Canton,Religious schools,
2016,Number,West Herzegovina Canton,High schools for students with disabilities,
2017,Number,West Herzegovina Canton,Gymnasium,
2017,Number,West Herzegovina Canton,Technical high schools,
2017,Number,West Herzegovina Canton,Vocational high schools,
2017,Number,West Herzegovina Canton,Art schools,
2017,Number,West Herzegovina Canton,Religious schools,
2017,Number,West Herzegovina Canton,High schools for students with disabilities,
2018,Number,West Herzegovina Canton,Gymnasium,
2018,Number,West Herzegovina Canton,Technical high schools,
2018,Number,West Herzegovina Canton,Vocational high schools,
2018,Number,West Herzegovina Canton,Art schools,
2018,Number,West Herzegovina Canton,Religious schools,
2018,Number,West Herzegovina Canton,High schools for students with disabilities,
2019,Number,West Herzegovina Canton,Gymnasium,
2019,Number,West Herzegovina Canton,Technical high schools,
2019,Number,West Herzegovina Canton,Vocational high schools,
2019,Number,West Herzegovina Canton,Art schools,
2019,Number,West Herzegovina Canton,Religious schools,
2019,Number,West Herzegovina Canton,High schools for students with disabilities,
2020,Number,West Herzegovina Canton,Gymnasium,
2020,Number,West Herzegovina Canton,Technical high schools,
2020,Number,West Herzegovina Canton,Vocational high schools,
2020,Number,West Herzegovina Canton,Art schools,
2020,Number,West Herzegovina Canton,Religious schools,
2020,Number,West Herzegovina Canton,High schools for students with disabilities,
2016,Number,Sarajevo Canton,Gymnasium,
2016,Number,Sarajevo Canton,Technical high schools,
2016,Number,Sarajevo Canton,Vocational high schools,
2016,Number,Sarajevo Canton,Art schools,
2016,Number,Sarajevo Canton,Religious schools,
2016,Number,Sarajevo Canton,High schools for students with disabilities,
2017,Number,Sarajevo Canton,Gymnasium,
2017,Number,Sarajevo Canton,Technical high schools,
2017,Number,Sarajevo Canton,Vocational high schools,
2017,Number,Sarajevo Canton,Art schools,
2017,Number,Sarajevo Canton,Religious schools,
2017,Number,Sarajevo Canton,High schools for students with disabilities,
2018,Number,Sarajevo Canton,Gymnasium,
2018,Number,Sarajevo Canton,Technical high schools,
2018,Number,Sarajevo Canton,Vocational high schools,
2018,Number,Sarajevo Canton,Art schools,
2018,Number,Sarajevo Canton,Religious schools,
2018,Number,Sarajevo Canton,High schools for students with disabilities,
2019,Number,Sarajevo Canton,Gymnasium,
2019,Number,Sarajevo Canton,Technical high schools,
2019,Number,Sarajevo Canton,Vocational high schools,
2019,Number,Sarajevo Canton,Art schools,
2019,Number,Sarajevo Canton,Religious schools,
2019,Number,Sarajevo Canton,High schools for students with disabilities,
2020,Number,Sarajevo Canton,Gymnasium,
2020,Number,Sarajevo Canton,Technical high schools,
2020,Number,Sarajevo Canton,Vocational high schools,
2020,Number,Sarajevo Canton,Art schools,
2020,Number,Sarajevo Canton,Religious schools,
2020,Number,Sarajevo Canton,High schools for students with disabilities,
2016,Number,Canton 10,Gymnasium,
2016,Number,Canton 10,Technical high schools,
2016,Number,Canton 10,Vocational high schools,
2016,Number,Canton 10,Art schools,
2016,Number,Canton 10,Religious schools,
2016,Number,Canton 10,High schools for students with disabilities,
2017,Number,Canton 10,Gymnasium,
2017,Number,Canton 10,Technical high schools,
2017,Number,Canton 10,Vocational high schools,
2017,Number,Canton 10,Art schools,
2017,Number,Canton 10,Religious schools,
2017,Number,Canton 10,High schools for students with disabilities,
2018,Number,Canton 10,Gymnasium,
2018,Number,Canton 10,Technical high schools,
2018,Number,Canton 10,Vocational high schools,
2018,Number,Canton 10,Art schools,
2018,Number,Canton 10,Religious schools,
2018,Number,Canton 10,High schools for students with disabilities,
2019,Number,Canton 10,Gymnasium,
2019,Number,Canton 10,Technical high schools,
2019,Number,Canton 10,Vocational high schools,
2019,Number,Canton 10,Art schools,
2019,Number,Canton 10,Religious schools,
2019,Number,Canton 10,High schools for students with disabilities,
2020,Number,Canton 10,Gymnasium,
2020,Number,Canton 10,Technical high schools,
2020,Number,Canton 10,Vocational high schools,
2020,Number,Canton 10,Art schools,
2020,Number,Canton 10,Religious schools,
2020,Number,Canton 10,High schools for students with disabilities,
