Year,UNIT_MEASURE,Admin_Area,Sex,Value
2009,Number,Federation of Bosnia and Herzegovina,Both sexes,71610
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,74594
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,74565
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,72460
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,72601
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,71873
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,72112
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,69969
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,66027
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,62285
2009,Number,Federation of Bosnia and Herzegovina,M,31404
2010,Number,Federation of Bosnia and Herzegovina,M,32651
2011,Number,Federation of Bosnia and Herzegovina,M,32767
2012,Number,Federation of Bosnia and Herzegovina,M,31970
2013,Number,Federation of Bosnia and Herzegovina,M,31732
2014,Number,Federation of Bosnia and Herzegovina,M,31305
2015,Number,Federation of Bosnia and Herzegovina,M,31317
2016,Number,Federation of Bosnia and Herzegovina,M,30064
2017,Number,Federation of Bosnia and Herzegovina,M,28095
2018,Number,Federation of Bosnia and Herzegovina,M,25544
2009,Number,Federation of Bosnia and Herzegovina,F,40206
2010,Number,Federation of Bosnia and Herzegovina,F,41943
2011,Number,Federation of Bosnia and Herzegovina,F,41798
2012,Number,Federation of Bosnia and Herzegovina,F,40490
2013,Number,Federation of Bosnia and Herzegovina,F,40869
2014,Number,Federation of Bosnia and Herzegovina,F,40568
2015,Number,Federation of Bosnia and Herzegovina,F,40795
2016,Number,Federation of Bosnia and Herzegovina,F,39905
2017,Number,Federation of Bosnia and Herzegovina,F,37932
2018,Number,Federation of Bosnia and Herzegovina,F,36741
2009,Number,Una-Sana Canton,Both sexes,5008
2010,Number,Una-Sana Canton,Both sexes,4732
2011,Number,Una-Sana Canton,Both sexes,4588
2012,Number,Una-Sana Canton,Both sexes,3896
2013,Number,Una-Sana Canton,Both sexes,3355
2014,Number,Una-Sana Canton,Both sexes,3038
2015,Number,Una-Sana Canton,Both sexes,3011
2016,Number,Una-Sana Canton,Both sexes,2894
2017,Number,Una-Sana Canton,Both sexes,2547
2018,Number,Una-Sana Canton,Both sexes,2322
