Year,UNIT_MEASURE,Value
1996,Marriage Rate,6.5
1997,Marriage Rate,6.8
1998,Marriage Rate,6.7
1999,Marriage Rate,6.3
2000,Marriage Rate,6.0
2001,Marriage Rate,5.5
2002,Marriage Rate,5.6
2003,Marriage Rate,5.6
2004,Marriage Rate,5.9
2005,Marriage Rate,5.8
2006,Marriage Rate,5.6
2007,Marriage Rate,6.4
2008,Marriage Rate,6.4
2009,Marriage Rate,5.9
2010,Marriage Rate,5.6
2011,Marriage Rate,5.4
2012,Marriage Rate,5.2
2013,Marriage Rate,4.9
2014,Marriage Rate,5.4
2015,Marriage Rate,5.9
2016,Marriage Rate,5.8
2017,Marriage Rate,5.9
2018,Marriage Rate,5.9
2019,Marriage Rate,5.6
