Year,UNIT_MEASURE,Sex,Age,Value
2014,Number,Both sexes,0-4,
2014,Number,Both sexes,5-9,
2014,Number,Both sexes,10-14,
2014,Number,Both sexes,15-19,
2014,Number,Both sexes,20-24,
2014,Number,Both sexes,25-29,
2014,Number,Both sexes,30-34,
2014,Number,Both sexes,35-39,
2014,Number,Both sexes,40-44,
2014,Number,Both sexes,45-49,
2014,Number,Both sexes,50-54,
2014,Number,Both sexes,55-59,
2014,Number,Both sexes,60-64,
2014,Number,Both sexes,65-69,
2014,Number,Both sexes,70-74,
2014,Number,Both sexes,75-79,
2014,Number,Both sexes,80-84,
2014,Number,Both sexes,85-89,
2014,Number,Both sexes,90-94,
2014,Number,Both sexes,95-99,
2014,Number,Both sexes,100-104,
2014,Number,Both sexes,105-109,
2014,Number,Both sexes,110-114,
2014,Number,Both sexes,115-120,
2014,Number,Both sexes,Unknown,
2014,Number,Both sexes,Total,
2014,Number,Both sexes,0-14,
2014,Number,Both sexes,15-29,
2014,Number,Both sexes,15-49,
2014,Number,Both sexes,15-64,
2014,Number,Both sexes,65+,
2014,Number,Both sexes,75+,
2014,Number,Both sexes,85+,
2014,Number,Both sexes,100+,
2014,Number,M,0-4,
2014,Number,M,5-9,
2014,Number,M,10-14,
2014,Number,M,15-19,
2014,Number,M,20-24,
2014,Number,M,25-29,
2014,Number,M,30-34,
2014,Number,M,35-39,
2014,Number,M,40-44,
2014,Number,M,45-49,
2014,Number,M,50-54,
2014,Number,M,55-59,
2014,Number,M,60-64,
2014,Number,M,65-69,
2014,Number,M,70-74,
2014,Number,M,75-79,
2014,Number,M,80-84,
2014,Number,M,85-89,
2014,Number,M,90-94,
2014,Number,M,95-99,
2014,Number,M,100-104,
2014,Number,M,105-109,
2014,Number,M,110-114,
2014,Number,M,115-120,
2014,Number,M,Unknown,
2014,Number,M,Total,
2014,Number,M,0-14,
2014,Number,M,15-29,
2014,Number,M,15-49,
2014,Number,M,15-64,
2014,Number,M,65+,
2014,Number,M,75+,
2014,Number,M,85+,
2014,Number,M,100+,
2014,Number,F,0-4,
2014,Number,F,5-9,
2014,Number,F,10-14,
2014,Number,F,15-19,
2014,Number,F,20-24,
2014,Number,F,25-29,
2014,Number,F,30-34,
2014,Number,F,35-39,
2014,Number,F,40-44,
2014,Number,F,45-49,
2014,Number,F,50-54,
2014,Number,F,55-59,
2014,Number,F,60-64,
2014,Number,F,65-69,
2014,Number,F,70-74,
2014,Number,F,75-79,
2014,Number,F,80-84,
2014,Number,F,85-89,
2014,Number,F,90-94,
2014,Number,F,95-99,
2014,Number,F,100-104,
2014,Number,F,105-109,
2014,Number,F,110-114,
2014,Number,F,115-120,
2014,Number,F,Unknown,
2014,Number,F,Total,
2014,Number,F,0-14,
2014,Number,F,15-29,
2014,Number,F,15-49,
2014,Number,F,15-64,
2014,Number,F,65+,
2014,Number,F,75+,
2014,Number,F,85+,
2014,Number,F,100+,
2015,Number,Both sexes,0-4,
2015,Number,Both sexes,5-9,
2015,Number,Both sexes,10-14,
2015,Number,Both sexes,15-19,
2015,Number,Both sexes,20-24,
2015,Number,Both sexes,25-29,
2015,Number,Both sexes,30-34,
2015,Number,Both sexes,35-39,
2015,Number,Both sexes,40-44,
2015,Number,Both sexes,45-49,
2015,Number,Both sexes,50-54,
2015,Number,Both sexes,55-59,
2015,Number,Both sexes,60-64,
2015,Number,Both sexes,65-69,
2015,Number,Both sexes,70-74,
2015,Number,Both sexes,75-79,
2015,Number,Both sexes,80-84,
2015,Number,Both sexes,85-89,
2015,Number,Both sexes,90-94,
2015,Number,Both sexes,95-99,
2015,Number,Both sexes,100-104,
2015,Number,Both sexes,105-109,
2015,Number,Both sexes,110-114,
2015,Number,Both sexes,115-120,
2015,Number,Both sexes,Unknown,
2015,Number,Both sexes,Total,
2015,Number,Both sexes,0-14,
2015,Number,Both sexes,15-29,
2015,Number,Both sexes,15-49,
2015,Number,Both sexes,15-64,
2015,Number,Both sexes,65+,
2015,Number,Both sexes,75+,
2015,Number,Both sexes,85+,
2015,Number,Both sexes,100+,
2015,Number,M,0-4,
2015,Number,M,5-9,
2015,Number,M,10-14,
2015,Number,M,15-19,
2015,Number,M,20-24,
2015,Number,M,25-29,
2015,Number,M,30-34,
2015,Number,M,35-39,
2015,Number,M,40-44,
2015,Number,M,45-49,
2015,Number,M,50-54,
2015,Number,M,55-59,
2015,Number,M,60-64,
2015,Number,M,65-69,
2015,Number,M,70-74,
2015,Number,M,75-79,
2015,Number,M,80-84,
2015,Number,M,85-89,
2015,Number,M,90-94,
2015,Number,M,95-99,
2015,Number,M,100-104,
2015,Number,M,105-109,
2015,Number,M,110-114,
2015,Number,M,115-120,
2015,Number,M,Unknown,
2015,Number,M,Total,
2015,Number,M,0-14,
2015,Number,M,15-29,
2015,Number,M,15-49,
2015,Number,M,15-64,
2015,Number,M,65+,
2015,Number,M,75+,
2015,Number,M,85+,
2015,Number,M,100+,
2015,Number,F,0-4,
2015,Number,F,5-9,
2015,Number,F,10-14,
2015,Number,F,15-19,
2015,Number,F,20-24,
2015,Number,F,25-29,
2015,Number,F,30-34,
2015,Number,F,35-39,
2015,Number,F,40-44,
2015,Number,F,45-49,
2015,Number,F,50-54,
2015,Number,F,55-59,
2015,Number,F,60-64,
2015,Number,F,65-69,
2015,Number,F,70-74,
2015,Number,F,75-79,
2015,Number,F,80-84,
2015,Number,F,85-89,
2015,Number,F,90-94,
2015,Number,F,95-99,
2015,Number,F,100-104,
2015,Number,F,105-109,
2015,Number,F,110-114,
2015,Number,F,115-120,
2015,Number,F,Unknown,
2015,Number,F,Total,
2015,Number,F,0-14,
2015,Number,F,15-29,
2015,Number,F,15-49,
2015,Number,F,15-64,
2015,Number,F,65+,
2015,Number,F,75+,
2015,Number,F,85+,
2015,Number,F,100+,
2016,Number,Both sexes,0-4,
2016,Number,Both sexes,5-9,
2016,Number,Both sexes,10-14,
2016,Number,Both sexes,15-19,
2016,Number,Both sexes,20-24,
2016,Number,Both sexes,25-29,
2016,Number,Both sexes,30-34,
2016,Number,Both sexes,35-39,
2016,Number,Both sexes,40-44,
2016,Number,Both sexes,45-49,
2016,Number,Both sexes,50-54,
2016,Number,Both sexes,55-59,
2016,Number,Both sexes,60-64,
2016,Number,Both sexes,65-69,
2016,Number,Both sexes,70-74,
2016,Number,Both sexes,75-79,
2016,Number,Both sexes,80-84,
2016,Number,Both sexes,85-89,
2016,Number,Both sexes,90-94,
