Year,UNIT_MEASURE,Value
1996,Number per 1000 marriages,25.7
1997,Number per 1000 marriages,68.4
1998,Number per 1000 marriages,77.9
1999,Number per 1000 marriages,84.1
2000,Number per 1000 marriages,84.9
2001,Number per 1000 marriages,100.8
2002,Number per 1000 marriages,110.5
2003,Number per 1000 marriages,89.6
2004,Number per 1000 marriages,62.6
2005,Number per 1000 marriages,70.9
2006,Number per 1000 marriages,71.7
2007,Number per 1000 marriages,69.6
2008,Number per 1000 marriages,62.9
2009,Number per 1000 marriages,58.9
2010,Number per 1000 marriages,76.5
2011,Number per 1000 marriages,97.0
2012,Number per 1000 marriages,97.5
2013,Number per 1000 marriages,119.8
2014,Number per 1000 marriages,110.2
2015,Number per 1000 marriages,115.8
2016,Number per 1000 marriages,113.0
2017,Number per 1000 marriages,132.8
2018,Number per 1000 marriages,139.6
2019,Number per 1000 marriages,136.4
