Year,UNIT_MEASURE,Administrative area,Sex,Value
2002,Number,zenica-doboj_canton,Both sexes,90861.0
2002,Number,bosnian-podrinje_canton,Both sexes,
2002,Number,central_bosnia_canton,Both sexes,25509.0
2002,Number,herzegovina-neretva_canton,Both sexes,33238.0
2002,Number,west_herzegovina_canton,Both sexes,1435.0
2002,Number,sarajevo_canton,Both sexes,84101.0
2002,Number,canton_10,Both sexes,2341.0
2002,Number,federation_of_bih,M,149039.0
2002,Number,una-sana_canton,M,6158.0
2002,Number,posavina_canton,M,209.0
2002,Number,tuzla_canton,M,11177.0
2002,Number,zenica-doboj_canton,M,47241.0
2002,Number,bosnian-podrinje_canton,M,
2002,Number,central_bosnia_canton,M,12470.0
2002,Number,herzegovina-neretva_canton,M,14442.0
2002,Number,west_herzegovina_canton,M,799.0
2002,Number,sarajevo_canton,M,55462.0
2002,Number,canton_10,M,1081.0
2002,Number,federation_of_bih,F,129730.0
2002,Number,una-sana_canton,F,7255.0
2002,Number,posavina_canton,F,236.0
2002,Number,tuzla_canton,F,16249.0
2002,Number,zenica-doboj_canton,F,43620.0
2002,Number,bosnian-podrinje_canton,F,
2002,Number,central_bosnia_canton,F,13039.0
2002,Number,herzegovina-neretva_canton,F,18796.0
2002,Number,west_herzegovina_canton,F,636.0
2002,Number,sarajevo_canton,F,28639.0
2002,Number,canton_10,F,1260.0
2003,Number,federation_of_bih,Both sexes,289167.0
2003,Number,una-sana_canton,Both sexes,31374.0
2003,Number,posavina_canton,Both sexes,63.0
2003,Number,tuzla_canton,Both sexes,28411.0
2003,Number,zenica-doboj_canton,Both sexes,94539.0
2003,Number,bosnian-podrinje_canton,Both sexes,
2003,Number,central_bosnia_canton,Both sexes,17320.0
2003,Number,herzegovina-neretva_canton,Both sexes,31978.0
2003,Number,west_herzegovina_canton,Both sexes,1733.0
2003,Number,sarajevo_canton,Both sexes,81448.0
2003,Number,canton_10,Both sexes,2301.0
2003,Number,federation_of_bih,M,156012.0
2003,Number,una-sana_canton,M,21833.0
2003,Number,posavina_canton,M,26.0
2003,Number,tuzla_canton,M,11375.0
2003,Number,zenica-doboj_canton,M,49827.0
2003,Number,bosnian-podrinje_canton,M,
2003,Number,central_bosnia_canton,M,8597.0
2003,Number,herzegovina-neretva_canton,M,14707.0
2003,Number,west_herzegovina_canton,M,1020.0
2003,Number,sarajevo_canton,M,47683.0
2003,Number,canton_10,M,944.0
2003,Number,federation_of_bih,F,133155.0
2003,Number,una-sana_canton,F,9541.0
2003,Number,posavina_canton,F,37.0
2003,Number,tuzla_canton,F,17036.0
2003,Number,zenica-doboj_canton,F,44712.0
2003,Number,bosnian-podrinje_canton,F,
2003,Number,central_bosnia_canton,F,8723.0
2003,Number,herzegovina-neretva_canton,F,17271.0
2003,Number,west_herzegovina_canton,F,713.0
2003,Number,sarajevo_canton,F,33765.0
2003,Number,canton_10,F,1357.0
2004,Number,federation_of_bih,Both sexes,270507.0
2004,Number,una-sana_canton,Both sexes,15996.0
2004,Number,posavina_canton,Both sexes,94.0
2004,Number,tuzla_canton,Both sexes,29152.0
2004,Number,zenica-doboj_canton,Both sexes,86461.0
2004,Number,bosnian-podrinje_canton,Both sexes,
2004,Number,central_bosnia_canton,Both sexes,15487.0
2004,Number,herzegovina-neretva_canton,Both sexes,26784.0
2004,Number,west_herzegovina_canton,Both sexes,1826.0
2004,Number,sarajevo_canton,Both sexes,92390.0
2004,Number,canton_10,Both sexes,2317.0
2004,Number,federation_of_bih,M,140214.0
2004,Number,una-sana_canton,M,4970.0
2004,Number,posavina_canton,M,35.0
2004,Number,tuzla_canton,M,13090.0
2004,Number,zenica-doboj_canton,M,43327.0
2004,Number,bosnian-podrinje_canton,M,
2004,Number,central_bosnia_canton,M,7645.0
2004,Number,herzegovina-neretva_canton,M,13121.0
2004,Number,west_herzegovina_canton,M,1053.0
2004,Number,sarajevo_canton,M,56016.0
2004,Number,canton_10,M,957.0
2004,Number,federation_of_bih,F,130293.0
2004,Number,una-sana_canton,F,11026.0
2004,Number,posavina_canton,F,59.0
2004,Number,tuzla_canton,F,16062.0
2004,Number,zenica-doboj_canton,F,43134.0
2004,Number,bosnian-podrinje_canton,F,
2004,Number,central_bosnia_canton,F,7842.0
2004,Number,herzegovina-neretva_canton,F,13663.0
2004,Number,west_herzegovina_canton,F,773.0
2004,Number,sarajevo_canton,F,36374.0
2004,Number,canton_10,F,1360.0
2005,Number,federation_of_bih,Both sexes,249848.0
2005,Number,una-sana_canton,Both sexes,17657.0
2005,Number,posavina_canton,Both sexes,120.0
2005,Number,tuzla_canton,Both sexes,31339.0
2005,Number,zenica-doboj_canton,Both sexes,71895.0
2005,Number,bosnian-podrinje_canton,Both sexes,
2005,Number,central_bosnia_canton,Both sexes,16422.0
2005,Number,herzegovina-neretva_canton,Both sexes,19460.0
2005,Number,west_herzegovina_canton,Both sexes,1894.0
2005,Number,sarajevo_canton,Both sexes,88769.0
2005,Number,canton_10,Both sexes,2292.0
2005,Number,federation_of_bih,M,126173.0
2005,Number,una-sana_canton,M,5530.0
2005,Number,posavina_canton,M,51.0
2005,Number,tuzla_canton,M,13199.0
2005,Number,zenica-doboj_canton,M,36270.0
2005,Number,bosnian-podrinje_canton,M,
2005,Number,central_bosnia_canton,M,7964.0
2005,Number,herzegovina-neretva_canton,M,8200.0
2005,Number,west_herzegovina_canton,M,1097.0
2005,Number,sarajevo_canton,M,52885.0
2005,Number,canton_10,M,977.0
2005,Number,federation_of_bih,F,123675.0
2005,Number,una-sana_canton,F,12127.0
2005,Number,posavina_canton,F,69.0
2005,Number,tuzla_canton,F,18140.0
2005,Number,zenica-doboj_canton,F,35625.0
2005,Number,bosnian-podrinje_canton,F,
2005,Number,central_bosnia_canton,F,8458.0
2005,Number,herzegovina-neretva_canton,F,11260.0
2005,Number,west_herzegovina_canton,F,797.0
2005,Number,sarajevo_canton,F,35884.0
2005,Number,canton_10,F,1315.0
2006,Number,federation_of_bih,Both sexes,333918.0
2006,Number,una-sana_canton,Both sexes,21373.0
2006,Number,posavina_canton,Both sexes,136.0
2006,Number,tuzla_canton,Both sexes,48970.0
2006,Number,zenica-doboj_canton,Both sexes,100693.0
2006,Number,bosnian-podrinje_canton,Both sexes,
2006,Number,central_bosnia_canton,Both sexes,18658.0
2006,Number,herzegovina-neretva_canton,Both sexes,21145.0
2006,Number,west_herzegovina_canton,Both sexes,2345.0
2006,Number,sarajevo_canton,Both sexes,117743.0
2006,Number,canton_10,Both sexes,2855.0
2006,Number,federation_of_bih,M,188431.0
2006,Number,una-sana_canton,M,8672.0
2006,Number,posavina_canton,M,136.0
2006,Number,tuzla_canton,M,26081.0
2006,Number,zenica-doboj_canton,M,57897.0
2006,Number,bosnian-podrinje_canton,M,
2006,Number,central_bosnia_canton,M,8419.0
2006,Number,herzegovina-neretva_canton,M,10559.0
2006,Number,west_herzegovina_canton,M,1460.0
2006,Number,sarajevo_canton,M,73991.0
2006,Number,canton_10,M,1219.0
2006,Number,federation_of_bih,F,145487.0
2006,Number,una-sana_canton,F,12701.0
2006,Number,posavina_canton,F,0.0
2006,Number,tuzla_canton,F,22889.0
2006,Number,zenica-doboj_canton,F,42796.0
2006,Number,bosnian-podrinje_canton,F,
2006,Number,central_bosnia_canton,F,10239.0
2006,Number,herzegovina-neretva_canton,F,10586.0
2006,Number,west_herzegovina_canton,F,885.0
2006,Number,sarajevo_canton,F,43752.0
2006,Number,canton_10,F,1636.0
2007,Number,federation_of_bih,Both sexes,334660.0
2007,Number,una-sana_canton,Both sexes,17226.0
2007,Number,posavina_canton,Both sexes,1287.0
2007,Number,tuzla_canton,Both sexes,46851.0
2007,Number,zenica-doboj_canton,Both sexes,77762.0
2007,Number,bosnian-podrinje_canton,Both sexes,
2007,Number,central_bosnia_canton,Both sexes,19464.0
2007,Number,herzegovina-neretva_canton,Both sexes,21708.0
2007,Number,west_herzegovina_canton,Both sexes,2560.0
2007,Number,sarajevo_canton,Both sexes,144940.0
2007,Number,canton_10,Both sexes,2862.0
2007,Number,federation_of_bih,M,183592.0
2007,Number,una-sana_canton,M,7586.0
2007,Number,posavina_canton,M,481.0
2007,Number,tuzla_canton,M,21048.0
2007,Number,zenica-doboj_canton,M,39940.0
2007,Number,bosnian-podrinje_canton,M,
2007,Number,central_bosnia_canton,M,8681.0
2007,Number,herzegovina-neretva_canton,M,9489.0
2007,Number,west_herzegovina_canton,M,1579.0
2007,Number,sarajevo_canton,M,93705.0
2007,Number,canton_10,M,1083.0
2007,Number,federation_of_bih,F,151068.0
2007,Number,una-sana_canton,F,9640.0
2007,Number,posavina_canton,F,806.0
2007,Number,tuzla_canton,F,25803.0
2007,Number,zenica-doboj_canton,F,37822.0
2007,Number,bosnian-podrinje_canton,F,
2007,Number,central_bosnia_canton,F,10783.0
2007,Number,herzegovina-neretva_canton,F,12219.0
2007,Number,west_herzegovina_canton,F,981.0
2007,Number,sarajevo_canton,F,51235.0
2007,Number,canton_10,F,1779.0
2008,Number,federation_of_bih,Both sexes,340152.0
2008,Number,una-sana_canton,Both sexes,17453.0
2008,Number,posavina_canton,Both sexes,892.0
2008,Number,tuzla_canton,Both sexes,55890.0
2008,Number,zenica-doboj_canton,Both sexes,70513.0
2008,Number,bosnian-podrinje_canton,Both sexes,
2008,Number,central_bosnia_canton,Both sexes,22556.0
2008,Number,herzegovina-neretva_canton,Both sexes,15078.0
2008,Number,west_herzegovina_canton,Both sexes,2765.0
2008,Number,sarajevo_canton,Both sexes,152336.0
2008,Number,canton_10,Both sexes,2669.0
2008,Number,federation_of_bih,M,182103.0
2008,Number,una-sana_canton,M,8106.0
2008,Number,posavina_canton,M,371.0
2008,Number,tuzla_canton,M,23290.0
2008,Number,zenica-doboj_canton,M,35712.0
2008,Number,bosnian-podrinje_canton,M,
2008,Number,central_bosnia_canton,M,9089.0
2008,Number,herzegovina-neretva_canton,M,6274.0
2008,Number,west_herzegovina_canton,M,1620.0
2008,Number,sarajevo_canton,M,96671.0
2008,Number,canton_10,M,970.0
2008,Number,federation_of_bih,F,158049.0
2008,Number,una-sana_canton,F,9347.0
2008,Number,posavina_canton,F,521.0
2008,Number,tuzla_canton,F,32600.0
2008,Number,zenica-doboj_canton,F,34801.0
2008,Number,bosnian-podrinje_canton,F,
2008,Number,central_bosnia_canton,F,13467.0
2008,Number,herzegovina-neretva_canton,F,8804.0
2008,Number,west_herzegovina_canton,F,1145.0
2008,Number,sarajevo_canton,F,55665.0
2008,Number,canton_10,F,1699.0
