Year,UNIT_MEASURE,Value
1997,Number of boys to 100 girls,109.9
1998,Number of boys to 100 girls,108.0
1999,Number of boys to 100 girls,103.8
2000,Number of boys to 100 girls,106.5
2001,Number of boys to 100 girls,105.8
2002,Number of boys to 100 girls,105.4
2003,Number of boys to 100 girls,109.0
2004,Number of boys to 100 girls,106.5
2005,Number of boys to 100 girls,106.0
2006,Number of boys to 100 girls,107.8
2007,Number of boys to 100 girls,108.4
2008,Number of boys to 100 girls,104.8
2009,Number of boys to 100 girls,107.6
2010,Number of boys to 100 girls,106.8
2011,Number of boys to 100 girls,107.9
2012,Number of boys to 100 girls,108.1
2013,Number of boys to 100 girls,106.5
2014,Number of boys to 100 girls,105.1
2015,Number of boys to 100 girls,104.4
2016,Number of boys to 100 girls,108.2
2017,Number of boys to 100 girls,107.0
2018,Number of boys to 100 girls,106.4
2019,Number of boys to 100 girls,107.7
2020,Number of boys to 100 girls,107.1
