Year,UNIT_MEASURE,Sex,Value
2003,Age,Both sexes,
2003,Age,M,
2003,Age,F,
2004,Age,Both sexes,
2004,Age,M,
2004,Age,F,
2005,Age,Both sexes,
2005,Age,M,
2005,Age,F,
2006,Age,Both sexes,
2006,Age,M,
2006,Age,F,
2007,Age,Both sexes,
2007,Age,M,
2007,Age,F,
2008,Age,Both sexes,
2008,Age,M,
2008,Age,F,
2009,Age,Both sexes,
2009,Age,M,
2009,Age,F,
2010,Age,Both sexes,
2010,Age,M,
2010,Age,F,
2011,Age,Both sexes,
2011,Age,M,
2011,Age,F,
2012,Age,Both sexes,
2012,Age,M,
2012,Age,F,
2013,Age,Both sexes,
2013,Age,M,
2013,Age,F,
2014,Age,Both sexes,
2014,Age,M,
2014,Age,F,
2015,Age,Both sexes,
2015,Age,M,
2015,Age,F,
2016,Age,Both sexes,
2016,Age,M,
2016,Age,F,
2017,Age,Both sexes,
2017,Age,M,
2017,Age,F,
2018,Age,Both sexes,
2018,Age,M,
2018,Age,F,
2019,Age,Both sexes,
2019,Age,M,
2019,Age,F,
2020,Age,Both sexes,
2020,Age,M,
2020,Age,F,
