Year,UNIT_MEASURE,Sex,Value
2004,% of total,Both sexes,18.8
2007,% of total,Both sexes,17.0
2011,% of total,Both sexes,17.1
2015,% of total,Both sexes,17.1
2007,% of total,M,17.1
2011,% of total,M,17.5
2015,% of total,M,18.8
2007,% of total,F,16.9
2011,% of total,F,16.7
2015,% of total,F,15.9
