Year,UNIT_MEASURE,Value
2020,Number,41.4
2025,Number,43.6
2030,Number,45.6
2035,Number,47.6
2040,Number,49.4
2045,Number,50.9
2050,Number,52.2
2055,Number,53.2
2060,Number,54.0
2065,Number,54.7
2070,Number,55.2
