Year,UNIT_MEASURE,Administrative Area,Sex,Highest educational attainment,Value
2013,Number,Una-Sana Canton,M,Higher school and first degree of faculty,3294
2013,Number,Una-Sana Canton,M,Faculty / academy / university,6475
2013,Number,Posavina Canton,M,Total,18656
2013,Number,Posavina Canton,M,No education,367
2013,Number,Posavina Canton,M,Incomplete elementary education,2125
2013,Number,Posavina Canton,M,Elementary education,4316
2013,Number,Posavina Canton,M,Secondary education,9831
2013,Number,Posavina Canton,M,Secondary specialisation,146
2013,Number,Posavina Canton,M,Higher school and first degree of faculty,572
2013,Number,Posavina Canton,M,Faculty / academy / university,1299
2013,Number,Tuzla Canton,M,Total,181535
2013,Number,Tuzla Canton,M,No education,3089
2013,Number,Tuzla Canton,M,Incomplete elementary education,10230
2013,Number,Tuzla Canton,M,Elementary education,34890
2013,Number,Tuzla Canton,M,Secondary education,112695
2013,Number,Tuzla Canton,M,Secondary specialisation,2325
2013,Number,Tuzla Canton,M,Higher school and first degree of faculty,4293
2013,Number,Tuzla Canton,M,Faculty / academy / university,14013
2013,Number,Zenica-Doboj Canton,M,Total,149837
2013,Number,Zenica-Doboj Canton,M,No education,1936
2013,Number,Zenica-Doboj Canton,M,Incomplete elementary education,7908
2013,Number,Zenica-Doboj Canton,M,Elementary education,28285
2013,Number,Zenica-Doboj Canton,M,Secondary education,94181
2013,Number,Zenica-Doboj Canton,M,Secondary specialisation,3153
2013,Number,Zenica-Doboj Canton,M,Higher school and first degree of faculty,3909
2013,Number,Zenica-Doboj Canton,M,Faculty / academy / university,10465
2013,Number,Bosnian-Podrinje Canton,M,Total,9881
2013,Number,Bosnian-Podrinje Canton,M,No education,159
2013,Number,Bosnian-Podrinje Canton,M,Incomplete elementary education,405
2013,Number,Bosnian-Podrinje Canton,M,Elementary education,1839
2013,Number,Bosnian-Podrinje Canton,M,Secondary education,5960
2013,Number,Bosnian-Podrinje Canton,M,Secondary specialisation,175
2013,Number,Bosnian-Podrinje Canton,M,Higher school and first degree of faculty,352
2013,Number,Bosnian-Podrinje Canton,M,Faculty / academy / university,991
2013,Number,Central Bosnia Canton,M,Total,105017
2013,Number,Central Bosnia Canton,M,No education,1981
2013,Number,Central Bosnia Canton,M,Incomplete elementary education,6423
2013,Number,Central Bosnia Canton,M,Elementary education,21391
2013,Number,Central Bosnia Canton,M,Secondary education,64191
2013,Number,Central Bosnia Canton,M,Secondary specialisation,1132
2013,Number,Central Bosnia Canton,M,Higher school and first degree of faculty,2919
2013,Number,Central Bosnia Canton,M,Faculty / academy / university,6980
2013,Number,Herzegovina-Neretva Canton,M,Total,91629
2013,Number,Herzegovina-Neretva Canton,M,No education,1047
2013,Number,Herzegovina-Neretva Canton,M,Incomplete elementary education,3657
2013,Number,Herzegovina-Neretva Canton,M,Elementary education,13686
2013,Number,Herzegovina-Neretva Canton,M,Secondary education,57185
2013,Number,Herzegovina-Neretva Canton,M,Secondary specialisation,1098
2013,Number,Herzegovina-Neretva Canton,M,Higher school and first degree of faculty,3975
2013,Number,Herzegovina-Neretva Canton,M,Faculty / academy / university,10981
2013,Number,West Herzegovina Canton,M,Total,38677
2013,Number,West Herzegovina Canton,M,No education,450
2013,Number,West Herzegovina Canton,M,Incomplete elementary education,2072
2013,Number,West Herzegovina Canton,M,Elementary education,6057
