Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2001,Broj,herzegovina-neretva_canton,Ž,14937.0
2001,Broj,west_herzegovina_canton,Ž,323.0
2001,Broj,sarajevo_canton,Ž,21857.0
2001,Broj,canton_10,Ž,1338.0
2002,Broj,federation_of_bih,Oba spola,278769.0
2002,Broj,una-sana_canton,Oba spola,13413.0
2002,Broj,posavina_canton,Oba spola,445.0
2002,Broj,tuzla_canton,Oba spola,27426.0
2002,Broj,zenica-doboj_canton,Oba spola,90861.0
2002,Broj,bosnian-podrinje_canton,Oba spola,
2002,Broj,central_bosnia_canton,Oba spola,25509.0
2002,Broj,herzegovina-neretva_canton,Oba spola,33238.0
2002,Broj,west_herzegovina_canton,Oba spola,1435.0
2002,Broj,sarajevo_canton,Oba spola,84101.0
2002,Broj,canton_10,Oba spola,2341.0
2002,Broj,federation_of_bih,M,149039.0
2002,Broj,una-sana_canton,M,6158.0
2002,Broj,posavina_canton,M,209.0
2002,Broj,tuzla_canton,M,11177.0
2002,Broj,zenica-doboj_canton,M,47241.0
2002,Broj,bosnian-podrinje_canton,M,
2002,Broj,central_bosnia_canton,M,12470.0
2002,Broj,herzegovina-neretva_canton,M,14442.0
2002,Broj,west_herzegovina_canton,M,799.0
2002,Broj,sarajevo_canton,M,55462.0
2002,Broj,canton_10,M,1081.0
2002,Broj,federation_of_bih,Ž,129730.0
2002,Broj,una-sana_canton,Ž,7255.0
2002,Broj,posavina_canton,Ž,236.0
2002,Broj,tuzla_canton,Ž,16249.0
2002,Broj,zenica-doboj_canton,Ž,43620.0
2002,Broj,bosnian-podrinje_canton,Ž,
2002,Broj,central_bosnia_canton,Ž,13039.0
2002,Broj,herzegovina-neretva_canton,Ž,18796.0
2002,Broj,west_herzegovina_canton,Ž,636.0
2002,Broj,sarajevo_canton,Ž,28639.0
2002,Broj,canton_10,Ž,1260.0
2003,Broj,federation_of_bih,Oba spola,289167.0
2003,Broj,una-sana_canton,Oba spola,31374.0
2003,Broj,posavina_canton,Oba spola,63.0
2003,Broj,tuzla_canton,Oba spola,28411.0
2003,Broj,zenica-doboj_canton,Oba spola,94539.0
2003,Broj,bosnian-podrinje_canton,Oba spola,
2003,Broj,central_bosnia_canton,Oba spola,17320.0
2003,Broj,herzegovina-neretva_canton,Oba spola,31978.0
2003,Broj,west_herzegovina_canton,Oba spola,1733.0
2003,Broj,sarajevo_canton,Oba spola,81448.0
