Year,UNIT_MEASURE,Spol,Vitalna statistika,Value
2011,Broj,Oba spola,Živorođeni,21161
2012,Broj,Oba spola,Živorođeni,21389
2013,Broj,Oba spola,Živorođeni,20083
2014,Broj,Oba spola,Živorođeni,19823
2015,Broj,Oba spola,Živorođeni,19317
2016,Broj,Oba spola,Živorođeni,19655
2017,Broj,Oba spola,Živorođeni,19824
2018,Broj,Oba spola,Živorođeni,18899
2019,Broj,Oba spola,Živorođeni,18019
2020,Broj,Oba spola,Živorođeni,17211
