Year,UNIT_MEASURE,Administrativna oblast,type_of_school,Spol,Value
2020,Broj,Posavski kanton,Umjetničke škole,Oba spola,
2020,Broj,Posavski kanton,Vjerske škole,Oba spola,
2020,Broj,Posavski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Tuzlanski kanton,Gimnazija,Oba spola,
2016,Broj,Tuzlanski kanton,Tehničke škole,Oba spola,
2016,Broj,Tuzlanski kanton,Stručne škole,Oba spola,
2016,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2016,Broj,Tuzlanski kanton,Vjerske škole,Oba spola,
2016,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Tuzlanski kanton,Gimnazija,Oba spola,
2017,Broj,Tuzlanski kanton,Tehničke škole,Oba spola,
2017,Broj,Tuzlanski kanton,Stručne škole,Oba spola,
2017,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2017,Broj,Tuzlanski kanton,Vjerske škole,Oba spola,
2017,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2018,Broj,Tuzlanski kanton,Gimnazija,Oba spola,
2018,Broj,Tuzlanski kanton,Tehničke škole,Oba spola,
2018,Broj,Tuzlanski kanton,Stručne škole,Oba spola,
2018,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2018,Broj,Tuzlanski kanton,Vjerske škole,Oba spola,
2018,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2019,Broj,Tuzlanski kanton,Gimnazija,Oba spola,
2019,Broj,Tuzlanski kanton,Tehničke škole,Oba spola,
2019,Broj,Tuzlanski kanton,Stručne škole,Oba spola,
2019,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2019,Broj,Tuzlanski kanton,Vjerske škole,Oba spola,
2019,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2020,Broj,Tuzlanski kanton,Gimnazija,Oba spola,
2020,Broj,Tuzlanski kanton,Tehničke škole,Oba spola,
2020,Broj,Tuzlanski kanton,Stručne škole,Oba spola,
2020,Broj,Tuzlanski kanton,Umjetničke škole,Oba spola,
2020,Broj,Tuzlanski kanton,Vjerske škole,Oba spola,
2020,Broj,Tuzlanski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Tehničke škole,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Stručne škole,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Umjetničke škole,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Vjerske škole,Oba spola,
2016,Broj,Zeničko-dobojski kanton,Srednje škole za djecu s poteškoćama u razvoju,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Gimnazija,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Tehničke škole,Oba spola,
2017,Broj,Zeničko-dobojski kanton,Stručne škole,Oba spola,
