Year,UNIT_MEASURE,Spol,Value
2006,Broj,M,39.5
2007,Broj,M,39.0
2008,Broj,M,38.8
2009,Broj,M,39.6
2010,Broj,M,40.3
2011,Broj,M,41.4
2012,Broj,M,42.3
2013,Broj,M,39.1
2014,Broj,M,40.1
2015,Broj,M,40.0
2016,Broj,M,40.3
2017,Broj,M,40.8
2018,Broj,M,40.1
2019,Broj,M,40.8
2020,Broj,M,40.6
2021,Broj,M,40.5
2022,Broj,M,41.4
2023,Broj,M,41.1
2006,Broj,Ž,35.7
2007,Broj,Ž,35.5
2008,Broj,Ž,35.4
2009,Broj,Ž,35.8
2010,Broj,Ž,36.6
2011,Broj,Ž,39.2
2012,Broj,Ž,36.8
2013,Broj,Ž,35.3
2014,Broj,Ž,35.6
2015,Broj,Ž,36.2
2016,Broj,Ž,36.5
2017,Broj,Ž,37.0
2018,Broj,Ž,36.4
2019,Broj,Ž,36.9
2020,Broj,Ž,36.6
2021,Broj,Ž,36.7
2022,Broj,Ž,37.8
2023,Broj,Ž,37.6
