Year,UNIT_MEASURE,Administrativna jedinica,Value
2009,Broj,Srednjobosanska županija,1468
2009,Broj,Hercegovačko-neretvanska županija,1131
2009,Broj,Zapadno-hercegovačka županija,402
2009,Broj,Sarajevska županija,2804
2009,Broj,Županija 10,249
2010,Broj,Federacija Bosne i Hercegovine,12906
2010,Broj,Unsko-sanska županija,1766
2010,Broj,Posavska županija,172
2010,Broj,Tuzlanska županija,2542
2010,Broj,Zeničko-dobojska županija,2381
2010,Broj,Bosansko-podrinjska županija,118
2010,Broj,Srednjobosanska županija,1412
2010,Broj,Hercegovačko-neretvanska županija,1098
2010,Broj,Zapadno-hercegovačka županija,358
2010,Broj,Sarajevska županija,2782
2010,Broj,Županija 10,277
2011,Broj,Federacija Bosne i Hercegovine,12511
2011,Broj,Unsko-sanska županija,1661
2011,Broj,Posavska županija,144
2011,Broj,Tuzlanska županija,2611
2011,Broj,Zeničko-dobojska županija,2279
2011,Broj,Bosansko-podrinjska županija,164
2011,Broj,Srednjobosanska županija,1272
2011,Broj,Hercegovačko-neretvanska županija,1103
2011,Broj,Zapadno-hercegovačka županija,368
2011,Broj,Sarajevska županija,2655
2011,Broj,Županija 10,254
2012,Broj,Federacija Bosne i Hercegovine,11936
2012,Broj,Unsko-sanska županija,1504
2012,Broj,Posavska županija,154
2012,Broj,Tuzlanska županija,2576
2012,Broj,Zeničko-dobojska županija,2248
2012,Broj,Bosansko-podrinjska županija,135
2012,Broj,Srednjobosanska županija,1201
2012,Broj,Hercegovačko-neretvanska županija,1014
2012,Broj,Zapadno-hercegovačka županija,374
2012,Broj,Sarajevska županija,2497
2012,Broj,Županija 10,233
2013,Broj,Federacija Bosne i Hercegovine,11313
2013,Broj,Unsko-sanska županija,1441
2013,Broj,Posavska županija,152
2013,Broj,Tuzlanska županija,2458
2013,Broj,Zeničko-dobojska županija,1997
2013,Broj,Bosansko-podrinjska županija,137
2013,Broj,Srednjobosanska županija,1078
2013,Broj,Hercegovačko-neretvanska županija,1027
2013,Broj,Zapadno-hercegovačka županija,344
2013,Broj,Sarajevska županija,2453
2013,Broj,Županija 10,226
2014,Broj,Federacija Bosne i Hercegovine,11891
2014,Broj,Unsko-sanska županija,1468
2014,Broj,Posavska županija,140
2014,Broj,Tuzlanska županija,2461
2014,Broj,Zeničko-dobojska županija,2250
2014,Broj,Bosansko-podrinjska županija,155
2014,Broj,Srednjobosanska županija,1216
2014,Broj,Hercegovačko-neretvanska županija,1048
2014,Broj,Zapadno-hercegovačka županija,333
2014,Broj,Sarajevska županija,2600
2014,Broj,Županija 10,220
2015,Broj,Federacija Bosne i Hercegovine,12888
2015,Broj,Unsko-sanska županija,1629
2015,Broj,Posavska županija,151
2015,Broj,Tuzlanska županija,2859
2015,Broj,Zeničko-dobojska županija,2458
2015,Broj,Bosansko-podrinjska županija,155
2015,Broj,Srednjobosanska županija,1318
2015,Broj,Hercegovačko-neretvanska županija,1023
2015,Broj,Zapadno-hercegovačka županija,362
2015,Broj,Sarajevska županija,2664
2015,Broj,Županija 10,269
2016,Broj,Federacija Bosne i Hercegovine,12790
2016,Broj,Unsko-sanska županija,1746
2016,Broj,Posavska županija,122
2016,Broj,Tuzlanska županija,2821
2016,Broj,Zeničko-dobojska županija,2301
2016,Broj,Bosansko-podrinjska županija,169
2016,Broj,Srednjobosanska županija,1298
2016,Broj,Hercegovačko-neretvanska županija,1067
2016,Broj,Zapadno-hercegovačka županija,392
2016,Broj,Sarajevska županija,2615
2016,Broj,Županija 10,259
2017,Broj,Federacija Bosne i Hercegovine,12994
2017,Broj,Unsko-sanska županija,1750
2017,Broj,Posavska županija,143
2017,Broj,Tuzlanska županija,2886
2017,Broj,Zeničko-dobojska županija,2397
2017,Broj,Bosansko-podrinjska županija,137
2017,Broj,Srednjobosanska županija,1428
2017,Broj,Hercegovačko-neretvanska županija,1028
2017,Broj,Zapadno-hercegovačka županija,402
2017,Broj,Sarajevska županija,2561
2017,Broj,Županija 10,262
2018,Broj,Federacija Bosne i Hercegovine,13061
2018,Broj,Unsko-sanska županija,1842
