Year,UNIT_MEASURE,Oпштина,Literacy,Пол,Value
2013,Број,Велика Кладуша,literate,Ж,16281
2013,Број,Високо,literate,Ж,16939
2013,Број,Витез,literate,Ж,11025
2013,Број,vogosca,literate,Ж,11682
2013,Број,Завидовићи,literate,Ж,14998
2013,Број,Зеница,literate,Ж,48203
2013,Број,Жепче,literate,Ж,12489
2013,Број,Живинице,literate,Ж,23846
2013,Број,Бановићи,illiterate,M,62
2013,Број,Бихаћ,illiterate,M,200
2013,Број,Босанска Крупа,illiterate,M,125
2013,Број,Босански Петровац,illiterate,M,34
2013,Број,Босанско Грахово,illiterate,M,7
2013,Број,Бреза,illiterate,M,32
2013,Број,Бугојно,illiterate,M,97
2013,Број,Бусовача,illiterate,M,60
2013,Број,Бужим,illiterate,M,95
2013,Број,Цазин,illiterate,M,277
2013,Број,centar_sarajevo,illiterate,M,60
2013,Број,Чапљина,illiterate,M,46
2013,Број,Челић,illiterate,M,64
2013,Број,Читлук,illiterate,M,22
2013,Број,doboj-istok,illiterate,M,103
2013,Број,doboj-jug,illiterate,M,2
2013,Број,Добретићи,illiterate,M,22
2013,Број,domaljevac-samac,illiterate,M,23
2013,Број,Доњи Вакуф,illiterate,M,55
2013,Број,Дрвар,illiterate,M,21
2013,Број,foca-fbih,illiterate,M,7
2013,Број,Фојница,illiterate,M,57
2013,Број,Гламоч,illiterate,M,17
2013,Број,Горажде,illiterate,M,70
2013,Број,gornji_vakuf-uskoplje,illiterate,M,85
2013,Број,Грачаница,illiterate,M,168
2013,Број,Градачац,illiterate,M,165
2013,Број,Груде,illiterate,M,42
2013,Број,hadzici,illiterate,M,198
2013,Број,ilidza,illiterate,M,107
2013,Број,ilijas,illiterate,M,60
2013,Број,Јабланица,illiterate,M,37
2013,Број,Јајце,illiterate,M,110
2013,Број,Какањ,illiterate,M,171
2013,Број,Калесија,illiterate,M,119
2013,Број,Кисељак,illiterate,M,93
2013,Број,Кладањ,illiterate,M,36
2013,Број,Кључ,illiterate,M,53
2013,Број,Коњиц,illiterate,M,86
2013,Број,Крешево,illiterate,M,16
2013,Број,kupres-fbih,illiterate,M,14
2013,Број,Ливно,illiterate,M,77
2013,Број,Лукавац,illiterate,M,185
2013,Број,Љубушки,illiterate,M,49
2013,Број,Маглај,illiterate,M,64
2013,Број,Мостар,illiterate,M,137
2013,Број,Неум,illiterate,M,11
2013,Број,novi_grad_sarajevo,illiterate,M,159
2013,Број,Нови Травник,illiterate,M,58
2013,Број,novo_sarajevo,illiterate,M,58
2013,Број,Оџак,illiterate,M,64
2013,Број,Олово,illiterate,M,32
2013,Број,Орашје,illiterate,M,81
2013,Број,pale-fbih,illiterate,M,12
2013,Број,Посушје,illiterate,M,52
2013,Број,Прозор,illiterate,M,55
2013,Број,Равно,illiterate,M,5
2013,Број,Сански Мост,illiterate,M,150
2013,Број,Сапна,illiterate,M,72
2013,Број,Сребреник,illiterate,M,213
2013,Број,stari_grad_sarajevo,illiterate,M,44
2013,Број,Столац,illiterate,M,67
2013,Број,Широки Бријег,illiterate,M,53
2013,Број,Теочак,illiterate,M,40
2013,Број,Тешањ,illiterate,M,152
2013,Број,Томиславград,illiterate,M,104
2013,Број,Травник,illiterate,M,212
2013,Број,trnovo-fbih,illiterate,M,12
2013,Број,Тузла,illiterate,M,277
2013,Број,Усора,illiterate,M,18
2013,Број,Вареш,illiterate,M,29
2013,Број,Велика Кладуша,illiterate,M,267
2013,Број,Високо,illiterate,M,120
2013,Број,Витез,illiterate,M,51
2013,Број,vogosca,illiterate,M,50
2013,Број,Завидовићи,illiterate,M,150
2013,Број,Зеница,illiterate,M,214
2013,Број,Жепче,illiterate,M,93
2013,Број,Живинице,illiterate,M,218
2013,Број,Бановићи,illiterate,Ж,603
2013,Број,Бихаћ,illiterate,Ж,1031
2013,Број,Босанска Крупа,illiterate,Ж,793
2013,Број,Босански Петровац,illiterate,Ж,166
2013,Број,Босанско Грахово,illiterate,Ж,82
2013,Број,Бреза,illiterate,Ж,355
2013,Број,Бугојно,illiterate,Ж,612
2013,Број,Бусовача,illiterate,Ж,409
2013,Број,Бужим,illiterate,Ж,480
2013,Број,Цазин,illiterate,Ж,1794
2013,Број,centar_sarajevo,illiterate,Ж,354
2013,Број,Чапљина,illiterate,Ж,294
2013,Број,Челић,illiterate,Ж,293
2013,Број,Читлук,illiterate,Ж,164
2013,Број,doboj-istok,illiterate,Ж,400
2013,Број,doboj-jug,illiterate,Ж,74
2013,Број,Добретићи,illiterate,Ж,107
2013,Број,domaljevac-samac,illiterate,Ж,94
2013,Број,Доњи Вакуф,illiterate,Ж,344
2013,Број,Дрвар,illiterate,Ж,118
2013,Број,foca-fbih,illiterate,Ж,84
2013,Број,Фојница,illiterate,Ж,341
2013,Број,Гламоч,illiterate,Ж,102
2013,Број,Горажде,illiterate,Ж,587
2013,Број,gornji_vakuf-uskoplje,illiterate,Ж,548
2013,Број,Грачаница,illiterate,Ж,1207
2013,Број,Градачац,illiterate,Ж,900
2013,Број,Груде,illiterate,Ж,219
2013,Број,hadzici,illiterate,Ж,621
2013,Број,ilidza,illiterate,Ж,1004
2013,Број,ilijas,illiterate,Ж,643
2013,Број,Јабланица,illiterate,Ж,282
2013,Број,Јајце,illiterate,Ж,782
2013,Број,Какањ,illiterate,Ж,961
2013,Број,Калесија,illiterate,Ж,1075
2013,Број,Кисељак,illiterate,Ж,509
2013,Број,Кладањ,illiterate,Ж,249
2013,Број,Кључ,illiterate,Ж,512
2013,Број,Коњиц,illiterate,Ж,765
2013,Број,Крешево,illiterate,Ж,127
2013,Број,kupres-fbih,illiterate,Ж,100
2013,Број,Ливно,illiterate,Ж,554
2013,Број,Лукавац,illiterate,Ж,1359
2013,Број,Љубушки,illiterate,Ж,312
2013,Број,Маглај,illiterate,Ж,444
2013,Број,Мостар,illiterate,Ж,1006
2013,Број,Неум,illiterate,Ж,105
2013,Број,novi_grad_sarajevo,illiterate,Ж,1470
2013,Број,Нови Травник,illiterate,Ж,459
2013,Број,novo_sarajevo,illiterate,Ж,450
2013,Број,Оџак,illiterate,Ж,370
2013,Број,Олово,illiterate,Ж,307
2013,Број,Орашје,illiterate,Ж,297
2013,Број,pale-fbih,illiterate,Ж,50
2013,Број,Посушје,illiterate,Ж,314
2013,Број,Прозор,illiterate,Ж,357
2013,Број,Равно,illiterate,Ж,33
2013,Број,Сански Мост,illiterate,Ж,959
