Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2009,Broj,Federacija Bosne i Hercegovine,Oba spola,3424
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,4865
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,6821
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,7408
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,8834
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,8735
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,9247
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,8815
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,8941
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,9665
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,9986
2020,Broj,Federacija Bosne i Hercegovine,Oba spola,10501
2021,Broj,Federacija Bosne i Hercegovine,Oba spola,9717
2022,Broj,Federacija Bosne i Hercegovine,Oba spola,9264
2023,Broj,Federacija Bosne i Hercegovine,Oba spola,9094
2009,Broj,Federacija Bosne i Hercegovine,M,1326
2010,Broj,Federacija Bosne i Hercegovine,M,1836
2011,Broj,Federacija Bosne i Hercegovine,M,2696
2012,Broj,Federacija Bosne i Hercegovine,M,2812
2013,Broj,Federacija Bosne i Hercegovine,M,3293
2014,Broj,Federacija Bosne i Hercegovine,M,3345
2015,Broj,Federacija Bosne i Hercegovine,M,3536
2016,Broj,Federacija Bosne i Hercegovine,M,3445
2017,Broj,Federacija Bosne i Hercegovine,M,3421
2018,Broj,Federacija Bosne i Hercegovine,M,3513
2019,Broj,Federacija Bosne i Hercegovine,M,3724
2020,Broj,Federacija Bosne i Hercegovine,M,3838
2021,Broj,Federacija Bosne i Hercegovine,M,3490
2022,Broj,Federacija Bosne i Hercegovine,M,3242
2023,Broj,Federacija Bosne i Hercegovine,M,3247
2009,Broj,Federacija Bosne i Hercegovine,Ž,2098
2010,Broj,Federacija Bosne i Hercegovine,Ž,3029
2011,Broj,Federacija Bosne i Hercegovine,Ž,4125
2012,Broj,Federacija Bosne i Hercegovine,Ž,4596
2013,Broj,Federacija Bosne i Hercegovine,Ž,5541
2014,Broj,Federacija Bosne i Hercegovine,Ž,5390
2015,Broj,Federacija Bosne i Hercegovine,Ž,5711
2016,Broj,Federacija Bosne i Hercegovine,Ž,5370
2017,Broj,Federacija Bosne i Hercegovine,Ž,5520
2018,Broj,Federacija Bosne i Hercegovine,Ž,6152
2019,Broj,Federacija Bosne i Hercegovine,Ž,6262
2020,Broj,Federacija Bosne i Hercegovine,Ž,6663
2021,Broj,Federacija Bosne i Hercegovine,Ž,6227
2022,Broj,Federacija Bosne i Hercegovine,Ž,6022
2023,Broj,Federacija Bosne i Hercegovine,Ž,5847
2009,Broj,Unsko-sanska županija,Oba spola,14
2010,Broj,Unsko-sanska županija,Oba spola,104
2011,Broj,Unsko-sanska županija,Oba spola,157
2013,Broj,Unsko-sanska županija,Oba spola,15
2014,Broj,Unsko-sanska županija,Oba spola,73
2015,Broj,Unsko-sanska županija,Oba spola,20
2016,Broj,Unsko-sanska županija,Oba spola,36
2017,Broj,Unsko-sanska županija,Oba spola,53
2018,Broj,Unsko-sanska županija,Oba spola,82
2019,Broj,Unsko-sanska županija,Oba spola,69
2020,Broj,Unsko-sanska županija,Oba spola,69
2021,Broj,Unsko-sanska županija,Oba spola,68
2022,Broj,Unsko-sanska županija,Oba spola,97
2023,Broj,Unsko-sanska županija,Oba spola,92
2009,Broj,Unsko-sanska županija,M,11
2010,Broj,Unsko-sanska županija,M,60
2011,Broj,Unsko-sanska županija,M,83
2013,Broj,Unsko-sanska županija,M,10
2014,Broj,Unsko-sanska županija,M,51
2015,Broj,Unsko-sanska županija,M,11
2016,Broj,Unsko-sanska županija,M,29
2017,Broj,Unsko-sanska županija,M,40
2018,Broj,Unsko-sanska županija,M,51
2019,Broj,Unsko-sanska županija,M,45
2020,Broj,Unsko-sanska županija,M,45
2021,Broj,Unsko-sanska županija,M,34
2022,Broj,Unsko-sanska županija,M,52
2023,Broj,Unsko-sanska županija,M,41
2009,Broj,Unsko-sanska županija,Ž,3
2010,Broj,Unsko-sanska županija,Ž,44
2011,Broj,Unsko-sanska županija,Ž,74
2013,Broj,Unsko-sanska županija,Ž,5
2014,Broj,Unsko-sanska županija,Ž,22
2015,Broj,Unsko-sanska županija,Ž,9
2016,Broj,Unsko-sanska županija,Ž,7
2017,Broj,Unsko-sanska županija,Ž,13
2018,Broj,Unsko-sanska županija,Ž,31
2019,Broj,Unsko-sanska županija,Ž,24
2020,Broj,Unsko-sanska županija,Ž,24
2021,Broj,Unsko-sanska županija,Ž,34
2022,Broj,Unsko-sanska županija,Ž,45
2023,Broj,Unsko-sanska županija,Ž,51
2009,Broj,Tuzlanska županija,Oba spola,1
2011,Broj,Tuzlanska županija,Oba spola,219
2012,Broj,Tuzlanska županija,Oba spola,66
2013,Broj,Tuzlanska županija,Oba spola,206
2015,Broj,Tuzlanska županija,Oba spola,352
2016,Broj,Tuzlanska županija,Oba spola,342
2017,Broj,Tuzlanska županija,Oba spola,356
2018,Broj,Tuzlanska županija,Oba spola,349
2019,Broj,Tuzlanska županija,Oba spola,353
2020,Broj,Tuzlanska županija,Oba spola,324
2021,Broj,Tuzlanska županija,Oba spola,283
2022,Broj,Tuzlanska županija,Oba spola,258
2023,Broj,Tuzlanska županija,Oba spola,278
2011,Broj,Tuzlanska županija,M,62
2012,Broj,Tuzlanska županija,M,27
2013,Broj,Tuzlanska županija,M,75
2015,Broj,Tuzlanska županija,M,146
2016,Broj,Tuzlanska županija,M,180
2017,Broj,Tuzlanska županija,M,148
2018,Broj,Tuzlanska županija,M,159
2019,Broj,Tuzlanska županija,M,160
2020,Broj,Tuzlanska županija,M,146
2021,Broj,Tuzlanska županija,M,109
2022,Broj,Tuzlanska županija,M,108
2023,Broj,Tuzlanska županija,M,127
2009,Broj,Tuzlanska županija,Ž,1
2011,Broj,Tuzlanska županija,Ž,157
2012,Broj,Tuzlanska županija,Ž,39
2013,Broj,Tuzlanska županija,Ž,131
2015,Broj,Tuzlanska županija,Ž,206
2016,Broj,Tuzlanska županija,Ž,162
2017,Broj,Tuzlanska županija,Ž,208
2018,Broj,Tuzlanska županija,Ž,190
2019,Broj,Tuzlanska županija,Ž,193
2020,Broj,Tuzlanska županija,Ž,178
2021,Broj,Tuzlanska županija,Ž,174
2022,Broj,Tuzlanska županija,Ž,150
2023,Broj,Tuzlanska županija,Ž,151
2009,Broj,Zeničko-dobojska županija,Oba spola,24
2010,Broj,Zeničko-dobojska županija,Oba spola,159
2012,Broj,Zeničko-dobojska županija,Oba spola,221
2013,Broj,Zeničko-dobojska županija,Oba spola,230
2014,Broj,Zeničko-dobojska županija,Oba spola,227
