Year,UNIT_MEASURE,Administrativna jedinica,Пол,Value
2010,Број,Federacija Bosne i Hercegovine,Оба пола,10179
2010,Број,Unsko-sanski kanton,Оба пола,996
2010,Број,Posavski kanton,Оба пола,117
2010,Број,Tuzlanski kanton,Оба пола,1865
2010,Број,Zeničko-dobojski kanton,Оба пола,1032
2010,Број,Bosansko-podrinjski kanton,Оба пола,158
2010,Број,Srednjobosanski kanton,Оба пола,703
2010,Број,Hercegovačko-neretvanski kanton,Оба пола,1445
2010,Број,Zapadno-hercegovački kanton,Оба пола,679
2010,Број,Kanton Sarajevo,Оба пола,2811
2010,Број,Kanton 10,Оба пола,373
2010,Број,Federacija Bosne i Hercegovine,M,5359
2010,Број,Unsko-sanski kanton,M,534
2010,Број,Posavski kanton,M,55
2010,Број,Tuzlanski kanton,M,953
2010,Број,Zeničko-dobojski kanton,M,563
2010,Број,Bosansko-podrinjski kanton,M,82
2010,Број,Srednjobosanski kanton,M,400
2010,Број,Hercegovačko-neretvanski kanton,M,746
2010,Број,Zapadno-hercegovački kanton,M,372
2010,Број,Kanton Sarajevo,M,1456
2010,Број,Kanton 10,M,198
2010,Број,Federacija Bosne i Hercegovine,Ж,4820
2010,Број,Unsko-sanski kanton,Ж,462
2010,Број,Posavski kanton,Ж,62
2010,Број,Tuzlanski kanton,Ж,912
2010,Број,Zeničko-dobojski kanton,Ж,469
2010,Број,Bosansko-podrinjski kanton,Ж,76
2010,Број,Srednjobosanski kanton,Ж,303
2010,Број,Hercegovačko-neretvanski kanton,Ж,699
2010,Број,Zapadno-hercegovački kanton,Ж,307
2010,Број,Kanton Sarajevo,Ж,1355
2010,Број,Kanton 10,Ж,175
2011,Број,Federacija Bosne i Hercegovine,Оба пола,10179
2011,Број,Unsko-sanski kanton,Оба пола,996
2011,Број,Posavski kanton,Оба пола,117
2011,Број,Tuzlanski kanton,Оба пола,1865
2011,Број,Zeničko-dobojski kanton,Оба пола,1032
2011,Број,Bosansko-podrinjski kanton,Оба пола,158
2011,Број,Srednjobosanski kanton,Оба пола,703
2011,Број,Hercegovačko-neretvanski kanton,Оба пола,1445
2011,Број,Zapadno-hercegovački kanton,Оба пола,679
2011,Број,Kanton Sarajevo,Оба пола,2811
2011,Број,Kanton 10,Оба пола,373
2011,Број,Federacija Bosne i Hercegovine,M,5359
2011,Број,Unsko-sanski kanton,M,534
2011,Број,Posavski kanton,M,55
2011,Број,Tuzlanski kanton,M,953
2011,Број,Zeničko-dobojski kanton,M,563
2011,Број,Bosansko-podrinjski kanton,M,82
2011,Број,Srednjobosanski kanton,M,400
2011,Број,Hercegovačko-neretvanski kanton,M,746
2011,Број,Zapadno-hercegovački kanton,M,372
2011,Број,Kanton Sarajevo,M,1456
2011,Број,Kanton 10,M,198
2011,Број,Federacija Bosne i Hercegovine,Ж,4820
2011,Број,Unsko-sanski kanton,Ж,462
2011,Број,Posavski kanton,Ж,62
2011,Број,Tuzlanski kanton,Ж,912
2011,Број,Zeničko-dobojski kanton,Ж,469
2011,Број,Bosansko-podrinjski kanton,Ж,76
2011,Број,Srednjobosanski kanton,Ж,303
2011,Број,Hercegovačko-neretvanski kanton,Ж,699
2011,Број,Zapadno-hercegovački kanton,Ж,307
2011,Број,Kanton Sarajevo,Ж,1355
2011,Број,Kanton 10,Ж,175
2012,Број,Federacija Bosne i Hercegovine,Оба пола,10969
2012,Број,Unsko-sanski kanton,Оба пола,1065
2012,Број,Posavski kanton,Оба пола,141
2012,Број,Tuzlanski kanton,Оба пола,2011
2012,Број,Zeničko-dobojski kanton,Оба пола,1251
2012,Број,Bosansko-podrinjski kanton,Оба пола,192
2012,Број,Srednjobosanski kanton,Оба пола,656
2012,Број,Hercegovačko-neretvanski kanton,Оба пола,1421
2012,Број,Zapadno-hercegovački kanton,Оба пола,756
2012,Број,Kanton Sarajevo,Оба пола,3101
2012,Број,Kanton 10,Оба пола,375
2012,Број,Federacija Bosne i Hercegovine,M,5700
2012,Број,Unsko-sanski kanton,M,564
2012,Број,Posavski kanton,M,91
2012,Број,Tuzlanski kanton,M,1096
2012,Број,Zeničko-dobojski kanton,M,651
2012,Број,Bosansko-podrinjski kanton,M,92
2012,Број,Srednjobosanski kanton,M,332
2012,Број,Hercegovačko-neretvanski kanton,M,721
2012,Број,Zapadno-hercegovački kanton,M,411
2012,Број,Kanton Sarajevo,M,1550
2012,Број,Kanton 10,M,192
2012,Број,Federacija Bosne i Hercegovine,Ж,5269
2012,Број,Unsko-sanski kanton,Ж,501
2012,Број,Posavski kanton,Ж,50
2012,Број,Tuzlanski kanton,Ж,915
2012,Број,Zeničko-dobojski kanton,Ж,600
2012,Број,Bosansko-podrinjski kanton,Ж,100
2012,Број,Srednjobosanski kanton,Ж,324
2012,Број,Hercegovačko-neretvanski kanton,Ж,700
2012,Број,Zapadno-hercegovački kanton,Ж,345
2012,Број,Kanton Sarajevo,Ж,1551
2012,Број,Kanton 10,Ж,183
2013,Број,Federacija Bosne i Hercegovine,Оба пола,156
2013,Број,Unsko-sanski kanton,Оба пола,14
