Year,UNIT_MEASURE,Sex,Value
1996,Age,M,60.7
1997,Age,M,61.6
1998,Age,M,61.3
1999,Age,M,63.2
2000,Age,M,64.1
2001,Age,M,64.5
2002,Age,M,64.4
2003,Age,M,65.5
2004,Age,M,66.0
2005,Age,M,66.4
2006,Age,M,66.5
2007,Age,M,66.8
2008,Age,M,66.7
2009,Age,M,67.5
2010,Age,M,67.7
2011,Age,M,68.2
2012,Age,M,68.9
2013,Age,M,69.0
2014,Age,M,69.4
2015,Age,M,69.6
2016,Age,M,69.7
2017,Age,M,70.1
2018,Age,M,70.5
2019,Age,M,70.5
2020,Age,M,71.0
2021,Age,M,71.2
2022,Age,M,71.4
1996,Age,F,66.2
1997,Age,F,67.5
1998,Age,F,66.8
1999,Age,F,68.5
2000,Age,F,69.3
2001,Age,F,69.9
2002,Age,F,70.3
2003,Age,F,71.1
2004,Age,F,71.3
2005,Age,F,72.0
2006,Age,F,71.7
2007,Age,F,72.0
2008,Age,F,72.5
2009,Age,F,73.0
2010,Age,F,73.3
2011,Age,F,73.7
2012,Age,F,74.1
2013,Age,F,74.3
2014,Age,F,74.7
2015,Age,F,75.0
2016,Age,F,74.9
2017,Age,F,75.0
2018,Age,F,75.5
2019,Age,F,75.6
2020,Age,F,75.9
2021,Age,F,75.8
2022,Age,F,76.0
