Year,Value,UNIT_MEASURE
1997,109.9,Number of boys to 100 girls
1998,108.0,Number of boys to 100 girls
1999,103.8,Number of boys to 100 girls
2000,106.5,Number of boys to 100 girls
2001,105.8,Number of boys to 100 girls
2002,105.4,Number of boys to 100 girls
2003,109.0,Number of boys to 100 girls
2004,106.5,Number of boys to 100 girls
2005,106.0,Number of boys to 100 girls
2006,107.8,Number of boys to 100 girls
2007,108.4,Number of boys to 100 girls
2008,104.8,Number of boys to 100 girls
2009,107.6,Number of boys to 100 girls
2010,106.8,Number of boys to 100 girls
2011,107.9,Number of boys to 100 girls
2012,108.1,Number of boys to 100 girls
2013,106.5,Number of boys to 100 girls
2014,105.1,Number of boys to 100 girls
2015,104.4,Number of boys to 100 girls
2016,108.2,Number of boys to 100 girls
2017,107.0,Number of boys to 100 girls
2018,106.4,Number of boys to 100 girls
2019,107.7,Number of boys to 100 girls
2020,107.1,Number of boys to 100 girls
