Year,Value,UNIT_MEASURE
2007,178,Number
2008,131,Number
2009,177,Number
2010,151,Number
2011,123,Number
2012,174,Number
2013,99,Number
2014,169,Number
2015,158,Number
2016,215,Number
2017,115,Number
