Year,Value,UNIT_MEASURE
2003,,Number of children born per woman during reproductive years (15-49)
2004,,Number of children born per woman during reproductive years (15-49)
2005,,Number of children born per woman during reproductive years (15-49)
2006,,Number of children born per woman during reproductive years (15-49)
2007,,Number of children born per woman during reproductive years (15-49)
2008,,Number of children born per woman during reproductive years (15-49)
2009,,Number of children born per woman during reproductive years (15-49)
2010,,Number of children born per woman during reproductive years (15-49)
2011,,Number of children born per woman during reproductive years (15-49)
2012,,Number of children born per woman during reproductive years (15-49)
2013,,Number of children born per woman during reproductive years (15-49)
2014,,Number of children born per woman during reproductive years (15-49)
2015,,Number of children born per woman during reproductive years (15-49)
2016,,Number of children born per woman during reproductive years (15-49)
2017,,Number of children born per woman during reproductive years (15-49)
2018,,Number of children born per woman during reproductive years (15-49)
2019,,Number of children born per woman during reproductive years (15-49)
2020,,Number of children born per woman during reproductive years (15-49)
