Year,Value,UNIT_MEASURE
1996,15.2,Birth Rate
1997,14.6,Birth Rate
1998,14.1,Birth Rate
1999,12.3,Birth Rate
2000,11.0,Birth Rate
2001,10.4,Birth Rate
2002,10.0,Birth Rate
2003,10.0,Birth Rate
2004,9.6,Birth Rate
2005,9.4,Birth Rate
2006,9.3,Birth Rate
2007,9.3,Birth Rate
2008,9.8,Birth Rate
2009,9.8,Birth Rate
2010,9.6,Birth Rate
2011,9.1,Birth Rate
2012,9.2,Birth Rate
2013,8.6,Birth Rate
2014,9.0,Birth Rate
2015,8.8,Birth Rate
2016,8.9,Birth Rate
2017,9.0,Birth Rate
2018,8.6,Birth Rate
2019,8.2,Birth Rate
