Year,Value,UNIT_MEASURE
1997,4.9,Number per 1000 live births
1998,4.6,Number per 1000 live births
1999,5.5,Number per 1000 live births
2000,4.2,Number per 1000 live births
2001,4.8,Number per 1000 live births
2002,4.2,Number per 1000 live births
2003,4.7,Number per 1000 live births
2004,5.5,Number per 1000 live births
2005,5.0,Number per 1000 live births
2006,4.9,Number per 1000 live births
2007,6.0,Number per 1000 live births
2008,5.6,Number per 1000 live births
2009,3.9,Number per 1000 live births
2010,3.8,Number per 1000 live births
2011,3.6,Number per 1000 live births
2012,3.2,Number per 1000 live births
2013,3.0,Number per 1000 live births
2014,2.7,Number per 1000 live births
2015,5.0,Number per 1000 live births
2016,4.8,Number per 1000 live births
2017,4.2,Number per 1000 live births
2018,3.6,Number per 1000 live births
2019,3.8,Number per 1000 live births
