Year,Value,UNIT_MEASURE
1996,6.5,Marriage Rate
1997,6.8,Marriage Rate
1998,6.7,Marriage Rate
1999,6.3,Marriage Rate
2000,6.0,Marriage Rate
2001,5.5,Marriage Rate
2002,5.6,Marriage Rate
2003,5.6,Marriage Rate
2004,5.9,Marriage Rate
2005,5.8,Marriage Rate
2006,5.6,Marriage Rate
2007,6.4,Marriage Rate
2008,6.4,Marriage Rate
2009,5.9,Marriage Rate
2010,5.6,Marriage Rate
2011,5.4,Marriage Rate
2012,5.2,Marriage Rate
2013,4.9,Marriage Rate
2014,5.4,Marriage Rate
2015,5.9,Marriage Rate
2016,5.8,Marriage Rate
2017,5.9,Marriage Rate
2018,5.9,Marriage Rate
2019,5.6,Marriage Rate
