Year,Value,UNIT_MEASURE
2020,8.8,Birth Rate
2025,8.2,Birth Rate
2030,7.6,Birth Rate
2035,7.0,Birth Rate
2040,6.7,Birth Rate
2045,6.5,Birth Rate
2050,6.4,Birth Rate
2055,6.3,Birth Rate
2060,6.2,Birth Rate
2065,6.1,Birth Rate
2070,6.1,Birth Rate
