Year,Пол,UNIT_MEASURE,Value
1997,M,Age,
1998,M,Age,
1999,M,Age,
2000,M,Age,
2001,M,Age,
2002,M,Age,
2003,M,Age,
2004,M,Age,
2005,M,Age,
2006,M,Age,
2007,M,Age,
2008,M,Age,
2009,M,Age,
2010,M,Age,
2011,M,Age,
2012,M,Age,
2013,M,Age,
2014,M,Age,
2015,M,Age,
2016,M,Age,
2017,M,Age,
2018,M,Age,
2019,M,Age,
2020,M,Age,
1997,Ж,Age,
1998,Ж,Age,
1999,Ж,Age,
2000,Ж,Age,
2001,Ж,Age,
2002,Ж,Age,
2003,Ж,Age,
2004,Ж,Age,
2005,Ж,Age,
2006,Ж,Age,
2007,Ж,Age,
2008,Ж,Age,
2009,Ж,Age,
2010,Ж,Age,
2011,Ж,Age,
2012,Ж,Age,
2013,Ж,Age,
2014,Ж,Age,
2015,Ж,Age,
2016,Ж,Age,
2017,Ж,Age,
2018,Ж,Age,
2019,Ж,Age,
2020,Ж,Age,
