Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2015,Broj,Posavska županija,Ž,140
2016,Broj,Posavska županija,Ž,163
2017,Broj,Posavska županija,Ž,147
2018,Broj,Posavska županija,Ž,141
2019,Broj,Posavska županija,Ž,139
2020,Broj,Posavska županija,Ž,117
2021,Broj,Posavska županija,Ž,108
2022,Broj,Posavska županija,Ž,104
2010,Broj,Tuzlanska županija,Oba spola,7384
2011,Broj,Tuzlanska županija,Oba spola,7674
2012,Broj,Tuzlanska županija,Oba spola,6070
2013,Broj,Tuzlanska županija,Oba spola,4077
2014,Broj,Tuzlanska županija,Oba spola,4039
2015,Broj,Tuzlanska županija,Oba spola,5119
2016,Broj,Tuzlanska županija,Oba spola,5065
2017,Broj,Tuzlanska županija,Oba spola,4514
2018,Broj,Tuzlanska županija,Oba spola,4368
2019,Broj,Tuzlanska županija,Oba spola,4302
2020,Broj,Tuzlanska županija,Oba spola,4243
2021,Broj,Tuzlanska županija,Oba spola,3869
2022,Broj,Tuzlanska županija,Oba spola,3859
2010,Broj,Tuzlanska županija,M,3717
2011,Broj,Tuzlanska županija,M,3947
2012,Broj,Tuzlanska županija,M,3147
2013,Broj,Tuzlanska županija,M,2114
2014,Broj,Tuzlanska županija,M,2032
2015,Broj,Tuzlanska županija,M,2636
2016,Broj,Tuzlanska županija,M,2557
2017,Broj,Tuzlanska županija,M,2312
2018,Broj,Tuzlanska županija,M,2235
2019,Broj,Tuzlanska županija,M,2174
2020,Broj,Tuzlanska županija,M,2190
2021,Broj,Tuzlanska županija,M,2011
2022,Broj,Tuzlanska županija,M,2011
2010,Broj,Tuzlanska županija,Ž,3667
2011,Broj,Tuzlanska županija,Ž,3727
2012,Broj,Tuzlanska županija,Ž,2923
2013,Broj,Tuzlanska županija,Ž,1963
2014,Broj,Tuzlanska županija,Ž,2007
2015,Broj,Tuzlanska županija,Ž,2483
2016,Broj,Tuzlanska županija,Ž,2508
2017,Broj,Tuzlanska županija,Ž,2202
2018,Broj,Tuzlanska županija,Ž,2133
2019,Broj,Tuzlanska županija,Ž,2128
2020,Broj,Tuzlanska županija,Ž,2053
2021,Broj,Tuzlanska županija,Ž,1858
2022,Broj,Tuzlanska županija,Ž,1848
2010,Broj,Zeničko-dobojska županija,Oba spola,6300
2011,Broj,Zeničko-dobojska županija,Oba spola,6643
2012,Broj,Zeničko-dobojska županija,Oba spola,4205
2013,Broj,Zeničko-dobojska županija,Oba spola,3703
2014,Broj,Zeničko-dobojska županija,Oba spola,4506
2015,Broj,Zeničko-dobojska županija,Oba spola,4198
2016,Broj,Zeničko-dobojska županija,Oba spola,3957
2017,Broj,Zeničko-dobojska županija,Oba spola,5596
2018,Broj,Zeničko-dobojska županija,Oba spola,4816
2019,Broj,Zeničko-dobojska županija,Oba spola,3629
2020,Broj,Zeničko-dobojska županija,Oba spola,3468
2021,Broj,Zeničko-dobojska županija,Oba spola,3536
2022,Broj,Zeničko-dobojska županija,Oba spola,3486
2010,Broj,Zeničko-dobojska županija,M,3192
2011,Broj,Zeničko-dobojska županija,M,3448
2012,Broj,Zeničko-dobojska županija,M,2144
2013,Broj,Zeničko-dobojska županija,M,1939
2014,Broj,Zeničko-dobojska županija,M,2292
2015,Broj,Zeničko-dobojska županija,M,2188
2016,Broj,Zeničko-dobojska županija,M,2007
2017,Broj,Zeničko-dobojska županija,M,2860
2018,Broj,Zeničko-dobojska županija,M,2447
2019,Broj,Zeničko-dobojska županija,M,1853
2020,Broj,Zeničko-dobojska županija,M,1764
2021,Broj,Zeničko-dobojska županija,M,1793
2022,Broj,Zeničko-dobojska županija,M,1797
2010,Broj,Zeničko-dobojska županija,Ž,3108
2011,Broj,Zeničko-dobojska županija,Ž,3195
2012,Broj,Zeničko-dobojska županija,Ž,2061
2013,Broj,Zeničko-dobojska županija,Ž,1764
2014,Broj,Zeničko-dobojska županija,Ž,2214
2015,Broj,Zeničko-dobojska županija,Ž,2010
2016,Broj,Zeničko-dobojska županija,Ž,1950
