Year,UNIT_MEASURE,Административна јединица,Пол,Value
2010,Број,Федерација Босне и Херцеговине,Оба пола,535
2011,Број,Федерација Босне и Херцеговине,Оба пола,1157
2012,Број,Федерација Босне и Херцеговине,Оба пола,1595
2013,Број,Федерација Босне и Херцеговине,Оба пола,2316
2014,Број,Федерација Босне и Херцеговине,Оба пола,2355
2015,Број,Федерација Босне и Херцеговине,Оба пола,2564
2016,Број,Федерација Босне и Херцеговине,Оба пола,2959
2017,Број,Федерација Босне и Херцеговине,Оба пола,2927
2018,Број,Федерација Босне и Херцеговине,Оба пола,2641
2019,Број,Федерација Босне и Херцеговине,Оба пола,2823
2020,Број,Федерација Босне и Херцеговине,Оба пола,2718
2021,Број,Федерација Босне и Херцеговине,Оба пола,3116
2022,Број,Федерација Босне и Херцеговине,Оба пола,2795
2010,Број,Федерација Босне и Херцеговине,M,201
2011,Број,Федерација Босне и Херцеговине,M,393
2012,Број,Федерација Босне и Херцеговине,M,557
2013,Број,Федерација Босне и Херцеговине,M,862
2014,Број,Федерација Босне и Херцеговине,M,837
2015,Број,Федерација Босне и Херцеговине,M,962
2016,Број,Федерација Босне и Херцеговине,M,1070
2017,Број,Федерација Босне и Херцеговине,M,1038
2018,Број,Федерација Босне и Херцеговине,M,980
2019,Број,Федерација Босне и Херцеговине,M,1026
2020,Број,Федерација Босне и Херцеговине,M,950
2021,Број,Федерација Босне и Херцеговине,M,1064
2022,Број,Федерација Босне и Херцеговине,M,992
2010,Број,Федерација Босне и Херцеговине,Ж,334
2011,Број,Федерација Босне и Херцеговине,Ж,764
2012,Број,Федерација Босне и Херцеговине,Ж,1038
2013,Број,Федерација Босне и Херцеговине,Ж,1454
2014,Број,Федерација Босне и Херцеговине,Ж,1518
2015,Број,Федерација Босне и Херцеговине,Ж,1602
2016,Број,Федерација Босне и Херцеговине,Ж,1889
2017,Број,Федерација Босне и Херцеговине,Ж,1889
2018,Број,Федерација Босне и Херцеговине,Ж,1661
2019,Број,Федерација Босне и Херцеговине,Ж,1797
2020,Број,Федерација Босне и Херцеговине,Ж,1768
2021,Број,Федерација Босне и Херцеговине,Ж,2052
2022,Број,Федерација Босне и Херцеговине,Ж,1803
2010,Број,Унско-сански кантон,Оба пола,1
2013,Број,Унско-сански кантон,Оба пола,1
2014,Број,Унско-сански кантон,Оба пола,9
2015,Број,Унско-сански кантон,Оба пола,19
2016,Број,Унско-сански кантон,Оба пола,27
2017,Број,Унско-сански кантон,Оба пола,29
2018,Број,Унско-сански кантон,Оба пола,22
2019,Број,Унско-сански кантон,Оба пола,22
2020,Број,Унско-сански кантон,Оба пола,15
2021,Број,Унско-сански кантон,Оба пола,18
2022,Број,Унско-сански кантон,Оба пола,11
2013,Број,Унско-сански кантон,M,1
2014,Број,Унско-сански кантон,M,5
2015,Број,Унско-сански кантон,M,13
2016,Број,Унско-сански кантон,M,13
2017,Број,Унско-сански кантон,M,18
2018,Број,Унско-сански кантон,M,16
2019,Број,Унско-сански кантон,M,9
2020,Број,Унско-сански кантон,M,6
2021,Број,Унско-сански кантон,M,7
2022,Број,Унско-сански кантон,M,3
2010,Број,Унско-сански кантон,Ж,1
