Year,UNIT_MEASURE,Value
2003,NUMBER,0.3
2004,NUMBER,0.3
2005,NUMBER,0.3
2006,NUMBER,0.5
2007,NUMBER,0.1
2008,NUMBER,0.3
2009,NUMBER,0.2
2010,NUMBER,0.1
2011,NUMBER,0.9
2012,NUMBER,0.7
2013,NUMBER,0.7
2014,NUMBER,0.7
2015,NUMBER,0.7
2016,NUMBER,0.7
2017,NUMBER,0.3
2018,NUMBER,0.9
2019,NUMBER,0.9
2020,NUMBER,0.5
2021,NUMBER,1.1
2022,NUMBER,1.4
