Year,UNIT_MEASURE,Administrative Area,Sex,Value
2010,Number,Federation of Bosnia and Herzegovina,Both sexes,11350.0
2011,Number,Federation of Bosnia and Herzegovina,Both sexes,11209.0
2012,Number,Federation of Bosnia and Herzegovina,Both sexes,12231.0
2013,Number,Federation of Bosnia and Herzegovina,Both sexes,13491.0
2014,Number,Federation of Bosnia and Herzegovina,Both sexes,12183.0
2015,Number,Federation of Bosnia and Herzegovina,Both sexes,11846.0
2016,Number,Federation of Bosnia and Herzegovina,Both sexes,12149.0
2017,Number,Federation of Bosnia and Herzegovina,Both sexes,12060.0
2018,Number,Federation of Bosnia and Herzegovina,Both sexes,11747.0
2019,Number,Federation of Bosnia and Herzegovina,Both sexes,12359.0
2020,Number,Federation of Bosnia and Herzegovina,Both sexes,11476.0
2021,Number,Federation of Bosnia and Herzegovina,Both sexes,11537.0
2022,Number,Federation of Bosnia and Herzegovina,Both sexes,10374.0
2023,Number,Federation of Bosnia and Herzegovina,Both sexes,9286.0
2010,Number,Federation of Bosnia and Herzegovina,M,4143.0
2011,Number,Federation of Bosnia and Herzegovina,M,4291.0
2012,Number,Federation of Bosnia and Herzegovina,M,4650.0
2013,Number,Federation of Bosnia and Herzegovina,M,5150.0
2014,Number,Federation of Bosnia and Herzegovina,M,4700.0
2015,Number,Federation of Bosnia and Herzegovina,M,4611.0
2016,Number,Federation of Bosnia and Herzegovina,M,4767.0
2017,Number,Federation of Bosnia and Herzegovina,M,4798.0
2018,Number,Federation of Bosnia and Herzegovina,M,4682.0
2019,Number,Federation of Bosnia and Herzegovina,M,4803.0
2020,Number,Federation of Bosnia and Herzegovina,M,4403.0
2021,Number,Federation of Bosnia and Herzegovina,M,4230.0
2022,Number,Federation of Bosnia and Herzegovina,M,3731.0
2023,Number,Federation of Bosnia and Herzegovina,M,3331.0
2010,Number,Federation of Bosnia and Herzegovina,F,7207.0
2011,Number,Federation of Bosnia and Herzegovina,F,6918.0
2012,Number,Federation of Bosnia and Herzegovina,F,7581.0
2013,Number,Federation of Bosnia and Herzegovina,F,8341.0
2014,Number,Federation of Bosnia and Herzegovina,F,7483.0
2015,Number,Federation of Bosnia and Herzegovina,F,7235.0
2016,Number,Federation of Bosnia and Herzegovina,F,7382.0
2017,Number,Federation of Bosnia and Herzegovina,F,7262.0
2018,Number,Federation of Bosnia and Herzegovina,F,7065.0
2019,Number,Federation of Bosnia and Herzegovina,F,7556.0
2020,Number,Federation of Bosnia and Herzegovina,F,7073.0
2021,Number,Federation of Bosnia and Herzegovina,F,7307.0
2022,Number,Federation of Bosnia and Herzegovina,F,6643.0
2023,Number,Federation of Bosnia and Herzegovina,F,5955.0
2010,Number,Una-Sana Canton,Both sexes,729.0
2011,Number,Una-Sana Canton,Both sexes,409.0
2012,Number,Una-Sana Canton,Both sexes,603.0
2013,Number,Una-Sana Canton,Both sexes,588.0
2014,Number,Una-Sana Canton,Both sexes,514.0
2015,Number,Una-Sana Canton,Both sexes,481.0
2016,Number,Una-Sana Canton,Both sexes,417.0
2017,Number,Una-Sana Canton,Both sexes,432.0
2018,Number,Una-Sana Canton,Both sexes,423.0
2019,Number,Una-Sana Canton,Both sexes,330.0
2020,Number,Una-Sana Canton,Both sexes,272.0
2021,Number,Una-Sana Canton,Both sexes,384.0
2022,Number,Una-Sana Canton,Both sexes,314.0
2023,Number,Una-Sana Canton,Both sexes,236.0
2010,Number,Una-Sana Canton,M,249.0
2011,Number,Una-Sana Canton,M,179.0
2012,Number,Una-Sana Canton,M,204.0
2013,Number,Una-Sana Canton,M,219.0
2014,Number,Una-Sana Canton,M,195.0
2015,Number,Una-Sana Canton,M,210.0
2016,Number,Una-Sana Canton,M,158.0
2017,Number,Una-Sana Canton,M,181.0
2018,Number,Una-Sana Canton,M,178.0
2019,Number,Una-Sana Canton,M,105.0
2020,Number,Una-Sana Canton,M,91.0
2021,Number,Una-Sana Canton,M,108.0
2022,Number,Una-Sana Canton,M,84.0
2023,Number,Una-Sana Canton,M,80.0
2010,Number,Una-Sana Canton,F,480.0
2011,Number,Una-Sana Canton,F,230.0
2012,Number,Una-Sana Canton,F,399.0
2013,Number,Una-Sana Canton,F,369.0
2014,Number,Una-Sana Canton,F,319.0
2015,Number,Una-Sana Canton,F,271.0
2016,Number,Una-Sana Canton,F,259.0
2017,Number,Una-Sana Canton,F,251.0
2018,Number,Una-Sana Canton,F,245.0
2019,Number,Una-Sana Canton,F,225.0
2020,Number,Una-Sana Canton,F,181.0
2021,Number,Una-Sana Canton,F,276.0
2022,Number,Una-Sana Canton,F,230.0
2023,Number,Una-Sana Canton,F,156.0
2010,Number,Tuzla Canton,Both sexes,1938.0
2011,Number,Tuzla Canton,Both sexes,2032.0
2012,Number,Tuzla Canton,Both sexes,2046.0
2013,Number,Tuzla Canton,Both sexes,2050.0
2014,Number,Tuzla Canton,Both sexes,1943.0
2015,Number,Tuzla Canton,Both sexes,1773.0
2016,Number,Tuzla Canton,Both sexes,1548.0
2017,Number,Tuzla Canton,Both sexes,1441.0
2018,Number,Tuzla Canton,Both sexes,1449.0
2019,Number,Tuzla Canton,Both sexes,1656.0
2020,Number,Tuzla Canton,Both sexes,1496.0
2021,Number,Tuzla Canton,Both sexes,1404.0
2022,Number,Tuzla Canton,Both sexes,1346.0
2023,Number,Tuzla Canton,Both sexes,1172.0
2010,Number,Tuzla Canton,M,646.0
2011,Number,Tuzla Canton,M,698.0
2012,Number,Tuzla Canton,M,738.0
2013,Number,Tuzla Canton,M,732.0
2014,Number,Tuzla Canton,M,682.0
2015,Number,Tuzla Canton,M,595.0
2016,Number,Tuzla Canton,M,581.0
2017,Number,Tuzla Canton,M,540.0
2018,Number,Tuzla Canton,M,539.0
2019,Number,Tuzla Canton,M,569.0
2020,Number,Tuzla Canton,M,525.0
2021,Number,Tuzla Canton,M,485.0
2022,Number,Tuzla Canton,M,464.0
2023,Number,Tuzla Canton,M,435.0
2010,Number,Tuzla Canton,F,1292.0
2011,Number,Tuzla Canton,F,1334.0
2012,Number,Tuzla Canton,F,1308.0
2013,Number,Tuzla Canton,F,1318.0
2014,Number,Tuzla Canton,F,1261.0
2015,Number,Tuzla Canton,F,1178.0
2016,Number,Tuzla Canton,F,967.0
2017,Number,Tuzla Canton,F,901.0
2018,Number,Tuzla Canton,F,910.0
2019,Number,Tuzla Canton,F,1087.0
2020,Number,Tuzla Canton,F,971.0
2021,Number,Tuzla Canton,F,919.0
2022,Number,Tuzla Canton,F,882.0
2023,Number,Tuzla Canton,F,737.0
2010,Number,Zenica-Doboj Canton,Both sexes,235.0
2011,Number,Zenica-Doboj Canton,Both sexes,348.0
2012,Number,Zenica-Doboj Canton,Both sexes,596.0
2013,Number,Zenica-Doboj Canton,Both sexes,567.0
2014,Number,Zenica-Doboj Canton,Both sexes,271.0
2015,Number,Zenica-Doboj Canton,Both sexes,412.0
2016,Number,Zenica-Doboj Canton,Both sexes,445.0
2017,Number,Zenica-Doboj Canton,Both sexes,508.0
2018,Number,Zenica-Doboj Canton,Both sexes,519.0
2019,Number,Zenica-Doboj Canton,Both sexes,472.0
2020,Number,Zenica-Doboj Canton,Both sexes,454.0
2021,Number,Zenica-Doboj Canton,Both sexes,443.0
2022,Number,Zenica-Doboj Canton,Both sexes,398.0
2023,Number,Zenica-Doboj Canton,Both sexes,406.0
2010,Number,Zenica-Doboj Canton,M,85.0
2011,Number,Zenica-Doboj Canton,M,107.0
2012,Number,Zenica-Doboj Canton,M,161.0
2013,Number,Zenica-Doboj Canton,M,170.0
2014,Number,Zenica-Doboj Canton,M,95.0
2015,Number,Zenica-Doboj Canton,M,111.0
2016,Number,Zenica-Doboj Canton,M,153.0
2017,Number,Zenica-Doboj Canton,M,159.0
2018,Number,Zenica-Doboj Canton,M,189.0
2019,Number,Zenica-Doboj Canton,M,148.0
2020,Number,Zenica-Doboj Canton,M,133.0
2021,Number,Zenica-Doboj Canton,M,156.0
2022,Number,Zenica-Doboj Canton,M,97.0
2023,Number,Zenica-Doboj Canton,M,105.0
2010,Number,Zenica-Doboj Canton,F,150.0
2011,Number,Zenica-Doboj Canton,F,241.0
2012,Number,Zenica-Doboj Canton,F,435.0
2013,Number,Zenica-Doboj Canton,F,397.0
2014,Number,Zenica-Doboj Canton,F,176.0
2015,Number,Zenica-Doboj Canton,F,301.0
2016,Number,Zenica-Doboj Canton,F,292.0
2017,Number,Zenica-Doboj Canton,F,349.0
