Year,UNIT_MEASURE,Administrative Area,Type of education,Sex,Value
2019,Number,Una-Sana Canton,Specialists,F,
2020,Number,Una-Sana Canton,Specialists,Both sexes,
2020,Number,Una-Sana Canton,Specialists,M,
2020,Number,Una-Sana Canton,Specialists,F,
2016,Number,Zenica-Doboj Canton,Masters of science,Both sexes,
2016,Number,Zenica-Doboj Canton,Masters of science,M,
2016,Number,Zenica-Doboj Canton,Masters of science,F,
2017,Number,Zenica-Doboj Canton,Masters of science,Both sexes,
2017,Number,Zenica-Doboj Canton,Masters of science,M,
2017,Number,Zenica-Doboj Canton,Masters of science,F,
2018,Number,Zenica-Doboj Canton,Masters of science,Both sexes,
2018,Number,Zenica-Doboj Canton,Masters of science,M,
2018,Number,Zenica-Doboj Canton,Masters of science,F,
2019,Number,Zenica-Doboj Canton,Masters of science,Both sexes,
2019,Number,Zenica-Doboj Canton,Masters of science,M,
2019,Number,Zenica-Doboj Canton,Masters of science,F,
2020,Number,Zenica-Doboj Canton,Masters of science,Both sexes,
2020,Number,Zenica-Doboj Canton,Masters of science,M,
2020,Number,Zenica-Doboj Canton,Masters of science,F,
2016,Number,Zenica-Doboj Canton,Masters,Both sexes,
2016,Number,Zenica-Doboj Canton,Masters,M,
2016,Number,Zenica-Doboj Canton,Masters,F,
2017,Number,Zenica-Doboj Canton,Masters,Both sexes,
2017,Number,Zenica-Doboj Canton,Masters,M,
2017,Number,Zenica-Doboj Canton,Masters,F,
2018,Number,Zenica-Doboj Canton,Masters,Both sexes,
2018,Number,Zenica-Doboj Canton,Masters,M,
2018,Number,Zenica-Doboj Canton,Masters,F,
2019,Number,Zenica-Doboj Canton,Masters,Both sexes,
2019,Number,Zenica-Doboj Canton,Masters,M,
2019,Number,Zenica-Doboj Canton,Masters,F,
2020,Number,Zenica-Doboj Canton,Masters,Both sexes,
2020,Number,Zenica-Doboj Canton,Masters,M,
2020,Number,Zenica-Doboj Canton,Masters,F,
2016,Number,Zenica-Doboj Canton,Specialists,Both sexes,
2016,Number,Zenica-Doboj Canton,Specialists,M,
2016,Number,Zenica-Doboj Canton,Specialists,F,
2017,Number,Zenica-Doboj Canton,Specialists,Both sexes,
2017,Number,Zenica-Doboj Canton,Specialists,M,
2017,Number,Zenica-Doboj Canton,Specialists,F,
2018,Number,Zenica-Doboj Canton,Specialists,Both sexes,
2018,Number,Zenica-Doboj Canton,Specialists,M,
2018,Number,Zenica-Doboj Canton,Specialists,F,
2019,Number,Zenica-Doboj Canton,Specialists,Both sexes,
2019,Number,Zenica-Doboj Canton,Specialists,M,
2019,Number,Zenica-Doboj Canton,Specialists,F,
2020,Number,Zenica-Doboj Canton,Specialists,Both sexes,
2020,Number,Zenica-Doboj Canton,Specialists,M,
2020,Number,Zenica-Doboj Canton,Specialists,F,
2016,Number,Bosnian-Podrinje Canton,Masters of science,Both sexes,
2016,Number,Bosnian-Podrinje Canton,Masters of science,M,
2016,Number,Bosnian-Podrinje Canton,Masters of science,F,
2017,Number,Bosnian-Podrinje Canton,Masters of science,Both sexes,
2017,Number,Bosnian-Podrinje Canton,Masters of science,M,
2017,Number,Bosnian-Podrinje Canton,Masters of science,F,
2018,Number,Bosnian-Podrinje Canton,Masters of science,Both sexes,
2018,Number,Bosnian-Podrinje Canton,Masters of science,M,
2018,Number,Bosnian-Podrinje Canton,Masters of science,F,
2019,Number,Bosnian-Podrinje Canton,Masters of science,Both sexes,
2019,Number,Bosnian-Podrinje Canton,Masters of science,M,
2019,Number,Bosnian-Podrinje Canton,Masters of science,F,
2020,Number,Bosnian-Podrinje Canton,Masters of science,Both sexes,
2020,Number,Bosnian-Podrinje Canton,Masters of science,M,
2020,Number,Bosnian-Podrinje Canton,Masters of science,F,
2016,Number,Bosnian-Podrinje Canton,Masters,Both sexes,
2016,Number,Bosnian-Podrinje Canton,Masters,M,
2016,Number,Bosnian-Podrinje Canton,Masters,F,
2017,Number,Bosnian-Podrinje Canton,Masters,Both sexes,
2017,Number,Bosnian-Podrinje Canton,Masters,M,
2017,Number,Bosnian-Podrinje Canton,Masters,F,
2018,Number,Bosnian-Podrinje Canton,Masters,Both sexes,
2018,Number,Bosnian-Podrinje Canton,Masters,M,
2018,Number,Bosnian-Podrinje Canton,Masters,F,
2019,Number,Bosnian-Podrinje Canton,Masters,Both sexes,
2019,Number,Bosnian-Podrinje Canton,Masters,M,
2019,Number,Bosnian-Podrinje Canton,Masters,F,
2020,Number,Bosnian-Podrinje Canton,Masters,Both sexes,
2020,Number,Bosnian-Podrinje Canton,Masters,M,
2020,Number,Bosnian-Podrinje Canton,Masters,F,
2016,Number,Bosnian-Podrinje Canton,Specialists,Both sexes,
2016,Number,Bosnian-Podrinje Canton,Specialists,M,
2016,Number,Bosnian-Podrinje Canton,Specialists,F,
2017,Number,Bosnian-Podrinje Canton,Specialists,Both sexes,
2017,Number,Bosnian-Podrinje Canton,Specialists,M,
2017,Number,Bosnian-Podrinje Canton,Specialists,F,
2018,Number,Bosnian-Podrinje Canton,Specialists,Both sexes,
2018,Number,Bosnian-Podrinje Canton,Specialists,M,
2018,Number,Bosnian-Podrinje Canton,Specialists,F,
2019,Number,Bosnian-Podrinje Canton,Specialists,Both sexes,
2019,Number,Bosnian-Podrinje Canton,Specialists,M,
2019,Number,Bosnian-Podrinje Canton,Specialists,F,
2020,Number,Bosnian-Podrinje Canton,Specialists,Both sexes,
2020,Number,Bosnian-Podrinje Canton,Specialists,M,
2020,Number,Bosnian-Podrinje Canton,Specialists,F,
2016,Number,Central Bosnia Canton,Masters of science,Both sexes,
2016,Number,Central Bosnia Canton,Masters of science,M,
2016,Number,Central Bosnia Canton,Masters of science,F,
2017,Number,Central Bosnia Canton,Masters of science,Both sexes,
2017,Number,Central Bosnia Canton,Masters of science,M,
2017,Number,Central Bosnia Canton,Masters of science,F,
2018,Number,Central Bosnia Canton,Masters of science,Both sexes,
2018,Number,Central Bosnia Canton,Masters of science,M,
2018,Number,Central Bosnia Canton,Masters of science,F,
2019,Number,Central Bosnia Canton,Masters of science,Both sexes,
2019,Number,Central Bosnia Canton,Masters of science,M,
2019,Number,Central Bosnia Canton,Masters of science,F,
2020,Number,Central Bosnia Canton,Masters of science,Both sexes,
2020,Number,Central Bosnia Canton,Masters of science,M,
2020,Number,Central Bosnia Canton,Masters of science,F,
2016,Number,Central Bosnia Canton,Masters,Both sexes,
2016,Number,Central Bosnia Canton,Masters,M,
2016,Number,Central Bosnia Canton,Masters,F,
2017,Number,Central Bosnia Canton,Masters,Both sexes,
2017,Number,Central Bosnia Canton,Masters,M,
2017,Number,Central Bosnia Canton,Masters,F,
2018,Number,Central Bosnia Canton,Masters,Both sexes,
2018,Number,Central Bosnia Canton,Masters,M,
2018,Number,Central Bosnia Canton,Masters,F,
2019,Number,Central Bosnia Canton,Masters,Both sexes,
2019,Number,Central Bosnia Canton,Masters,M,
2019,Number,Central Bosnia Canton,Masters,F,
2020,Number,Central Bosnia Canton,Masters,Both sexes,
2020,Number,Central Bosnia Canton,Masters,M,
2020,Number,Central Bosnia Canton,Masters,F,
2016,Number,Central Bosnia Canton,Specialists,Both sexes,
2016,Number,Central Bosnia Canton,Specialists,M,
2016,Number,Central Bosnia Canton,Specialists,F,
2017,Number,Central Bosnia Canton,Specialists,Both sexes,
2017,Number,Central Bosnia Canton,Specialists,M,
2017,Number,Central Bosnia Canton,Specialists,F,
2018,Number,Central Bosnia Canton,Specialists,Both sexes,
2018,Number,Central Bosnia Canton,Specialists,M,
2018,Number,Central Bosnia Canton,Specialists,F,
2019,Number,Central Bosnia Canton,Specialists,Both sexes,
2019,Number,Central Bosnia Canton,Specialists,M,
2019,Number,Central Bosnia Canton,Specialists,F,
2020,Number,Central Bosnia Canton,Specialists,Both sexes,
2020,Number,Central Bosnia Canton,Specialists,M,
2020,Number,Central Bosnia Canton,Specialists,F,
2016,Number,Herzegovina-Neretva Canton,Masters of science,Both sexes,
2016,Number,Herzegovina-Neretva Canton,Masters of science,M,
2016,Number,Herzegovina-Neretva Canton,Masters of science,F,
2017,Number,Herzegovina-Neretva Canton,Masters of science,Both sexes,
2017,Number,Herzegovina-Neretva Canton,Masters of science,M,
2017,Number,Herzegovina-Neretva Canton,Masters of science,F,
2018,Number,Herzegovina-Neretva Canton,Masters of science,Both sexes,
2018,Number,Herzegovina-Neretva Canton,Masters of science,M,
2018,Number,Herzegovina-Neretva Canton,Masters of science,F,
2019,Number,Herzegovina-Neretva Canton,Masters of science,Both sexes,
2019,Number,Herzegovina-Neretva Canton,Masters of science,M,
2019,Number,Herzegovina-Neretva Canton,Masters of science,F,
2020,Number,Herzegovina-Neretva Canton,Masters of science,Both sexes,
2020,Number,Herzegovina-Neretva Canton,Masters of science,M,
2020,Number,Herzegovina-Neretva Canton,Masters of science,F,
2016,Number,Herzegovina-Neretva Canton,Masters,Both sexes,
2016,Number,Herzegovina-Neretva Canton,Masters,M,
2016,Number,Herzegovina-Neretva Canton,Masters,F,
2017,Number,Herzegovina-Neretva Canton,Masters,Both sexes,
2017,Number,Herzegovina-Neretva Canton,Masters,M,
2017,Number,Herzegovina-Neretva Canton,Masters,F,
2018,Number,Herzegovina-Neretva Canton,Masters,Both sexes,
2018,Number,Herzegovina-Neretva Canton,Masters,M,
2018,Number,Herzegovina-Neretva Canton,Masters,F,
2019,Number,Herzegovina-Neretva Canton,Masters,Both sexes,
2019,Number,Herzegovina-Neretva Canton,Masters,M,
2019,Number,Herzegovina-Neretva Canton,Masters,F,
2020,Number,Herzegovina-Neretva Canton,Masters,Both sexes,
2020,Number,Herzegovina-Neretva Canton,Masters,M,
2020,Number,Herzegovina-Neretva Canton,Masters,F,
2016,Number,Herzegovina-Neretva Canton,Specialists,Both sexes,
2016,Number,Herzegovina-Neretva Canton,Specialists,M,
2016,Number,Herzegovina-Neretva Canton,Specialists,F,
2017,Number,Herzegovina-Neretva Canton,Specialists,Both sexes,
2017,Number,Herzegovina-Neretva Canton,Specialists,M,
2017,Number,Herzegovina-Neretva Canton,Specialists,F,
2018,Number,Herzegovina-Neretva Canton,Specialists,Both sexes,
2018,Number,Herzegovina-Neretva Canton,Specialists,M,
2018,Number,Herzegovina-Neretva Canton,Specialists,F,
2019,Number,Herzegovina-Neretva Canton,Specialists,Both sexes,
2019,Number,Herzegovina-Neretva Canton,Specialists,M,
2019,Number,Herzegovina-Neretva Canton,Specialists,F,
2020,Number,Herzegovina-Neretva Canton,Specialists,Both sexes,
2020,Number,Herzegovina-Neretva Canton,Specialists,M,
2020,Number,Herzegovina-Neretva Canton,Specialists,F,
2016,Number,Sarajevo Canton,Masters of science,Both sexes,
2016,Number,Sarajevo Canton,Masters of science,M,
2016,Number,Sarajevo Canton,Masters of science,F,
2017,Number,Sarajevo Canton,Masters of science,Both sexes,
2017,Number,Sarajevo Canton,Masters of science,M,
2017,Number,Sarajevo Canton,Masters of science,F,
2018,Number,Sarajevo Canton,Masters of science,Both sexes,
2018,Number,Sarajevo Canton,Masters of science,M,
2018,Number,Sarajevo Canton,Masters of science,F,
2019,Number,Sarajevo Canton,Masters of science,Both sexes,
2019,Number,Sarajevo Canton,Masters of science,M,
2019,Number,Sarajevo Canton,Masters of science,F,
2020,Number,Sarajevo Canton,Masters of science,Both sexes,
2020,Number,Sarajevo Canton,Masters of science,M,
2020,Number,Sarajevo Canton,Masters of science,F,
2016,Number,Sarajevo Canton,Masters,Both sexes,
2016,Number,Sarajevo Canton,Masters,M,
2016,Number,Sarajevo Canton,Masters,F,
2017,Number,Sarajevo Canton,Masters,Both sexes,
2017,Number,Sarajevo Canton,Masters,M,
2017,Number,Sarajevo Canton,Masters,F,
2018,Number,Sarajevo Canton,Masters,Both sexes,
2018,Number,Sarajevo Canton,Masters,M,
2018,Number,Sarajevo Canton,Masters,F,
2019,Number,Sarajevo Canton,Masters,Both sexes,
2019,Number,Sarajevo Canton,Masters,M,
2019,Number,Sarajevo Canton,Masters,F,
2020,Number,Sarajevo Canton,Masters,Both sexes,
2020,Number,Sarajevo Canton,Masters,M,
2020,Number,Sarajevo Canton,Masters,F,
2016,Number,Sarajevo Canton,Specialists,Both sexes,
2016,Number,Sarajevo Canton,Specialists,M,
2016,Number,Sarajevo Canton,Specialists,F,
2017,Number,Sarajevo Canton,Specialists,Both sexes,
2017,Number,Sarajevo Canton,Specialists,M,
2017,Number,Sarajevo Canton,Specialists,F,
2018,Number,Sarajevo Canton,Specialists,Both sexes,
2018,Number,Sarajevo Canton,Specialists,M,
2018,Number,Sarajevo Canton,Specialists,F,
2019,Number,Sarajevo Canton,Specialists,Both sexes,
2019,Number,Sarajevo Canton,Specialists,M,
2019,Number,Sarajevo Canton,Specialists,F,
2020,Number,Sarajevo Canton,Specialists,Both sexes,
2020,Number,Sarajevo Canton,Specialists,M,
2020,Number,Sarajevo Canton,Specialists,F,
