Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2012,Broj,zenica-doboj_canton,M,
2013,Broj,zenica-doboj_canton,M,
2014,Broj,zenica-doboj_canton,M,
2015,Broj,zenica-doboj_canton,M,
2016,Broj,zenica-doboj_canton,M,
2017,Broj,zenica-doboj_canton,M,
2018,Broj,zenica-doboj_canton,M,
2019,Broj,zenica-doboj_canton,M,
2010,Broj,zenica-doboj_canton,Ž,
2011,Broj,zenica-doboj_canton,Ž,
2012,Broj,zenica-doboj_canton,Ž,
2013,Broj,zenica-doboj_canton,Ž,
2014,Broj,zenica-doboj_canton,Ž,
2015,Broj,zenica-doboj_canton,Ž,
2016,Broj,zenica-doboj_canton,Ž,
2017,Broj,zenica-doboj_canton,Ž,
2018,Broj,zenica-doboj_canton,Ž,
2019,Broj,zenica-doboj_canton,Ž,
2010,Broj,bosnian-podrinje_canton,Oba spola,
2011,Broj,bosnian-podrinje_canton,Oba spola,
2012,Broj,bosnian-podrinje_canton,Oba spola,
2013,Broj,bosnian-podrinje_canton,Oba spola,
2014,Broj,bosnian-podrinje_canton,Oba spola,
2015,Broj,bosnian-podrinje_canton,Oba spola,
2016,Broj,bosnian-podrinje_canton,Oba spola,
2017,Broj,bosnian-podrinje_canton,Oba spola,
2018,Broj,bosnian-podrinje_canton,Oba spola,
2019,Broj,bosnian-podrinje_canton,Oba spola,
2010,Broj,bosnian-podrinje_canton,M,
2011,Broj,bosnian-podrinje_canton,M,
2012,Broj,bosnian-podrinje_canton,M,
2013,Broj,bosnian-podrinje_canton,M,
2014,Broj,bosnian-podrinje_canton,M,
2015,Broj,bosnian-podrinje_canton,M,
2016,Broj,bosnian-podrinje_canton,M,
2017,Broj,bosnian-podrinje_canton,M,
2018,Broj,bosnian-podrinje_canton,M,
2019,Broj,bosnian-podrinje_canton,M,
2010,Broj,bosnian-podrinje_canton,Ž,
2011,Broj,bosnian-podrinje_canton,Ž,
2012,Broj,bosnian-podrinje_canton,Ž,
2013,Broj,bosnian-podrinje_canton,Ž,
2014,Broj,bosnian-podrinje_canton,Ž,
2015,Broj,bosnian-podrinje_canton,Ž,
2016,Broj,bosnian-podrinje_canton,Ž,
2017,Broj,bosnian-podrinje_canton,Ž,
2018,Broj,bosnian-podrinje_canton,Ž,
2019,Broj,bosnian-podrinje_canton,Ž,
2010,Broj,central_bosnia_canton,Oba spola,
2011,Broj,central_bosnia_canton,Oba spola,
2012,Broj,central_bosnia_canton,Oba spola,
2013,Broj,central_bosnia_canton,Oba spola,
2014,Broj,central_bosnia_canton,Oba spola,
2015,Broj,central_bosnia_canton,Oba spola,
2016,Broj,central_bosnia_canton,Oba spola,
2017,Broj,central_bosnia_canton,Oba spola,
2018,Broj,central_bosnia_canton,Oba spola,
2019,Broj,central_bosnia_canton,Oba spola,
2010,Broj,central_bosnia_canton,M,
2011,Broj,central_bosnia_canton,M,
2012,Broj,central_bosnia_canton,M,
2013,Broj,central_bosnia_canton,M,
2014,Broj,central_bosnia_canton,M,
2015,Broj,central_bosnia_canton,M,
2016,Broj,central_bosnia_canton,M,
2017,Broj,central_bosnia_canton,M,
2018,Broj,central_bosnia_canton,M,
2019,Broj,central_bosnia_canton,M,
2010,Broj,central_bosnia_canton,Ž,
2011,Broj,central_bosnia_canton,Ž,
2012,Broj,central_bosnia_canton,Ž,
2013,Broj,central_bosnia_canton,Ž,
2014,Broj,central_bosnia_canton,Ž,
2015,Broj,central_bosnia_canton,Ž,
2016,Broj,central_bosnia_canton,Ž,
2017,Broj,central_bosnia_canton,Ž,
2018,Broj,central_bosnia_canton,Ž,
2019,Broj,central_bosnia_canton,Ž,
2010,Broj,herzegovina-neretva_canton,Oba spola,
2011,Broj,herzegovina-neretva_canton,Oba spola,
2012,Broj,herzegovina-neretva_canton,Oba spola,
2013,Broj,herzegovina-neretva_canton,Oba spola,
2014,Broj,herzegovina-neretva_canton,Oba spola,
2015,Broj,herzegovina-neretva_canton,Oba spola,
2016,Broj,herzegovina-neretva_canton,Oba spola,
2017,Broj,herzegovina-neretva_canton,Oba spola,
2018,Broj,herzegovina-neretva_canton,Oba spola,
2019,Broj,herzegovina-neretva_canton,Oba spola,
2010,Broj,herzegovina-neretva_canton,M,
2011,Broj,herzegovina-neretva_canton,M,
2012,Broj,herzegovina-neretva_canton,M,
2013,Broj,herzegovina-neretva_canton,M,
2014,Broj,herzegovina-neretva_canton,M,
2015,Broj,herzegovina-neretva_canton,M,
2016,Broj,herzegovina-neretva_canton,M,
2017,Broj,herzegovina-neretva_canton,M,
2018,Broj,herzegovina-neretva_canton,M,
2019,Broj,herzegovina-neretva_canton,M,
2010,Broj,herzegovina-neretva_canton,Ž,
2011,Broj,herzegovina-neretva_canton,Ž,
2012,Broj,herzegovina-neretva_canton,Ž,
2013,Broj,herzegovina-neretva_canton,Ž,
2014,Broj,herzegovina-neretva_canton,Ž,
