Year,UNIT_MEASURE,Administrativna oblast,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,1230
2010,Broj,Unsko-sanski kanton,Oba spola,168
2010,Broj,Posavski kanton,Oba spola,18
2010,Broj,Tuzlanski kanton,Oba spola,246
2010,Broj,Zeničko-dobojski kanton,Oba spola,144
2010,Broj,Bosansko-podrinjski kanton,Oba spola,30
2010,Broj,Srednjobosanski kanton,Oba spola,78
2010,Broj,Hercegovačko-neretvanski kanton,Oba spola,162
2010,Broj,Zapadno-hercegovački kanton,Oba spola,72
2010,Broj,Kanton Sarajevo,Oba spola,251
2010,Broj,Kanton 10,Oba spola,61
2010,Broj,Federacija Bosne i Hercegovine,M,76
2010,Broj,Unsko-sanski kanton,M,14
2010,Broj,Posavski kanton,M,2
2010,Broj,Tuzlanski kanton,M,31
2010,Broj,Zeničko-dobojski kanton,M,9
2010,Broj,Bosansko-podrinjski kanton,M,2
2010,Broj,Srednjobosanski kanton,M,4
2010,Broj,Hercegovačko-neretvanski kanton,M,2
2010,Broj,Zapadno-hercegovački kanton,M,3
2010,Broj,Kanton Sarajevo,M,6
2010,Broj,Kanton 10,M,3
2010,Broj,Federacija Bosne i Hercegovine,Ž,1154
2010,Broj,Unsko-sanski kanton,Ž,154
2010,Broj,Posavski kanton,Ž,16
2010,Broj,Tuzlanski kanton,Ž,215
2010,Broj,Zeničko-dobojski kanton,Ž,135
2010,Broj,Bosansko-podrinjski kanton,Ž,28
2010,Broj,Srednjobosanski kanton,Ž,74
2010,Broj,Hercegovačko-neretvanski kanton,Ž,160
2010,Broj,Zapadno-hercegovački kanton,Ž,69
2010,Broj,Kanton Sarajevo,Ž,245
2010,Broj,Kanton 10,Ž,58
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,1441
2011,Broj,Unsko-sanski kanton,Oba spola,170
2011,Broj,Posavski kanton,Oba spola,18
2011,Broj,Tuzlanski kanton,Oba spola,260
2011,Broj,Zeničko-dobojski kanton,Oba spola,189
2011,Broj,Bosansko-podrinjski kanton,Oba spola,37
2011,Broj,Srednjobosanski kanton,Oba spola,78
2011,Broj,Hercegovačko-neretvanski kanton,Oba spola,198
2011,Broj,Zapadno-hercegovački kanton,Oba spola,86
2011,Broj,Kanton Sarajevo,Oba spola,342
2011,Broj,Kanton 10,Oba spola,63
2011,Broj,Federacija Bosne i Hercegovine,M,96
2011,Broj,Unsko-sanski kanton,M,14
2011,Broj,Posavski kanton,M,2
2011,Broj,Tuzlanski kanton,M,32
2011,Broj,Zeničko-dobojski kanton,M,17
2011,Broj,Bosansko-podrinjski kanton,M,2
2011,Broj,Srednjobosanski kanton,M,4
2011,Broj,Hercegovačko-neretvanski kanton,M,7
2011,Broj,Zapadno-hercegovački kanton,M,4
2011,Broj,Kanton Sarajevo,M,11
2011,Broj,Kanton 10,M,3
2011,Broj,Federacija Bosne i Hercegovine,Ž,1345
2011,Broj,Unsko-sanski kanton,Ž,156
2011,Broj,Posavski kanton,Ž,16
2011,Broj,Tuzlanski kanton,Ž,228
2011,Broj,Zeničko-dobojski kanton,Ž,172
2011,Broj,Bosansko-podrinjski kanton,Ž,35
2011,Broj,Srednjobosanski kanton,Ž,74
2011,Broj,Hercegovačko-neretvanski kanton,Ž,191
2011,Broj,Zapadno-hercegovački kanton,Ž,82
2011,Broj,Kanton Sarajevo,Ž,331
