Year,UNIT_MEASURE,Sex,Value
1996,‰,Both sexes,13.8
1997,‰,Both sexes,13.0
1998,‰,Both sexes,12.1
1999,‰,Both sexes,11.2
2000,‰,Both sexes,11.0
2001,‰,Both sexes,8.9
2002,‰,Both sexes,10.5
2003,‰,Both sexes,8.7
2004,‰,Both sexes,8.5
2005,‰,Both sexes,8.8
2006,‰,Both sexes,9.5
2007,‰,Both sexes,8.9
2008,‰,Both sexes,8.5
2009,‰,Both sexes,7.6
2010,‰,Both sexes,7.7
2011,‰,Both sexes,6.6
2012,‰,Both sexes,6.5
2013,‰,Both sexes,7.3
2014,‰,Both sexes,6.4
2015,‰,Both sexes,8.0
2016,‰,Both sexes,7.5
2017,‰,Both sexes,8.2
2018,‰,Both sexes,8.4
2019,‰,Both sexes,9.3
2020,‰,Both sexes,6.9
2021,‰,Both sexes,5.9
2022,‰,Both sexes,6.5
1996,‰,M,14.5
1997,‰,M,15.4
1998,‰,M,14.4
1999,‰,M,12.2
2000,‰,M,12.5
2001,‰,M,9.6
2002,‰,M,11.6
2003,‰,M,10.1
2004,‰,M,9.3
2005,‰,M,10.0
2006,‰,M,11.3
2007,‰,M,10.1
2008,‰,M,9.4
2009,‰,M,7.3
2010,‰,M,9.1
2011,‰,M,7.7
2012,‰,M,7.6
2013,‰,M,8.5
2014,‰,M,6.2
2015,‰,M,8.5
2016,‰,M,8.5
2017,‰,M,8.5
2018,‰,M,8.3
2019,‰,M,9.5
2020,‰,M,8.0
2021,‰,M,6.5
2022,‰,M,6.9
1996,‰,F,13.1
1997,‰,F,10.3
1998,‰,F,9.7
1999,‰,F,10.1
2000,‰,F,9.5
2001,‰,F,8.2
2002,‰,F,9.5
2003,‰,F,7.2
2004,‰,F,7.7
2005,‰,F,7.6
2006,‰,F,7.5
2007,‰,F,7.6
2008,‰,F,7.5
2009,‰,F,7.8
2010,‰,F,6.2
2011,‰,F,5.5
2012,‰,F,5.2
2013,‰,F,6.2
2014,‰,F,6.6
2015,‰,F,7.4
2016,‰,F,6.4
2017,‰,F,7.8
2018,‰,F,8.4
2019,‰,F,9.0
2020,‰,F,5.8
2021,‰,F,5.2
2022,‰,F,6.1
