Year,UNIT_MEASURE,Value
2007,NUMBER,178
2008,NUMBER,131
2009,NUMBER,177
2010,NUMBER,151
2011,NUMBER,123
2012,NUMBER,174
2013,NUMBER,99
2014,NUMBER,169
2015,NUMBER,158
2016,NUMBER,215
2017,NUMBER,115
