Year,UNIT_MEASURE,Value
2002,NUMBER,3
2003,NUMBER,3
2004,NUMBER,3
2005,NUMBER,4
2006,NUMBER,3
2007,NUMBER,4
2008,NUMBER,4
2009,NUMBER,2
2010,NUMBER,3
2011,NUMBER,5
2012,NUMBER,3
2013,NUMBER,4
2014,NUMBER,6
2015,NUMBER,4
2016,NUMBER,4
2017,NUMBER,1
2018,NUMBER,7
2019,NUMBER,4
