Year,UNIT_MEASURE,Admin_Area,type_of_school,Sex,Value
2016,NUMBER,posavina_canton,vocational_high_schools,M,69
2017,NUMBER,posavina_canton,vocational_high_schools,M,66
2018,NUMBER,posavina_canton,vocational_high_schools,M,40
2019,NUMBER,posavina_canton,vocational_high_schools,M,39
2020,NUMBER,posavina_canton,vocational_high_schools,M,56
2021,NUMBER,posavina_canton,vocational_high_schools,M,40
2022,NUMBER,posavina_canton,vocational_high_schools,M,36
2016,NUMBER,tuzla_canton,vocational_high_schools,M,689
2017,NUMBER,tuzla_canton,vocational_high_schools,M,755
2018,NUMBER,tuzla_canton,vocational_high_schools,M,836
2019,NUMBER,tuzla_canton,vocational_high_schools,M,908
2020,NUMBER,tuzla_canton,vocational_high_schools,M,810
2021,NUMBER,tuzla_canton,vocational_high_schools,M,911
2022,NUMBER,tuzla_canton,vocational_high_schools,M,903
2016,NUMBER,zenica-doboj_canton,vocational_high_schools,M,643
2017,NUMBER,zenica-doboj_canton,vocational_high_schools,M,695
2018,NUMBER,zenica-doboj_canton,vocational_high_schools,M,632
2019,NUMBER,zenica-doboj_canton,vocational_high_schools,M,675
2020,NUMBER,zenica-doboj_canton,vocational_high_schools,M,860
2021,NUMBER,zenica-doboj_canton,vocational_high_schools,M,692
2022,NUMBER,zenica-doboj_canton,vocational_high_schools,M,759
2016,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,45
2017,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,45
2018,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,64
2020,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,54
2021,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,64
2022,NUMBER,bosnian-podrinje_canton,vocational_high_schools,M,30
2016,NUMBER,central_bosnia_canton,vocational_high_schools,M,540
2017,NUMBER,central_bosnia_canton,vocational_high_schools,M,488
2018,NUMBER,central_bosnia_canton,vocational_high_schools,M,460
2019,NUMBER,central_bosnia_canton,vocational_high_schools,M,380
2020,NUMBER,central_bosnia_canton,vocational_high_schools,M,449
2021,NUMBER,central_bosnia_canton,vocational_high_schools,M,122
2022,NUMBER,central_bosnia_canton,vocational_high_schools,M,395
2016,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,293
2017,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,208
2018,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,237
2019,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,246
2020,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,255
2021,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,190
2022,NUMBER,herzegovina-neretva_canton,vocational_high_schools,M,170
2016,NUMBER,west_herzegovina_canton,vocational_high_schools,M,180
2017,NUMBER,west_herzegovina_canton,vocational_high_schools,M,140
2018,NUMBER,west_herzegovina_canton,vocational_high_schools,M,115
2019,NUMBER,west_herzegovina_canton,vocational_high_schools,M,97
2020,NUMBER,west_herzegovina_canton,vocational_high_schools,M,87
2021,NUMBER,west_herzegovina_canton,vocational_high_schools,M,76
2022,NUMBER,west_herzegovina_canton,vocational_high_schools,M,95
2016,NUMBER,sarajevo_canton,vocational_high_schools,M,250
2017,NUMBER,sarajevo_canton,vocational_high_schools,M,429
2018,NUMBER,sarajevo_canton,vocational_high_schools,M,409
2019,NUMBER,sarajevo_canton,vocational_high_schools,M,353
2020,NUMBER,sarajevo_canton,vocational_high_schools,M,433
2021,NUMBER,sarajevo_canton,vocational_high_schools,M,470
2022,NUMBER,sarajevo_canton,vocational_high_schools,M,444
2016,NUMBER,canton_10,vocational_high_schools,M,115
2017,NUMBER,canton_10,vocational_high_schools,M,98
2018,NUMBER,canton_10,vocational_high_schools,M,63
2019,NUMBER,canton_10,vocational_high_schools,M,75
2020,NUMBER,canton_10,vocational_high_schools,M,79
2021,NUMBER,canton_10,vocational_high_schools,M,76
2022,NUMBER,canton_10,vocational_high_schools,M,67
2016,NUMBER,federation_of_bih,vocational_high_schools,F,1545
2017,NUMBER,federation_of_bih,vocational_high_schools,F,1643
2018,NUMBER,federation_of_bih,vocational_high_schools,F,1690
2019,NUMBER,federation_of_bih,vocational_high_schools,F,1603
2020,NUMBER,federation_of_bih,vocational_high_schools,F,1512
2021,NUMBER,federation_of_bih,vocational_high_schools,F,1275
2022,NUMBER,federation_of_bih,vocational_high_schools,F,1348
2016,NUMBER,una-sana_canton,vocational_high_schools,F,227
2017,NUMBER,una-sana_canton,vocational_high_schools,F,340
2018,NUMBER,una-sana_canton,vocational_high_schools,F,351
2019,NUMBER,una-sana_canton,vocational_high_schools,F,289
2020,NUMBER,una-sana_canton,vocational_high_schools,F,277
2021,NUMBER,una-sana_canton,vocational_high_schools,F,223
2022,NUMBER,una-sana_canton,vocational_high_schools,F,156
2016,NUMBER,posavina_canton,vocational_high_schools,F,22
2017,NUMBER,posavina_canton,vocational_high_schools,F,28
2018,NUMBER,posavina_canton,vocational_high_schools,F,33
2019,NUMBER,posavina_canton,vocational_high_schools,F,20
2020,NUMBER,posavina_canton,vocational_high_schools,F,10
2021,NUMBER,posavina_canton,vocational_high_schools,F,17
2022,NUMBER,posavina_canton,vocational_high_schools,F,22
2016,NUMBER,tuzla_canton,vocational_high_schools,F,310
2017,NUMBER,tuzla_canton,vocational_high_schools,F,325
2018,NUMBER,tuzla_canton,vocational_high_schools,F,367
2019,NUMBER,tuzla_canton,vocational_high_schools,F,417
2020,NUMBER,tuzla_canton,vocational_high_schools,F,368
2021,NUMBER,tuzla_canton,vocational_high_schools,F,377
2022,NUMBER,tuzla_canton,vocational_high_schools,F,400
2016,NUMBER,zenica-doboj_canton,vocational_high_schools,F,276
2017,NUMBER,zenica-doboj_canton,vocational_high_schools,F,312
2018,NUMBER,zenica-doboj_canton,vocational_high_schools,F,325
2019,NUMBER,zenica-doboj_canton,vocational_high_schools,F,328
2020,NUMBER,zenica-doboj_canton,vocational_high_schools,F,328
2021,NUMBER,zenica-doboj_canton,vocational_high_schools,F,222
2022,NUMBER,zenica-doboj_canton,vocational_high_schools,F,293
2016,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,38
2017,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,12
2018,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,19
2020,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,7
2021,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,20
2022,NUMBER,bosnian-podrinje_canton,vocational_high_schools,F,2
2016,NUMBER,central_bosnia_canton,vocational_high_schools,F,232
2017,NUMBER,central_bosnia_canton,vocational_high_schools,F,231
2018,NUMBER,central_bosnia_canton,vocational_high_schools,F,231
2019,NUMBER,central_bosnia_canton,vocational_high_schools,F,172
2020,NUMBER,central_bosnia_canton,vocational_high_schools,F,191
2021,NUMBER,central_bosnia_canton,vocational_high_schools,F,58
2022,NUMBER,central_bosnia_canton,vocational_high_schools,F,130
2016,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,173
2017,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,93
2018,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,130
2019,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,145
2020,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,115
2021,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,89
2022,NUMBER,herzegovina-neretva_canton,vocational_high_schools,F,104
2016,NUMBER,west_herzegovina_canton,vocational_high_schools,F,78
2017,NUMBER,west_herzegovina_canton,vocational_high_schools,F,67
2018,NUMBER,west_herzegovina_canton,vocational_high_schools,F,58
2019,NUMBER,west_herzegovina_canton,vocational_high_schools,F,39
2020,NUMBER,west_herzegovina_canton,vocational_high_schools,F,22
2021,NUMBER,west_herzegovina_canton,vocational_high_schools,F,27
2022,NUMBER,west_herzegovina_canton,vocational_high_schools,F,16
2016,NUMBER,sarajevo_canton,vocational_high_schools,F,133
2017,NUMBER,sarajevo_canton,vocational_high_schools,F,182
2018,NUMBER,sarajevo_canton,vocational_high_schools,F,151
2019,NUMBER,sarajevo_canton,vocational_high_schools,F,168
2020,NUMBER,sarajevo_canton,vocational_high_schools,F,163
2021,NUMBER,sarajevo_canton,vocational_high_schools,F,215
2022,NUMBER,sarajevo_canton,vocational_high_schools,F,197
2016,NUMBER,canton_10,vocational_high_schools,F,56
2017,NUMBER,canton_10,vocational_high_schools,F,53
2018,NUMBER,canton_10,vocational_high_schools,F,25
2019,NUMBER,canton_10,vocational_high_schools,F,25
2020,NUMBER,canton_10,vocational_high_schools,F,31
2021,NUMBER,canton_10,vocational_high_schools,F,27
2022,NUMBER,canton_10,vocational_high_schools,F,28
