Year,UNIT_MEASURE,ADMIN_AREA,SEX,Disabilities,Value
2013,NUMBER,stari_grad_sarajevo,M,_T,1582
2013,NUMBER,stolac,M,_T,468
2013,NUMBER,siroki_brijeg,M,_T,604
2013,NUMBER,teocak,M,_T,255
2013,NUMBER,tesanj,M,_T,1526
2013,NUMBER,tomislavgrad,M,_T,553
2013,NUMBER,travnik,M,_T,1859
2013,NUMBER,trnovo-fbih,M,_T,82
2013,NUMBER,tuzla,M,_T,5302
2013,NUMBER,usora,M,_T,217
2013,NUMBER,vares,M,_T,516
2013,NUMBER,velika_kladusa,M,_T,1802
2013,NUMBER,visoko,M,_T,1400
2013,NUMBER,vitez,M,_T,1047
2013,NUMBER,vogosca,M,_T,1036
2013,NUMBER,zavidovici,M,_T,1706
2013,NUMBER,zenica,M,_T,4045
2013,NUMBER,zepce,M,_T,1127
2013,NUMBER,zivinice,M,_T,2550
2013,NUMBER,banovici,F,_T,1077
2013,NUMBER,bihac,F,_T,2639
2013,NUMBER,bosanska_krupa,F,_T,1197
2013,NUMBER,bosanski_petrovac,F,_T,356
2013,NUMBER,bosansko_grahovo,F,_T,183
2013,NUMBER,breza,F,_T,703
2013,NUMBER,bugojno,F,_T,1306
2013,NUMBER,busovaca,F,_T,652
2013,NUMBER,buzim,F,_T,468
2013,NUMBER,cazin,F,_T,2223
2013,NUMBER,centar_sarajevo,F,_T,2886
2013,NUMBER,capljina,F,_T,873
2013,NUMBER,celic,F,_T,633
2013,NUMBER,citluk,F,_T,585
2013,NUMBER,doboj-istok,F,_T,579
2013,NUMBER,doboj-jug,F,_T,164
2013,NUMBER,dobretici,F,_T,79
2013,NUMBER,domaljevac-samac,F,_T,239
2013,NUMBER,donji_vakuf,F,_T,620
2013,NUMBER,drvar,F,_T,583
2013,NUMBER,foca-fbih,F,_T,114
2013,NUMBER,fojnica,F,_T,863
2013,NUMBER,glamoc,F,_T,281
2013,NUMBER,gorazde,F,_T,1286
2013,NUMBER,gornji_vakuf-uskoplje,F,_T,733
2013,NUMBER,gracanica,F,_T,2018
2013,NUMBER,gradacac,F,_T,1715
2013,NUMBER,grude,F,_T,499
2013,NUMBER,hadzici,F,_T,1209
2013,NUMBER,ilidza,F,_T,2885
2013,NUMBER,ilijas,F,_T,977
2013,NUMBER,jablanica,F,_T,408
2013,NUMBER,jajce,F,_T,1143
2013,NUMBER,kakanj,F,_T,1430
2013,NUMBER,kalesija,F,_T,1654
2013,NUMBER,kiseljak,F,_T,854
2013,NUMBER,kladanj,F,_T,551
2013,NUMBER,kljuc,F,_T,602
2013,NUMBER,konjic,F,_T,1144
2013,NUMBER,kresevo,F,_T,274
2013,NUMBER,kupres-fbih,F,_T,167
2013,NUMBER,livno,F,_T,955
2013,NUMBER,lukavac,F,_T,2931
2013,NUMBER,ljubuski,F,_T,958
2013,NUMBER,maglaj,F,_T,1200
2013,NUMBER,mostar,F,_T,3925
2013,NUMBER,neum,F,_T,152
2013,NUMBER,novi_grad_sarajevo,F,_T,5900
2013,NUMBER,novi_travnik,F,_T,961
2013,NUMBER,novo_sarajevo,F,_T,3154
2013,NUMBER,odzak,F,_T,636
2013,NUMBER,olovo,F,_T,644
2013,NUMBER,orasje,F,_T,927
2013,NUMBER,pale-fbih,F,_T,69
2013,NUMBER,posusje,F,_T,512
2013,NUMBER,prozor,F,_T,358
2013,NUMBER,ravno,F,_T,78
2013,NUMBER,sanski_most,F,_T,1183
2013,NUMBER,sapna,F,_T,316
2013,NUMBER,srebrenik,F,_T,2163
2013,NUMBER,stari_grad_sarajevo,F,_T,2203
2013,NUMBER,stolac,F,_T,548
2013,NUMBER,siroki_brijeg,F,_T,752
2013,NUMBER,teocak,F,_T,276
2013,NUMBER,tesanj,F,_T,1728
2013,NUMBER,tomislavgrad,F,_T,576
2013,NUMBER,travnik,F,_T,2222
