Year,UNIT_MEASURE,Admin_Area,Value
2022,NUMBER,central_bosnia_canton,1145
2022,NUMBER,herzegovina-neretva_canton,912
2022,NUMBER,west_herzegovina_canton,430
2022,NUMBER,sarajevo_canton,2282
2022,NUMBER,canton_10,221
2023,NUMBER,federation_of_bih,10740
2023,NUMBER,una-sana_canton,1445
2023,NUMBER,posavina_canton,99
2023,NUMBER,tuzla_canton,2045
2023,NUMBER,zenica-doboj_canton,2012
2023,NUMBER,bosnian-podrinje_canton,122
2023,NUMBER,central_bosnia_canton,1215
2023,NUMBER,herzegovina-neretva_canton,960
2023,NUMBER,west_herzegovina_canton,411
2023,NUMBER,sarajevo_canton,2221
2023,NUMBER,canton_10,210
