Year,UNIT_MEASURE,Пол,Value
2003,Старосна доб,Оба пола,
2003,Старосна доб,M,
2003,Старосна доб,Ж,
2004,Старосна доб,Оба пола,
2004,Старосна доб,M,
2004,Старосна доб,Ж,
2005,Старосна доб,Оба пола,
2005,Старосна доб,M,
2005,Старосна доб,Ж,
2006,Старосна доб,Оба пола,
2006,Старосна доб,M,
2006,Старосна доб,Ж,
2007,Старосна доб,Оба пола,
2007,Старосна доб,M,
2007,Старосна доб,Ж,
2008,Старосна доб,Оба пола,
2008,Старосна доб,M,
2008,Старосна доб,Ж,
2009,Старосна доб,Оба пола,
2009,Старосна доб,M,
2009,Старосна доб,Ж,
2010,Старосна доб,Оба пола,
2010,Старосна доб,M,
2010,Старосна доб,Ж,
2011,Старосна доб,Оба пола,
2011,Старосна доб,M,
2011,Старосна доб,Ж,
2012,Старосна доб,Оба пола,
2012,Старосна доб,M,
2012,Старосна доб,Ж,
2013,Старосна доб,Оба пола,
2013,Старосна доб,M,
2013,Старосна доб,Ж,
2014,Старосна доб,Оба пола,
2014,Старосна доб,M,
2014,Старосна доб,Ж,
2015,Старосна доб,Оба пола,
2015,Старосна доб,M,
2015,Старосна доб,Ж,
2016,Старосна доб,Оба пола,
2016,Старосна доб,M,
2016,Старосна доб,Ж,
2017,Старосна доб,Оба пола,
2017,Старосна доб,M,
2017,Старосна доб,Ж,
2018,Старосна доб,Оба пола,
2018,Старосна доб,M,
2018,Старосна доб,Ж,
2019,Старосна доб,Оба пола,
2019,Старосна доб,M,
2019,Старосна доб,Ж,
2020,Старосна доб,Оба пола,
2020,Старосна доб,M,
2020,Старосна доб,Ж,
