Year,UNIT_MEASURE,Administrative Area,Type of school,Sex,Value
2020,Number,Central Bosnia Canton,Art schools,Both sexes,17
2021,Number,Central Bosnia Canton,Art schools,Both sexes,8
2022,Number,Central Bosnia Canton,Art schools,Both sexes,18
2016,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,37
2017,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,16
2018,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,38
2019,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,42
2020,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,29
2021,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,16
2022,Number,Herzegovina-Neretva Canton,Art schools,Both sexes,14
2016,Number,West Herzegovina Canton,Art schools,Both sexes,8
2017,Number,West Herzegovina Canton,Art schools,Both sexes,5
2018,Number,West Herzegovina Canton,Art schools,Both sexes,2
2019,Number,West Herzegovina Canton,Art schools,Both sexes,5
2021,Number,West Herzegovina Canton,Art schools,Both sexes,12
2022,Number,West Herzegovina Canton,Art schools,Both sexes,1
2016,Number,Sarajevo Canton,Art schools,Both sexes,68
2017,Number,Sarajevo Canton,Art schools,Both sexes,42
2018,Number,Sarajevo Canton,Art schools,Both sexes,78
2019,Number,Sarajevo Canton,Art schools,Both sexes,82
2020,Number,Sarajevo Canton,Art schools,Both sexes,62
2021,Number,Sarajevo Canton,Art schools,Both sexes,81
2022,Number,Sarajevo Canton,Art schools,Both sexes,69
2016,Number,Federation of Bosnia and Herzegovina,Art schools,M,79
2017,Number,Federation of Bosnia and Herzegovina,Art schools,M,48
2018,Number,Federation of Bosnia and Herzegovina,Art schools,M,87
2019,Number,Federation of Bosnia and Herzegovina,Art schools,M,85
2020,Number,Federation of Bosnia and Herzegovina,Art schools,M,54
2021,Number,Federation of Bosnia and Herzegovina,Art schools,M,58
2022,Number,Federation of Bosnia and Herzegovina,Art schools,M,66
2016,Number,Una-Sana Canton,Art schools,M,13
2017,Number,Una-Sana Canton,Art schools,M,10
2018,Number,Una-Sana Canton,Art schools,M,4
2019,Number,Una-Sana Canton,Art schools,M,6
2020,Number,Una-Sana Canton,Art schools,M,2
2021,Number,Una-Sana Canton,Art schools,M,6
2022,Number,Una-Sana Canton,Art schools,M,5
2016,Number,Tuzla Canton,Art schools,M,9
2017,Number,Tuzla Canton,Art schools,M,5
2018,Number,Tuzla Canton,Art schools,M,15
2019,Number,Tuzla Canton,Art schools,M,22
2020,Number,Tuzla Canton,Art schools,M,14
2021,Number,Tuzla Canton,Art schools,M,10
2022,Number,Tuzla Canton,Art schools,M,17
2016,Number,Zenica-Doboj Canton,Art schools,M,12
2017,Number,Zenica-Doboj Canton,Art schools,M,9
2018,Number,Zenica-Doboj Canton,Art schools,M,16
2019,Number,Zenica-Doboj Canton,Art schools,M,3
2020,Number,Zenica-Doboj Canton,Art schools,M,5
2021,Number,Zenica-Doboj Canton,Art schools,M,1
2022,Number,Zenica-Doboj Canton,Art schools,M,1
2016,Number,Central Bosnia Canton,Art schools,M,5
2017,Number,Central Bosnia Canton,Art schools,M,6
2018,Number,Central Bosnia Canton,Art schools,M,9
2019,Number,Central Bosnia Canton,Art schools,M,9
2020,Number,Central Bosnia Canton,Art schools,M,7
2021,Number,Central Bosnia Canton,Art schools,M,5
2022,Number,Central Bosnia Canton,Art schools,M,4
2016,Number,Herzegovina-Neretva Canton,Art schools,M,8
2017,Number,Herzegovina-Neretva Canton,Art schools,M,6
2018,Number,Herzegovina-Neretva Canton,Art schools,M,15
2019,Number,Herzegovina-Neretva Canton,Art schools,M,13
2020,Number,Herzegovina-Neretva Canton,Art schools,M,9
2021,Number,Herzegovina-Neretva Canton,Art schools,M,3
2022,Number,Herzegovina-Neretva Canton,Art schools,M,6
2016,Number,West Herzegovina Canton,Art schools,M,2
2017,Number,West Herzegovina Canton,Art schools,M,1
2018,Number,West Herzegovina Canton,Art schools,M,0
2019,Number,West Herzegovina Canton,Art schools,M,4
2021,Number,West Herzegovina Canton,Art schools,M,4
2022,Number,West Herzegovina Canton,Art schools,M,1
2016,Number,Sarajevo Canton,Art schools,M,30
2017,Number,Sarajevo Canton,Art schools,M,11
2018,Number,Sarajevo Canton,Art schools,M,28
2019,Number,Sarajevo Canton,Art schools,M,28
2020,Number,Sarajevo Canton,Art schools,M,17
2021,Number,Sarajevo Canton,Art schools,M,29
2022,Number,Sarajevo Canton,Art schools,M,32
2016,Number,Federation of Bosnia and Herzegovina,Art schools,F,139
2017,Number,Federation of Bosnia and Herzegovina,Art schools,F,88
2018,Number,Federation of Bosnia and Herzegovina,Art schools,F,145
2019,Number,Federation of Bosnia and Herzegovina,Art schools,F,132
2020,Number,Federation of Bosnia and Herzegovina,Art schools,F,127
2021,Number,Federation of Bosnia and Herzegovina,Art schools,F,111
2022,Number,Federation of Bosnia and Herzegovina,Art schools,F,96
2016,Number,Una-Sana Canton,Art schools,F,15
2017,Number,Una-Sana Canton,Art schools,F,13
2018,Number,Una-Sana Canton,Art schools,F,14
2019,Number,Una-Sana Canton,Art schools,F,10
2020,Number,Una-Sana Canton,Art schools,F,6
2021,Number,Una-Sana Canton,Art schools,F,5
2022,Number,Una-Sana Canton,Art schools,F,9
2016,Number,Tuzla Canton,Art schools,F,17
2017,Number,Tuzla Canton,Art schools,F,10
2018,Number,Tuzla Canton,Art schools,F,23
2019,Number,Tuzla Canton,Art schools,F,21
2020,Number,Tuzla Canton,Art schools,F,33
2021,Number,Tuzla Canton,Art schools,F,23
2022,Number,Tuzla Canton,Art schools,F,21
2016,Number,Zenica-Doboj Canton,Art schools,F,12
2017,Number,Zenica-Doboj Canton,Art schools,F,7
2018,Number,Zenica-Doboj Canton,Art schools,F,13
2019,Number,Zenica-Doboj Canton,Art schools,F,3
2020,Number,Zenica-Doboj Canton,Art schools,F,13
2021,Number,Zenica-Doboj Canton,Art schools,F,7
2022,Number,Zenica-Doboj Canton,Art schools,F,7
2016,Number,Central Bosnia Canton,Art schools,F,22
2017,Number,Central Bosnia Canton,Art schools,F,13
2018,Number,Central Bosnia Canton,Art schools,F,20
2019,Number,Central Bosnia Canton,Art schools,F,14
2020,Number,Central Bosnia Canton,Art schools,F,10
2021,Number,Central Bosnia Canton,Art schools,F,3
2022,Number,Central Bosnia Canton,Art schools,F,14
2016,Number,Herzegovina-Neretva Canton,Art schools,F,29
2017,Number,Herzegovina-Neretva Canton,Art schools,F,10
2018,Number,Herzegovina-Neretva Canton,Art schools,F,23
2019,Number,Herzegovina-Neretva Canton,Art schools,F,29
2020,Number,Herzegovina-Neretva Canton,Art schools,F,20
2021,Number,Herzegovina-Neretva Canton,Art schools,F,13
2022,Number,Herzegovina-Neretva Canton,Art schools,F,8
2016,Number,West Herzegovina Canton,Art schools,F,6
2017,Number,West Herzegovina Canton,Art schools,F,4
2018,Number,West Herzegovina Canton,Art schools,F,2
2019,Number,West Herzegovina Canton,Art schools,F,1
2021,Number,West Herzegovina Canton,Art schools,F,8
2022,Number,West Herzegovina Canton,Art schools,F,0
2016,Number,Sarajevo Canton,Art schools,F,38
2017,Number,Sarajevo Canton,Art schools,F,31
2018,Number,Sarajevo Canton,Art schools,F,50
2019,Number,Sarajevo Canton,Art schools,F,54
2020,Number,Sarajevo Canton,Art schools,F,45
2021,Number,Sarajevo Canton,Art schools,F,52
2022,Number,Sarajevo Canton,Art schools,F,37
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,6584
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,5298
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,5401
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,5049
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,4792
2021,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,4356
2022,Number,Federation of Bosnia and Herzegovina,Gymnasium,Both sexes,3416
2016,Number,Una-Sana Canton,Gymnasium,Both sexes,764
2017,Number,Una-Sana Canton,Gymnasium,Both sexes,422
2018,Number,Una-Sana Canton,Gymnasium,Both sexes,570
2019,Number,Una-Sana Canton,Gymnasium,Both sexes,421
2020,Number,Una-Sana Canton,Gymnasium,Both sexes,432
2021,Number,Una-Sana Canton,Gymnasium,Both sexes,379
2022,Number,Una-Sana Canton,Gymnasium,Both sexes,319
2016,Number,Posavina Canton,Gymnasium,Both sexes,77
2017,Number,Posavina Canton,Gymnasium,Both sexes,56
2018,Number,Posavina Canton,Gymnasium,Both sexes,44
2019,Number,Posavina Canton,Gymnasium,Both sexes,58
2020,Number,Posavina Canton,Gymnasium,Both sexes,56
2021,Number,Posavina Canton,Gymnasium,Both sexes,55
2022,Number,Posavina Canton,Gymnasium,Both sexes,44
2016,Number,Tuzla Canton,Gymnasium,Both sexes,913
2017,Number,Tuzla Canton,Gymnasium,Both sexes,765
2018,Number,Tuzla Canton,Gymnasium,Both sexes,529
2019,Number,Tuzla Canton,Gymnasium,Both sexes,622
2020,Number,Tuzla Canton,Gymnasium,Both sexes,536
2021,Number,Tuzla Canton,Gymnasium,Both sexes,596
2022,Number,Tuzla Canton,Gymnasium,Both sexes,546
2016,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,921
2017,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,846
2018,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,986
2019,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,854
2020,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,861
2021,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,704
2022,Number,Zenica-Doboj Canton,Gymnasium,Both sexes,477
2016,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,46
2017,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,31
2018,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,50
2019,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,50
2020,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,38
2021,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,43
2022,Number,Bosnian-Podrinje Canton,Gymnasium,Both sexes,27
2016,Number,Central Bosnia Canton,Gymnasium,Both sexes,747
2017,Number,Central Bosnia Canton,Gymnasium,Both sexes,724
2018,Number,Central Bosnia Canton,Gymnasium,Both sexes,516
2019,Number,Central Bosnia Canton,Gymnasium,Both sexes,499
2020,Number,Central Bosnia Canton,Gymnasium,Both sexes,504
2021,Number,Central Bosnia Canton,Gymnasium,Both sexes,366
2022,Number,Central Bosnia Canton,Gymnasium,Both sexes,181
2016,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,841
2017,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,770
2018,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,672
2019,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,687
2020,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,598
2021,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,561
2022,Number,Herzegovina-Neretva Canton,Gymnasium,Both sexes,497
2016,Number,West Herzegovina Canton,Gymnasium,Both sexes,466
2017,Number,West Herzegovina Canton,Gymnasium,Both sexes,456
2018,Number,West Herzegovina Canton,Gymnasium,Both sexes,430
2019,Number,West Herzegovina Canton,Gymnasium,Both sexes,352
2020,Number,West Herzegovina Canton,Gymnasium,Both sexes,353
2021,Number,West Herzegovina Canton,Gymnasium,Both sexes,323
2022,Number,West Herzegovina Canton,Gymnasium,Both sexes,211
2016,Number,Sarajevo Canton,Gymnasium,Both sexes,1565
2017,Number,Sarajevo Canton,Gymnasium,Both sexes,1012
2018,Number,Sarajevo Canton,Gymnasium,Both sexes,1417
2019,Number,Sarajevo Canton,Gymnasium,Both sexes,1386
2020,Number,Sarajevo Canton,Gymnasium,Both sexes,1254
2021,Number,Sarajevo Canton,Gymnasium,Both sexes,1150
2022,Number,Sarajevo Canton,Gymnasium,Both sexes,950
2016,Number,Canton 10,Gymnasium,Both sexes,244
2017,Number,Canton 10,Gymnasium,Both sexes,216
2018,Number,Canton 10,Gymnasium,Both sexes,187
2019,Number,Canton 10,Gymnasium,Both sexes,120
2020,Number,Canton 10,Gymnasium,Both sexes,160
2021,Number,Canton 10,Gymnasium,Both sexes,179
2022,Number,Canton 10,Gymnasium,Both sexes,164
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,2446
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1933
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1976
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1915
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1688
2021,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1543
2022,Number,Federation of Bosnia and Herzegovina,Gymnasium,M,1210
2016,Number,Una-Sana Canton,Gymnasium,M,268
2017,Number,Una-Sana Canton,Gymnasium,M,143
2018,Number,Una-Sana Canton,Gymnasium,M,196
2019,Number,Una-Sana Canton,Gymnasium,M,143
2020,Number,Una-Sana Canton,Gymnasium,M,131
2021,Number,Una-Sana Canton,Gymnasium,M,126
2022,Number,Una-Sana Canton,Gymnasium,M,94
2016,Number,Posavina Canton,Gymnasium,M,21
2017,Number,Posavina Canton,Gymnasium,M,15
2018,Number,Posavina Canton,Gymnasium,M,16
2019,Number,Posavina Canton,Gymnasium,M,24
2020,Number,Posavina Canton,Gymnasium,M,19
2021,Number,Posavina Canton,Gymnasium,M,19
2022,Number,Posavina Canton,Gymnasium,M,11
2016,Number,Tuzla Canton,Gymnasium,M,320
2017,Number,Tuzla Canton,Gymnasium,M,280
2018,Number,Tuzla Canton,Gymnasium,M,169
2019,Number,Tuzla Canton,Gymnasium,M,213
2020,Number,Tuzla Canton,Gymnasium,M,173
2021,Number,Tuzla Canton,Gymnasium,M,179
2022,Number,Tuzla Canton,Gymnasium,M,179
2016,Number,Zenica-Doboj Canton,Gymnasium,M,343
2017,Number,Zenica-Doboj Canton,Gymnasium,M,316
2018,Number,Zenica-Doboj Canton,Gymnasium,M,363
2019,Number,Zenica-Doboj Canton,Gymnasium,M,324
2020,Number,Zenica-Doboj Canton,Gymnasium,M,277
2021,Number,Zenica-Doboj Canton,Gymnasium,M,219
2022,Number,Zenica-Doboj Canton,Gymnasium,M,157
2016,Number,Bosnian-Podrinje Canton,Gymnasium,M,10
2017,Number,Bosnian-Podrinje Canton,Gymnasium,M,10
2018,Number,Bosnian-Podrinje Canton,Gymnasium,M,10
2019,Number,Bosnian-Podrinje Canton,Gymnasium,M,15
2020,Number,Bosnian-Podrinje Canton,Gymnasium,M,17
2021,Number,Bosnian-Podrinje Canton,Gymnasium,M,13
2022,Number,Bosnian-Podrinje Canton,Gymnasium,M,6
2016,Number,Central Bosnia Canton,Gymnasium,M,255
2017,Number,Central Bosnia Canton,Gymnasium,M,258
2018,Number,Central Bosnia Canton,Gymnasium,M,178
2019,Number,Central Bosnia Canton,Gymnasium,M,177
2020,Number,Central Bosnia Canton,Gymnasium,M,174
2021,Number,Central Bosnia Canton,Gymnasium,M,109
2022,Number,Central Bosnia Canton,Gymnasium,M,55
2016,Number,Herzegovina-Neretva Canton,Gymnasium,M,310
2017,Number,Herzegovina-Neretva Canton,Gymnasium,M,244
2018,Number,Herzegovina-Neretva Canton,Gymnasium,M,253
2019,Number,Herzegovina-Neretva Canton,Gymnasium,M,265
2020,Number,Herzegovina-Neretva Canton,Gymnasium,M,203
2021,Number,Herzegovina-Neretva Canton,Gymnasium,M,184
2022,Number,Herzegovina-Neretva Canton,Gymnasium,M,169
2016,Number,West Herzegovina Canton,Gymnasium,M,188
2017,Number,West Herzegovina Canton,Gymnasium,M,163
2018,Number,West Herzegovina Canton,Gymnasium,M,153
2019,Number,West Herzegovina Canton,Gymnasium,M,132
2020,Number,West Herzegovina Canton,Gymnasium,M,131
2021,Number,West Herzegovina Canton,Gymnasium,M,122
2022,Number,West Herzegovina Canton,Gymnasium,M,86
2016,Number,Sarajevo Canton,Gymnasium,M,648
2017,Number,Sarajevo Canton,Gymnasium,M,416
2018,Number,Sarajevo Canton,Gymnasium,M,561
2019,Number,Sarajevo Canton,Gymnasium,M,577
2020,Number,Sarajevo Canton,Gymnasium,M,510
2021,Number,Sarajevo Canton,Gymnasium,M,503
2022,Number,Sarajevo Canton,Gymnasium,M,403
2016,Number,Canton 10,Gymnasium,M,83
2017,Number,Canton 10,Gymnasium,M,88
2018,Number,Canton 10,Gymnasium,M,77
2019,Number,Canton 10,Gymnasium,M,45
2020,Number,Canton 10,Gymnasium,M,53
2021,Number,Canton 10,Gymnasium,M,69
2022,Number,Canton 10,Gymnasium,M,50
2016,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,4138
2017,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,3365
2018,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,3425
2019,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,3134
2020,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,3104
2021,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,2813
2022,Number,Federation of Bosnia and Herzegovina,Gymnasium,F,2206
2016,Number,Una-Sana Canton,Gymnasium,F,496
2017,Number,Una-Sana Canton,Gymnasium,F,279
2018,Number,Una-Sana Canton,Gymnasium,F,374
2019,Number,Una-Sana Canton,Gymnasium,F,278
2020,Number,Una-Sana Canton,Gymnasium,F,301
2021,Number,Una-Sana Canton,Gymnasium,F,253
2022,Number,Una-Sana Canton,Gymnasium,F,225
2016,Number,Posavina Canton,Gymnasium,F,56
2017,Number,Posavina Canton,Gymnasium,F,41
2018,Number,Posavina Canton,Gymnasium,F,28
2019,Number,Posavina Canton,Gymnasium,F,34
2020,Number,Posavina Canton,Gymnasium,F,37
2021,Number,Posavina Canton,Gymnasium,F,36
2022,Number,Posavina Canton,Gymnasium,F,33
2016,Number,Tuzla Canton,Gymnasium,F,593
2017,Number,Tuzla Canton,Gymnasium,F,485
2018,Number,Tuzla Canton,Gymnasium,F,360
2019,Number,Tuzla Canton,Gymnasium,F,409
2020,Number,Tuzla Canton,Gymnasium,F,363
2021,Number,Tuzla Canton,Gymnasium,F,417
2022,Number,Tuzla Canton,Gymnasium,F,367
2016,Number,Zenica-Doboj Canton,Gymnasium,F,578
2017,Number,Zenica-Doboj Canton,Gymnasium,F,530
2018,Number,Zenica-Doboj Canton,Gymnasium,F,623
2019,Number,Zenica-Doboj Canton,Gymnasium,F,530
2020,Number,Zenica-Doboj Canton,Gymnasium,F,584
2021,Number,Zenica-Doboj Canton,Gymnasium,F,485
2022,Number,Zenica-Doboj Canton,Gymnasium,F,320
2016,Number,Bosnian-Podrinje Canton,Gymnasium,F,36
2017,Number,Bosnian-Podrinje Canton,Gymnasium,F,21
2018,Number,Bosnian-Podrinje Canton,Gymnasium,F,40
2019,Number,Bosnian-Podrinje Canton,Gymnasium,F,35
2020,Number,Bosnian-Podrinje Canton,Gymnasium,F,21
2021,Number,Bosnian-Podrinje Canton,Gymnasium,F,30
2022,Number,Bosnian-Podrinje Canton,Gymnasium,F,21
2016,Number,Central Bosnia Canton,Gymnasium,F,492
2017,Number,Central Bosnia Canton,Gymnasium,F,466
2018,Number,Central Bosnia Canton,Gymnasium,F,338
2019,Number,Central Bosnia Canton,Gymnasium,F,322
2020,Number,Central Bosnia Canton,Gymnasium,F,330
2021,Number,Central Bosnia Canton,Gymnasium,F,257
2022,Number,Central Bosnia Canton,Gymnasium,F,126
2016,Number,Herzegovina-Neretva Canton,Gymnasium,F,531
2017,Number,Herzegovina-Neretva Canton,Gymnasium,F,526
2018,Number,Herzegovina-Neretva Canton,Gymnasium,F,419
2019,Number,Herzegovina-Neretva Canton,Gymnasium,F,422
2020,Number,Herzegovina-Neretva Canton,Gymnasium,F,395
2021,Number,Herzegovina-Neretva Canton,Gymnasium,F,377
2022,Number,Herzegovina-Neretva Canton,Gymnasium,F,328
2016,Number,West Herzegovina Canton,Gymnasium,F,278
2017,Number,West Herzegovina Canton,Gymnasium,F,293
2018,Number,West Herzegovina Canton,Gymnasium,F,277
2019,Number,West Herzegovina Canton,Gymnasium,F,220
2020,Number,West Herzegovina Canton,Gymnasium,F,222
2021,Number,West Herzegovina Canton,Gymnasium,F,201
2022,Number,West Herzegovina Canton,Gymnasium,F,125
2016,Number,Sarajevo Canton,Gymnasium,F,917
2017,Number,Sarajevo Canton,Gymnasium,F,596
2018,Number,Sarajevo Canton,Gymnasium,F,856
2019,Number,Sarajevo Canton,Gymnasium,F,809
2020,Number,Sarajevo Canton,Gymnasium,F,744
2021,Number,Sarajevo Canton,Gymnasium,F,647
2022,Number,Sarajevo Canton,Gymnasium,F,547
2016,Number,Canton 10,Gymnasium,F,161
2017,Number,Canton 10,Gymnasium,F,128
2018,Number,Canton 10,Gymnasium,F,110
2019,Number,Canton 10,Gymnasium,F,75
2020,Number,Canton 10,Gymnasium,F,107
2021,Number,Canton 10,Gymnasium,F,110
2022,Number,Canton 10,Gymnasium,F,114
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,92
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,75
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,74
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,72
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,78
2021,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,75
2022,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,Both sexes,63
2016,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,11
2017,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,11
2018,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,11
2019,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,8
2020,Number,Tuzla Canton,High schools for students with disabilities,Both sexes,8
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,21
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,16
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,19
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,8
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,18
2021,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,32
2022,Number,Zenica-Doboj Canton,High schools for students with disabilities,Both sexes,10
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,7
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,17
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,12
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,11
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,10
2021,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,8
2022,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,Both sexes,1
2016,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,2
2017,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,0
2018,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,2
2019,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,1
2020,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,5
2021,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,1
2022,Number,West Herzegovina Canton,High schools for students with disabilities,Both sexes,2
2016,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,49
2017,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,28
2018,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,29
2019,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,43
2020,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,34
2021,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,31
2022,Number,Sarajevo Canton,High schools for students with disabilities,Both sexes,50
2016,Number,Canton 10,High schools for students with disabilities,Both sexes,2
2017,Number,Canton 10,High schools for students with disabilities,Both sexes,3
2018,Number,Canton 10,High schools for students with disabilities,Both sexes,1
2019,Number,Canton 10,High schools for students with disabilities,Both sexes,1
2020,Number,Canton 10,High schools for students with disabilities,Both sexes,3
2021,Number,Canton 10,High schools for students with disabilities,Both sexes,3
2022,Number,Canton 10,High schools for students with disabilities,Both sexes,0
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,61
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,49
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,53
2019,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,52
2020,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,54
2021,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,54
2022,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,M,37
2016,Number,Tuzla Canton,High schools for students with disabilities,M,10
2017,Number,Tuzla Canton,High schools for students with disabilities,M,10
2018,Number,Tuzla Canton,High schools for students with disabilities,M,10
2019,Number,Tuzla Canton,High schools for students with disabilities,M,6
2020,Number,Tuzla Canton,High schools for students with disabilities,M,5
2016,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,15
2017,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,10
2018,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,13
2019,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,8
2020,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,10
2021,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,20
2022,Number,Zenica-Doboj Canton,High schools for students with disabilities,M,5
2016,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,5
2017,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,8
2018,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,7
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,7
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,6
2021,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,8
2022,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,M,0
2016,Number,West Herzegovina Canton,High schools for students with disabilities,M,0
2017,Number,West Herzegovina Canton,High schools for students with disabilities,M,0
2018,Number,West Herzegovina Canton,High schools for students with disabilities,M,0
2019,Number,West Herzegovina Canton,High schools for students with disabilities,M,1
2020,Number,West Herzegovina Canton,High schools for students with disabilities,M,4
2021,Number,West Herzegovina Canton,High schools for students with disabilities,M,1
2022,Number,West Herzegovina Canton,High schools for students with disabilities,M,1
2016,Number,Sarajevo Canton,High schools for students with disabilities,M,29
2017,Number,Sarajevo Canton,High schools for students with disabilities,M,18
2018,Number,Sarajevo Canton,High schools for students with disabilities,M,22
2019,Number,Sarajevo Canton,High schools for students with disabilities,M,29
2020,Number,Sarajevo Canton,High schools for students with disabilities,M,29
2021,Number,Sarajevo Canton,High schools for students with disabilities,M,23
2022,Number,Sarajevo Canton,High schools for students with disabilities,M,31
2016,Number,Canton 10,High schools for students with disabilities,M,2
2017,Number,Canton 10,High schools for students with disabilities,M,3
2018,Number,Canton 10,High schools for students with disabilities,M,1
2019,Number,Canton 10,High schools for students with disabilities,M,1
2020,Number,Canton 10,High schools for students with disabilities,M,0
2021,Number,Canton 10,High schools for students with disabilities,M,2
2022,Number,Canton 10,High schools for students with disabilities,M,0
2016,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,31
2017,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,26
2018,Number,Federation of Bosnia and Herzegovina,High schools for students with disabilities,F,21
