Year,UNIT_MEASURE,Spol,Starosna dob,Value
2020,Broj,Oba spola,Oba spola,2171831
2020,Broj,Oba spola,0,19018
2020,Broj,Oba spola,1,17158
2020,Broj,Oba spola,2,18210
2020,Broj,Oba spola,3,18801
2020,Broj,Oba spola,4,19359
2020,Broj,Oba spola,5,19046
2020,Broj,Oba spola,6,19595
2020,Broj,Oba spola,7,21365
2020,Broj,Oba spola,8,22600
2020,Broj,Oba spola,9,22615
2020,Broj,Oba spola,10,23549
2020,Broj,Oba spola,11,23966
2020,Broj,Oba spola,12,23778
2020,Broj,Oba spola,13,22821
2020,Broj,Oba spola,14,22877
2020,Broj,Oba spola,15,23044
2020,Broj,Oba spola,16,22959
2020,Broj,Oba spola,17,23645
2020,Broj,Oba spola,18,23653
2020,Broj,Oba spola,19,24378
2020,Broj,Oba spola,20,24944
2020,Broj,Oba spola,21,26328
2020,Broj,Oba spola,22,29155
2020,Broj,Oba spola,23,33673
2020,Broj,Oba spola,24,33741
2020,Broj,Oba spola,25,32555
2020,Broj,Oba spola,26,26099
2020,Broj,Oba spola,27,24337
2020,Broj,Oba spola,28,28551
2020,Broj,Oba spola,29,31084
2020,Broj,Oba spola,30,30962
2020,Broj,Oba spola,31,30840
2020,Broj,Oba spola,32,31942
2020,Broj,Oba spola,33,31571
2020,Broj,Oba spola,34,31558
2020,Broj,Oba spola,35,31640
2020,Broj,Oba spola,36,32721
2020,Broj,Oba spola,37,31500
2020,Broj,Oba spola,38,31408
2020,Broj,Oba spola,39,31872
2020,Broj,Oba spola,40,31156
2020,Broj,Oba spola,41,30745
2020,Broj,Oba spola,42,30798
2020,Broj,Oba spola,43,30741
2020,Broj,Oba spola,44,31570
2020,Broj,Oba spola,45,30617
2020,Broj,Oba spola,46,30276
2020,Broj,Oba spola,47,29934
2020,Broj,Oba spola,48,31041
2020,Broj,Oba spola,49,30318
2020,Broj,Oba spola,50,28957
2020,Broj,Oba spola,51,31002
2020,Broj,Oba spola,52,31221
2020,Broj,Oba spola,53,32103
2020,Broj,Oba spola,54,32824
2020,Broj,Oba spola,55,33135
2020,Broj,Oba spola,56,32824
2020,Broj,Oba spola,57,33094
2020,Broj,Oba spola,58,34040
2020,Broj,Oba spola,59,33448
