Year,UNIT_MEASURE,Spol,Starosna dob,Value
2016,%,Oba spola,15,25.6
2016,%,Oba spola,15-24,55.1
2016,%,Oba spola,25-49,25.2
2016,%,Oba spola,50-64,14.7
2016,%,Oba spola,15-64,25.7
2016,%,M,15,22.9
2016,%,M,15-24,54.0
2016,%,M,25-49,21.1
2016,%,M,50-64,14.0
2016,%,M,15-64,23.0
2016,%,Ž,15,30.1
2016,%,Ž,15-24,57.3
2016,%,Ž,25-49,31.7
2016,%,Ž,50-64,16.0
2016,%,Ž,15-64,30.2
2017,%,Oba spola,15,20.03
2017,%,Oba spola,15-24,45.2
2017,%,Oba spola,25-49,19.7
2017,%,Oba spola,50-64,11.1
2017,%,Oba spola,15-64,20.24
2017,%,M,15,19.18
2017,%,M,15-24,43.3
2017,%,M,25-49,18.8
2017,%,M,50-64,10.6
2017,%,M,15-64,19.4
2017,%,Ž,15,21.46
2017,%,Ž,15-24,48.9
2017,%,Ž,25-49,21.0
2017,%,Ž,50-64,12.1
2017,%,Ž,15-64,21.68
2018,%,Oba spola,15,19.21
2018,%,Oba spola,15-24,41.01
2018,%,Oba spola,25-49,19.56
2018,%,Oba spola,50-64,10.41
2018,%,Oba spola,15-64,19.41
2018,%,M,15,17.81
2018,%,M,15-24,38.95
2018,%,M,25-49,17.21
2018,%,M,50-64,10.9
2018,%,M,15-64,17.95
2018,%,Ž,15,21.52
2018,%,Ž,15-24,44.71
2018,%,Ž,25-49,23.15
2018,%,Ž,50-64,9.51
2018,%,Ž,15-64,21.81
2019,%,Oba spola,15,15.4
2019,%,Oba spola,15-24,24.39
2019,%,Oba spola,25-49,19.4
2019,%,Oba spola,50-64,10.4
2019,%,Oba spola,15-64,18.7
2019,%,M,15,16.3
2019,%,M,15-24,36.7
2019,%,M,25-49,16.7
2019,%,M,50-64,9.5
2019,%,M,15-64,16.6
2019,%,Ž,15,21.7
2019,%,Ž,15-24,42.7
2019,%,Ž,25-49,23.1
2019,%,Ž,50-64,12.2
2019,%,Ž,15-64,22.1
2020,%,Oba spola,15,17.5
2020,%,Oba spola,15-24,40.3
2020,%,Oba spola,25-49,15.8
2020,%,Oba spola,50-64,11.8
2020,%,Oba spola,15-64,17.6
2020,%,M,15,14.7
2020,%,M,15-24,24.35
2020,%,M,25-49,12.6
2020,%,M,50-64,12.2
2020,%,M,15-64,14.8
2020,%,Ž,15,22.3
2020,%,Ž,15-24,48.1
2020,%,Ž,25-49,21.1
2020,%,Ž,50-64,11.2
2020,%,Ž,15-64,22.4
2021,%,Oba spola,15,18.9
2021,%,Oba spola,15-24,24.41
2021,%,Oba spola,25-49,17.3
2021,%,Oba spola,50-64,14.1
2021,%,Oba spola,15-64,18.9
2021,%,M,15,15.0
2021,%,M,15-24,36.2
2021,%,M,25-49,12.6
2021,%,M,50-64,12.6
2021,%,M,15-64,15.0
2021,%,Ž,15,25.5
2021,%,Ž,15-24,49.2
2021,%,Ž,25-49,24.7
2021,%,Ž,50-64,17.2
2021,%,Ž,15-64,25.5
2022,%,Oba spola,15,17.2
2022,%,Oba spola,15-24,37.4
2022,%,Oba spola,25-49,16.0
2022,%,Oba spola,50-64,13.4
2022,%,Oba spola,15-64,17.3
2022,%,M,15,14.1
2022,%,M,15-24,33.0
2022,%,M,25-49,12.6
2022,%,M,50-64,11.6
2022,%,M,15-64,14.1
2022,%,Ž,15,22.4
2022,%,Ž,15-24,44.8
2022,%,Ž,25-49,21.3
2022,%,Ž,50-64,17.3
2022,%,Ž,15-64,22.5
