Year,UNIT_MEASURE,Пол,Старосна доб,Value
1996,Број,Оба пола,Укупно,2141341
1996,Број,Оба пола,0,35521
1996,Број,Оба пола,1,34189
1996,Број,Оба пола,2,27467
1996,Број,Оба пола,3,25799
1996,Број,Оба пола,4,30219
1996,Број,Оба пола,5,32760
1996,Број,Оба пола,6,32923
1996,Број,Оба пола,7,32812
1996,Број,Оба пола,8,33864
1996,Број,Оба пола,9,33557
1996,Број,Оба пола,10,33515
1996,Број,Оба пола,11,33632
1996,Број,Оба пола,12,34674
1996,Број,Оба пола,13,33381
1996,Број,Оба пола,14,33258
1996,Број,Оба пола,15,33699
1996,Број,Оба пола,16,32893
1996,Број,Оба пола,17,32528
1996,Број,Оба пола,18,32513
1996,Број,Оба пола,19,32436
1996,Број,Оба пола,20,33293
1996,Број,Оба пола,21,32297
1996,Број,Оба пола,22,31990
1996,Број,Оба пола,23,31591
1996,Број,Оба пола,24,32788
1996,Број,Оба пола,25,32097
1996,Број,Оба пола,26,30782
1996,Број,Оба пола,27,32915
1996,Број,Оба пола,28,33272
1996,Број,Оба пола,29,34329
1996,Број,Оба пола,30,35194
1996,Број,Оба пола,31,35633
1996,Број,Оба пола,32,35687
1996,Број,Оба пола,33,36083
1996,Број,Оба пола,34,37474
1996,Број,Оба пола,35,37043
1996,Број,Оба пола,36,36824
1996,Број,Оба пола,37,36989
1996,Број,Оба пола,38,35240
1996,Број,Оба пола,39,33773
1996,Број,Оба пола,40,34460
1996,Број,Оба пола,41,34897
1996,Број,Оба пола,42,33459
1996,Број,Оба пола,43,33450
1996,Број,Оба пола,44,30463
1996,Број,Оба пола,45,28548
1996,Број,Оба пола,46,28869
1996,Број,Оба пола,47,27480
1996,Број,Оба пола,48,24993
1996,Број,Оба пола,49,26283
1996,Број,Оба пола,50,20770
1996,Број,Оба пола,51,19732
1996,Број,Оба пола,52,19420
1996,Број,Оба пола,53,20171
1996,Број,Оба пола,54,23071
1996,Број,Оба пола,55,24865
1996,Број,Оба пола,56,26230
1996,Број,Оба пола,57,24823
1996,Број,Оба пола,58,25052
1996,Број,Оба пола,59,24769
