Year,UNIT_MEASURE,Spol,Value
1996,Broj,M,28.1
1997,Broj,M,27.1
1998,Broj,M,27.9
1999,Broj,M,27.7
2000,Broj,M,27.4
2001,Broj,M,27.4
2002,Broj,M,27.5
2003,Broj,M,27.6
2004,Broj,M,27.6
2005,Broj,M,27.7
2006,Broj,M,27.7
2007,Broj,M,27.8
2008,Broj,M,27.8
2009,Broj,M,27.9
2010,Broj,M,27.9
2011,Broj,M,28.1
2012,Broj,M,28.1
2013,Broj,M,28.6
2014,Broj,M,28.1
2015,Broj,M,28.4
2016,Broj,M,28.3
2017,Broj,M,28.3
2018,Broj,M,28.5
2019,Broj,M,28.3
2020,Broj,M,28.4
1996,Broj,Ž,24.4
1997,Broj,Ž,23.8
1998,Broj,Ž,24.4
1999,Broj,Ž,24.2
2000,Broj,Ž,23.9
2001,Broj,Ž,24.0
2002,Broj,Ž,24.1
2003,Broj,Ž,24.2
2004,Broj,Ž,24.2
2005,Broj,Ž,24.3
2006,Broj,Ž,24.3
2007,Broj,Ž,24.5
2008,Broj,Ž,24.6
2009,Broj,Ž,24.8
2010,Broj,Ž,24.9
2011,Broj,Ž,25.0
2012,Broj,Ž,25.2
2013,Broj,Ž,25.5
2014,Broj,Ž,25.2
2015,Broj,Ž,25.5
2016,Broj,Ž,25.4
2017,Broj,Ž,25.5
2018,Broj,Ž,25.8
2019,Broj,Ž,25.7
2020,Broj,Ž,25.7
