Year,UNIT_MEASURE,Spol,Value
2013,Broj,M,73.9
2014,Broj,M,74.4
2015,Broj,M,74.0
2016,Broj,M,74.6
2017,Broj,M,74.5
2018,Broj,M,75.1
2019,Broj,M,74.9
2020,Broj,M,73.1
2021,Broj,M,72.4
2013,Broj,Ž,78.5
2014,Broj,Ž,78.9
2015,Broj,Ž,78.3
2016,Broj,Ž,78.8
2017,Broj,Ž,78.9
2018,Broj,Ž,79.3
2019,Broj,Ž,79.2
2020,Broj,Ž,78.3
2021,Broj,Ž,77.2
