Year,Value,UNIT_MEASURE
2002,10,NUMBER
2003,5,NUMBER
2004,18,NUMBER
2005,9,NUMBER
2006,15,NUMBER
2007,17,NUMBER
2008,11,NUMBER
2009,5,NUMBER
2010,7,NUMBER
2011,5,NUMBER
2012,6,NUMBER
2013,5,NUMBER
2014,6,NUMBER
2015,4,NUMBER
2016,9,NUMBER
2017,9,NUMBER
2018,5,NUMBER
2019,42,NUMBER
