Year,Value,UNIT_MEASURE
2003,8,NUMBER
2004,10,NUMBER
2005,11,NUMBER
2006,12,NUMBER
2007,4,NUMBER
2008,7,NUMBER
2009,4,NUMBER
2010,3,NUMBER
2011,20,NUMBER
2012,17,NUMBER
2013,16,NUMBER
2014,15,NUMBER
2015,10,NUMBER
2016,16,NUMBER
2017,7,NUMBER
2018,19,NUMBER
2019,21,NUMBER
