Year,Value,UNIT_MEASURE
1996,6.5,permil
1997,6.8,permil
1998,6.7,permil
1999,6.3,permil
2000,6.0,permil
2001,5.5,permil
2002,5.6,permil
2003,5.6,permil
2004,5.9,permil
2005,6.1,permil
2006,5.8,permil
2007,6.6,permil
2008,6.7,permil
2009,6.1,permil
2010,5.8,permil
2011,5.7,permil
2012,5.4,permil
2013,4.9,permil
2014,5.4,permil
2015,5.9,permil
2016,5.8,permil
2017,5.9,permil
2018,5.9,permil
2019,5.6,permil
2020,4.7,permil
2021,5.3,permil
2022,5.1,permil
2023,5.0,permil
