Year,Value,UNIT_MEASURE
2020,41.4,NUMBER
2025,43.6,NUMBER
2030,45.6,NUMBER
2035,47.6,NUMBER
2040,49.4,NUMBER
2045,50.9,NUMBER
2050,52.2,NUMBER
2055,53.2,NUMBER
2060,54.0,NUMBER
2065,54.7,NUMBER
2070,55.2,NUMBER
