Year,Value,UNIT_MEASURE
2020,9.9,crude_death_rate_1000
2025,10.8,crude_death_rate_1000
2030,12.0,crude_death_rate_1000
2035,13.3,crude_death_rate_1000
2040,14.9,crude_death_rate_1000
2045,16.5,crude_death_rate_1000
2050,17.9,crude_death_rate_1000
2055,19.1,crude_death_rate_1000
2060,20.1,crude_death_rate_1000
2065,20.9,crude_death_rate_1000
2070,21.6,crude_death_rate_1000
