Year,Value,UNIT_MEASURE
2008,4105,NUMBER
2009,3806,NUMBER
2010,3080,NUMBER
2011,4598,NUMBER
2012,4823,NUMBER
2013,4597,NUMBER
2014,4730,NUMBER
2015,4788,NUMBER
2016,4909,NUMBER
2017,5038,NUMBER
2018,4910,NUMBER
