Year,UNIT_MEASURE,Administrative Area,Type of school,Value
2019,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,33
2020,Number,Herzegovina-Neretva Canton,Gymnasium,1844
2020,Number,Herzegovina-Neretva Canton,Technical high schools,3848
2020,Number,Herzegovina-Neretva Canton,Vocational high schools,942
2020,Number,Herzegovina-Neretva Canton,Art schools,151
2020,Number,Herzegovina-Neretva Canton,Religious schools,238
2020,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,32
2021,Number,Herzegovina-Neretva Canton,Gymnasium,1798
2021,Number,Herzegovina-Neretva Canton,Technical high schools,3991
2021,Number,Herzegovina-Neretva Canton,Vocational high schools,932
2021,Number,Herzegovina-Neretva Canton,Art schools,142
2021,Number,Herzegovina-Neretva Canton,Religious schools,227
2021,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,31
2022,Number,Herzegovina-Neretva Canton,Gymnasium,1777
2022,Number,Herzegovina-Neretva Canton,Technical high schools,4185
2022,Number,Herzegovina-Neretva Canton,Vocational high schools,934
2022,Number,Herzegovina-Neretva Canton,Art schools,143
2022,Number,Herzegovina-Neretva Canton,Religious schools,233
2022,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,12
2023,Number,Herzegovina-Neretva Canton,Gymnasium,1511
2023,Number,Herzegovina-Neretva Canton,Technical high schools,4614
2023,Number,Herzegovina-Neretva Canton,Vocational high schools,693
2023,Number,Herzegovina-Neretva Canton,Art schools,123
2023,Number,Herzegovina-Neretva Canton,Religious schools,226
2023,Number,Herzegovina-Neretva Canton,High schools for students with disabilities,11
2016,Number,West Herzegovina Canton,Gymnasium,1603
2016,Number,West Herzegovina Canton,Technical high schools,1831
2016,Number,West Herzegovina Canton,Vocational high schools,571
2016,Number,West Herzegovina Canton,Art schools,21
2016,Number,West Herzegovina Canton,High schools for students with disabilities,3
2017,Number,West Herzegovina Canton,Gymnasium,1490
2017,Number,West Herzegovina Canton,Technical high schools,1838
2017,Number,West Herzegovina Canton,Vocational high schools,445
2017,Number,West Herzegovina Canton,Art schools,27
2017,Number,West Herzegovina Canton,High schools for students with disabilities,3
2018,Number,West Herzegovina Canton,Gymnasium,1263
2018,Number,West Herzegovina Canton,Technical high schools,1738
2018,Number,West Herzegovina Canton,Vocational high schools,357
2018,Number,West Herzegovina Canton,Art schools,30
2018,Number,West Herzegovina Canton,High schools for students with disabilities,2
2019,Number,West Herzegovina Canton,Gymnasium,1201
2019,Number,West Herzegovina Canton,Technical high schools,1693
2019,Number,West Herzegovina Canton,Vocational high schools,324
2019,Number,West Herzegovina Canton,Art schools,41
2019,Number,West Herzegovina Canton,High schools for students with disabilities,6
2020,Number,West Herzegovina Canton,Gymnasium,1130
2020,Number,West Herzegovina Canton,Technical high schools,1667
2020,Number,West Herzegovina Canton,Vocational high schools,336
2020,Number,West Herzegovina Canton,High schools for students with disabilities,5
2021,Number,West Herzegovina Canton,Gymnasium,1119
2021,Number,West Herzegovina Canton,Technical high schools,1613
2021,Number,West Herzegovina Canton,Vocational high schools,353
2021,Number,West Herzegovina Canton,Art schools,77
2021,Number,West Herzegovina Canton,High schools for students with disabilities,6
2022,Number,West Herzegovina Canton,Gymnasium,1190
2022,Number,West Herzegovina Canton,Technical high schools,1674
2022,Number,West Herzegovina Canton,Vocational high schools,363
2022,Number,West Herzegovina Canton,Art schools,52
2022,Number,West Herzegovina Canton,High schools for students with disabilities,2
2023,Number,West Herzegovina Canton,Gymnasium,1176
2023,Number,West Herzegovina Canton,Technical high schools,1721
2023,Number,West Herzegovina Canton,Vocational high schools,365
2023,Number,West Herzegovina Canton,Art schools,105
2023,Number,West Herzegovina Canton,High schools for students with disabilities, -
2016,Number,Sarajevo Canton,Gymnasium,5120
2016,Number,Sarajevo Canton,Technical high schools,7464
2016,Number,Sarajevo Canton,Vocational high schools,1784
2016,Number,Sarajevo Canton,Art schools,295
2016,Number,Sarajevo Canton,Religious schools,491
2016,Number,Sarajevo Canton,High schools for students with disabilities,131
2017,Number,Sarajevo Canton,Gymnasium,5199
2017,Number,Sarajevo Canton,Technical high schools,7807
2017,Number,Sarajevo Canton,Vocational high schools,1956
2017,Number,Sarajevo Canton,Art schools,332
2017,Number,Sarajevo Canton,Religious schools,499
2017,Number,Sarajevo Canton,High schools for students with disabilities,133
2018,Number,Sarajevo Canton,Gymnasium,4785
2018,Number,Sarajevo Canton,Technical high schools,7320
2018,Number,Sarajevo Canton,Vocational high schools,2126
2018,Number,Sarajevo Canton,Art schools,307
2018,Number,Sarajevo Canton,Religious schools,487
2018,Number,Sarajevo Canton,High schools for students with disabilities,137
2019,Number,Sarajevo Canton,Gymnasium,4595
2019,Number,Sarajevo Canton,Technical high schools,7022
2019,Number,Sarajevo Canton,Vocational high schools,2231
2019,Number,Sarajevo Canton,Art schools,279
2019,Number,Sarajevo Canton,Religious schools,489
2019,Number,Sarajevo Canton,High schools for students with disabilities,117
2020,Number,Sarajevo Canton,Gymnasium,4673
2020,Number,Sarajevo Canton,Technical high schools,6877
2020,Number,Sarajevo Canton,Vocational high schools,2290
2020,Number,Sarajevo Canton,Art schools,298
2020,Number,Sarajevo Canton,Religious schools,485
2020,Number,Sarajevo Canton,High schools for students with disabilities,127
2021,Number,Sarajevo Canton,Gymnasium,4803
2021,Number,Sarajevo Canton,Technical high schools,7068
2021,Number,Sarajevo Canton,Vocational high schools,1921
2021,Number,Sarajevo Canton,Art schools,294
2021,Number,Sarajevo Canton,Religious schools,465
2021,Number,Sarajevo Canton,High schools for students with disabilities,128
2022,Number,Sarajevo Canton,Gymnasium,5103
2022,Number,Sarajevo Canton,Technical high schools,6817
2022,Number,Sarajevo Canton,Vocational high schools,1963
2022,Number,Sarajevo Canton,Art schools,299
2022,Number,Sarajevo Canton,Religious schools,460
2022,Number,Sarajevo Canton,High schools for students with disabilities,128
2023,Number,Sarajevo Canton,Gymnasium,5294
2023,Number,Sarajevo Canton,Technical high schools,6859
2023,Number,Sarajevo Canton,Vocational high schools,1938
2023,Number,Sarajevo Canton,Art schools,320
2023,Number,Sarajevo Canton,Religious schools,454
2023,Number,Sarajevo Canton,High schools for students with disabilities,143
2016,Number,Canton 10,Gymnasium,707
2016,Number,Canton 10,Technical high schools,989
2016,Number,Canton 10,Vocational high schools,340
2016,Number,Canton 10,High schools for students with disabilities,5
2017,Number,Canton 10,Gymnasium,674
2017,Number,Canton 10,Technical high schools,962
2017,Number,Canton 10,Vocational high schools,316
2017,Number,Canton 10,High schools for students with disabilities,5
2018,Number,Canton 10,Gymnasium,646
2018,Number,Canton 10,Technical high schools,932
2018,Number,Canton 10,Vocational high schools,332
2018,Number,Canton 10,High schools for students with disabilities,7
2019,Number,Canton 10,Gymnasium,670
2019,Number,Canton 10,Technical high schools,1055
2019,Number,Canton 10,Vocational high schools,326
2019,Number,Canton 10,High schools for students with disabilities,7
2020,Number,Canton 10,Gymnasium,664
2020,Number,Canton 10,Technical high schools,1090
2020,Number,Canton 10,Vocational high schools,284
2020,Number,Canton 10,High schools for students with disabilities,5
2021,Number,Canton 10,Gymnasium,633
2021,Number,Canton 10,Technical high schools,1032
2021,Number,Canton 10,Vocational high schools,279
2021,Number,Canton 10,High schools for students with disabilities,3
2022,Number,Canton 10,Gymnasium,607
2022,Number,Canton 10,Technical high schools,961
2022,Number,Canton 10,Vocational high schools,245
2022,Number,Canton 10,High schools for students with disabilities,4
2023,Number,Canton 10,Gymnasium,583
2023,Number,Canton 10,Technical high schools,913
2023,Number,Canton 10,Vocational high schools,259
2023,Number,Canton 10,High schools for students with disabilities,7
