Year,UNIT_MEASURE,Admin_Area,Value
2011,Broj,Federacija Bosne i Hercegovine,1208
2011,Broj,Županija Unsko-sanska,237
2011,Broj,Županija Posavska,19
2011,Broj,Županija Tuzlanska,256
2011,Broj,Županija Zeničko-dobojska,225
2011,Broj,Županija Bosansko-podrinjska,21
2011,Broj,Županija Srednjobosanska,63
2011,Broj,Županija Hercegovačko-neretvanska,110
2011,Broj,Županija Zapadno-hercegovačka,15
2011,Broj,Sarajevska županija,250
2011,Broj,Županija 10,12
2012,Broj,Federacija Bosne i Hercegovine,1173
2012,Broj,Županija Unsko-sanska,252
2012,Broj,Županija Posavska,25
2012,Broj,Županija Tuzlanska,251
2012,Broj,Županija Zeničko-dobojska,308
2012,Broj,Županija Bosansko-podrinjska,7
2012,Broj,Županija Srednjobosanska,106
2012,Broj,Županija Hercegovačko-neretvanska,109
2012,Broj,Županija Zapadno-hercegovačka,18
2012,Broj,Sarajevska županija,88
2012,Broj,Županija 10,9
2013,Broj,Federacija Bosne i Hercegovine,1359
2013,Broj,Županija Unsko-sanska,257
2013,Broj,Županija Posavska,23
2013,Broj,Županija Tuzlanska,300
2013,Broj,Županija Zeničko-dobojska,293
2013,Broj,Županija Bosansko-podrinjska,9
2013,Broj,Županija Srednjobosanska,95
2013,Broj,Županija Hercegovačko-neretvanska,128
2013,Broj,Županija Zapadno-hercegovačka,17
2013,Broj,Sarajevska županija,231
2013,Broj,Županija 10,6
2014,Broj,Federacija Bosne i Hercegovine,1318
2014,Broj,Županija Unsko-sanska,255
2014,Broj,Županija Posavska,13
2014,Broj,Županija Tuzlanska,377
2014,Broj,Županija Zeničko-dobojska,289
2014,Broj,Županija Bosansko-podrinjska,17
2014,Broj,Županija Srednjobosanska,79
2014,Broj,Županija Hercegovačko-neretvanska,115
2014,Broj,Županija Zapadno-hercegovačka,23
2014,Broj,Sarajevska županija,139
2014,Broj,Županija 10,11
2015,Broj,Federacija Bosne i Hercegovine,1490
2015,Broj,Županija Unsko-sanska,241
2015,Broj,Županija Posavska,36
2015,Broj,Županija Tuzlanska,401
2015,Broj,Županija Zeničko-dobojska,225
2015,Broj,Županija Bosansko-podrinjska,25
2015,Broj,Županija Srednjobosanska,117
2015,Broj,Županija Hercegovačko-neretvanska,124
2015,Broj,Županija Zapadno-hercegovačka,19
2015,Broj,Sarajevska županija,295
2015,Broj,Županija 10,7
2016,Broj,Federacija Bosne i Hercegovine,1445
2016,Broj,Županija Unsko-sanska,250
2016,Broj,Županija Posavska,25
2016,Broj,Županija Tuzlanska,420
2016,Broj,Županija Zeničko-dobojska,214
2016,Broj,Županija Bosansko-podrinjska,18
2016,Broj,Županija Srednjobosanska,89
2016,Broj,Županija Hercegovačko-neretvanska,160
2016,Broj,Županija Zapadno-hercegovačka,20
2016,Broj,Sarajevska županija,242
2016,Broj,Županija 10,7
2017,Broj,Federacija Bosne i Hercegovine,1725
2017,Broj,Županija Unsko-sanska,253
2017,Broj,Županija Posavska,31
2017,Broj,Županija Tuzlanska,409
2017,Broj,Županija Zeničko-dobojska,361
2017,Broj,Županija Bosansko-podrinjska,21
2017,Broj,Županija Srednjobosanska,78
2017,Broj,Županija Hercegovačko-neretvanska,118
2017,Broj,Županija Zapadno-hercegovačka,27
2017,Broj,Sarajevska županija,413
2017,Broj,Županija 10,14
2018,Broj,Federacija Bosne i Hercegovine,1823
2018,Broj,Županija Unsko-sanska,273
2018,Broj,Županija Posavska,40
2018,Broj,Županija Tuzlanska,522
2018,Broj,Županija Zeničko-dobojska,348
2018,Broj,Županija Bosansko-podrinjska,32
2018,Broj,Županija Srednjobosanska,125
2018,Broj,Županija Hercegovačko-neretvanska,120
2018,Broj,Županija Zapadno-hercegovačka,20
2018,Broj,Sarajevska županija,320
2018,Broj,Županija 10,23
2019,Broj,Federacija Bosne i Hercegovine,1673
2019,Broj,Županija Unsko-sanska,303
2019,Broj,Županija Posavska,45
2019,Broj,Županija Tuzlanska,428
2019,Broj,Županija Zeničko-dobojska,341
2019,Broj,Županija Bosansko-podrinjska,25
2019,Broj,Županija Srednjobosanska,142
2019,Broj,Županija Hercegovačko-neretvanska,124
2019,Broj,Županija Zapadno-hercegovačka,26
2019,Broj,Sarajevska županija,223
2019,Broj,Županija 10,16
2020,Broj,Federacija Bosne i Hercegovine,1460
2020,Broj,Županija Unsko-sanska,255
2020,Broj,Županija Posavska,24
2020,Broj,Županija Tuzlanska,448
2020,Broj,Županija Zeničko-dobojska,281
2020,Broj,Županija Bosansko-podrinjska,25
2020,Broj,Županija Srednjobosanska,107
2020,Broj,Županija Hercegovačko-neretvanska,90
2020,Broj,Županija Zapadno-hercegovačka,21
2020,Broj,Sarajevska županija,195
2020,Broj,Županija 10,14
