Year,UNIT_MEASURE,Administrativna jedinica,Spol,Value
2010,Broj,Federacija Bosne i Hercegovine,Oba spola,
2011,Broj,Federacija Bosne i Hercegovine,Oba spola,
2012,Broj,Federacija Bosne i Hercegovine,Oba spola,
2013,Broj,Federacija Bosne i Hercegovine,Oba spola,
2014,Broj,Federacija Bosne i Hercegovine,Oba spola,
2015,Broj,Federacija Bosne i Hercegovine,Oba spola,
2016,Broj,Federacija Bosne i Hercegovine,Oba spola,
2017,Broj,Federacija Bosne i Hercegovine,Oba spola,
2018,Broj,Federacija Bosne i Hercegovine,Oba spola,
2019,Broj,Federacija Bosne i Hercegovine,Oba spola,
2010,Broj,Federacija Bosne i Hercegovine,M,
2011,Broj,Federacija Bosne i Hercegovine,M,
2012,Broj,Federacija Bosne i Hercegovine,M,
2013,Broj,Federacija Bosne i Hercegovine,M,
2014,Broj,Federacija Bosne i Hercegovine,M,
2015,Broj,Federacija Bosne i Hercegovine,M,
2016,Broj,Federacija Bosne i Hercegovine,M,
2017,Broj,Federacija Bosne i Hercegovine,M,
2018,Broj,Federacija Bosne i Hercegovine,M,
2019,Broj,Federacija Bosne i Hercegovine,M,
2010,Broj,Federacija Bosne i Hercegovine,Ž,
2011,Broj,Federacija Bosne i Hercegovine,Ž,
2012,Broj,Federacija Bosne i Hercegovine,Ž,
2013,Broj,Federacija Bosne i Hercegovine,Ž,
2014,Broj,Federacija Bosne i Hercegovine,Ž,
2015,Broj,Federacija Bosne i Hercegovine,Ž,
2016,Broj,Federacija Bosne i Hercegovine,Ž,
2017,Broj,Federacija Bosne i Hercegovine,Ž,
2018,Broj,Federacija Bosne i Hercegovine,Ž,
2019,Broj,Federacija Bosne i Hercegovine,Ž,
2010,Broj,Unsko-sanska županija,Oba spola,
2011,Broj,Unsko-sanska županija,Oba spola,
2012,Broj,Unsko-sanska županija,Oba spola,
2013,Broj,Unsko-sanska županija,Oba spola,
2014,Broj,Unsko-sanska županija,Oba spola,
2015,Broj,Unsko-sanska županija,Oba spola,
2016,Broj,Unsko-sanska županija,Oba spola,
2017,Broj,Unsko-sanska županija,Oba spola,
2018,Broj,Unsko-sanska županija,Oba spola,
2019,Broj,Unsko-sanska županija,Oba spola,
2010,Broj,Unsko-sanska županija,M,
2011,Broj,Unsko-sanska županija,M,
2012,Broj,Unsko-sanska županija,M,
2013,Broj,Unsko-sanska županija,M,
2014,Broj,Unsko-sanska županija,M,
2015,Broj,Unsko-sanska županija,M,
2016,Broj,Unsko-sanska županija,M,
2017,Broj,Unsko-sanska županija,M,
2018,Broj,Unsko-sanska županija,M,
2019,Broj,Unsko-sanska županija,M,
2010,Broj,Unsko-sanska županija,Ž,
2011,Broj,Unsko-sanska županija,Ž,
2012,Broj,Unsko-sanska županija,Ž,
2013,Broj,Unsko-sanska županija,Ž,
2014,Broj,Unsko-sanska županija,Ž,
2015,Broj,Unsko-sanska županija,Ž,
2016,Broj,Unsko-sanska županija,Ž,
2017,Broj,Unsko-sanska županija,Ž,
2018,Broj,Unsko-sanska županija,Ž,
2019,Broj,Unsko-sanska županija,Ž,
2010,Broj,Tuzlanska županija,Oba spola,
2011,Broj,Tuzlanska županija,Oba spola,
2012,Broj,Tuzlanska županija,Oba spola,
2013,Broj,Tuzlanska županija,Oba spola,
2014,Broj,Tuzlanska županija,Oba spola,
2015,Broj,Tuzlanska županija,Oba spola,
2016,Broj,Tuzlanska županija,Oba spola,
2017,Broj,Tuzlanska županija,Oba spola,
2018,Broj,Tuzlanska županija,Oba spola,
2019,Broj,Tuzlanska županija,Oba spola,
2010,Broj,Tuzlanska županija,M,
2011,Broj,Tuzlanska županija,M,
2012,Broj,Tuzlanska županija,M,
2013,Broj,Tuzlanska županija,M,
2014,Broj,Tuzlanska županija,M,
2015,Broj,Tuzlanska županija,M,
2016,Broj,Tuzlanska županija,M,
2017,Broj,Tuzlanska županija,M,
2018,Broj,Tuzlanska županija,M,
2019,Broj,Tuzlanska županija,M,
2010,Broj,Tuzlanska županija,Ž,
2011,Broj,Tuzlanska županija,Ž,
2012,Broj,Tuzlanska županija,Ž,
2013,Broj,Tuzlanska županija,Ž,
2014,Broj,Tuzlanska županija,Ž,
2015,Broj,Tuzlanska županija,Ž,
2016,Broj,Tuzlanska županija,Ž,
2017,Broj,Tuzlanska županija,Ž,
2018,Broj,Tuzlanska županija,Ž,
2019,Broj,Tuzlanska županija,Ž,
2010,Broj,Zeničko-dobojska županija,Oba spola,
2011,Broj,Zeničko-dobojska županija,Oba spola,
2012,Broj,Zeničko-dobojska županija,Oba spola,
2013,Broj,Zeničko-dobojska županija,Oba spola,
2014,Broj,Zeničko-dobojska županija,Oba spola,
2015,Broj,Zeničko-dobojska županija,Oba spola,
2016,Broj,Zeničko-dobojska županija,Oba spola,
2017,Broj,Zeničko-dobojska županija,Oba spola,
2018,Broj,Zeničko-dobojska županija,Oba spola,
2019,Broj,Zeničko-dobojska županija,Oba spola,
2010,Broj,Zeničko-dobojska županija,M,
2011,Broj,Zeničko-dobojska županija,M,
2012,Broj,Zeničko-dobojska županija,M,
2013,Broj,Zeničko-dobojska županija,M,
2014,Broj,Zeničko-dobojska županija,M,
2015,Broj,Zeničko-dobojska županija,M,
2016,Broj,Zeničko-dobojska županija,M,
2017,Broj,Zeničko-dobojska županija,M,
2018,Broj,Zeničko-dobojska županija,M,
2019,Broj,Zeničko-dobojska županija,M,
2010,Broj,Zeničko-dobojska županija,Ž,
2011,Broj,Zeničko-dobojska županija,Ž,
2012,Broj,Zeničko-dobojska županija,Ž,
2013,Broj,Zeničko-dobojska županija,Ž,
2014,Broj,Zeničko-dobojska županija,Ž,
2015,Broj,Zeničko-dobojska županija,Ž,
2016,Broj,Zeničko-dobojska županija,Ž,
2017,Broj,Zeničko-dobojska županija,Ž,
2018,Broj,Zeničko-dobojska županija,Ž,
2019,Broj,Zeničko-dobojska županija,Ž,
2010,Broj,Bosansko-podrinjska županija,Oba spola,
2011,Broj,Bosansko-podrinjska županija,Oba spola,
2012,Broj,Bosansko-podrinjska županija,Oba spola,
2013,Broj,Bosansko-podrinjska županija,Oba spola,
2014,Broj,Bosansko-podrinjska županija,Oba spola,
2015,Broj,Bosansko-podrinjska županija,Oba spola,
2016,Broj,Bosansko-podrinjska županija,Oba spola,
2017,Broj,Bosansko-podrinjska županija,Oba spola,
2018,Broj,Bosansko-podrinjska županija,Oba spola,
2019,Broj,Bosansko-podrinjska županija,Oba spola,
2010,Broj,Bosansko-podrinjska županija,M,
2011,Broj,Bosansko-podrinjska županija,M,
2012,Broj,Bosansko-podrinjska županija,M,
2013,Broj,Bosansko-podrinjska županija,M,
2014,Broj,Bosansko-podrinjska županija,M,
2015,Broj,Bosansko-podrinjska županija,M,
2016,Broj,Bosansko-podrinjska županija,M,
2017,Broj,Bosansko-podrinjska županija,M,
2018,Broj,Bosansko-podrinjska županija,M,
2019,Broj,Bosansko-podrinjska županija,M,
2010,Broj,Bosansko-podrinjska županija,Ž,
2011,Broj,Bosansko-podrinjska županija,Ž,
2012,Broj,Bosansko-podrinjska županija,Ž,
2013,Broj,Bosansko-podrinjska županija,Ž,
2014,Broj,Bosansko-podrinjska županija,Ž,
2015,Broj,Bosansko-podrinjska županija,Ž,
2016,Broj,Bosansko-podrinjska županija,Ž,
2017,Broj,Bosansko-podrinjska županija,Ž,
2018,Broj,Bosansko-podrinjska županija,Ž,
2019,Broj,Bosansko-podrinjska županija,Ž,
2010,Broj,Srednjobosanska županija,Oba spola,
2011,Broj,Srednjobosanska županija,Oba spola,
2012,Broj,Srednjobosanska županija,Oba spola,
2013,Broj,Srednjobosanska županija,Oba spola,
2014,Broj,Srednjobosanska županija,Oba spola,
2015,Broj,Srednjobosanska županija,Oba spola,
2016,Broj,Srednjobosanska županija,Oba spola,
2017,Broj,Srednjobosanska županija,Oba spola,
2018,Broj,Srednjobosanska županija,Oba spola,
2019,Broj,Srednjobosanska županija,Oba spola,
2010,Broj,Srednjobosanska županija,M,
2011,Broj,Srednjobosanska županija,M,
2012,Broj,Srednjobosanska županija,M,
2013,Broj,Srednjobosanska županija,M,
2014,Broj,Srednjobosanska županija,M,
2015,Broj,Srednjobosanska županija,M,
2016,Broj,Srednjobosanska županija,M,
2017,Broj,Srednjobosanska županija,M,
2018,Broj,Srednjobosanska županija,M,
2019,Broj,Srednjobosanska županija,M,
2010,Broj,Srednjobosanska županija,Ž,
2011,Broj,Srednjobosanska županija,Ž,
2012,Broj,Srednjobosanska županija,Ž,
2013,Broj,Srednjobosanska županija,Ž,
2014,Broj,Srednjobosanska županija,Ž,
2015,Broj,Srednjobosanska županija,Ž,
2016,Broj,Srednjobosanska županija,Ž,
2017,Broj,Srednjobosanska županija,Ž,
2018,Broj,Srednjobosanska županija,Ž,
2019,Broj,Srednjobosanska županija,Ž,
2010,Broj,Hercegovačko-neretvanska županija,Oba spola,
2011,Broj,Hercegovačko-neretvanska županija,Oba spola,
2012,Broj,Hercegovačko-neretvanska županija,Oba spola,
