Year,UNIT_MEASURE,Sex,Value
1996,Number,Both sexes,474
1997,Number,Both sexes,445
1998,Number,Both sexes,382
1999,Number,Both sexes,312
2000,Number,Both sexes,280
2001,Number,Both sexes,214
2002,Number,Both sexes,245
2003,Number,Both sexes,202
2004,Number,Both sexes,190
2005,Number,Both sexes,194
2006,Number,Both sexes,205
2007,Number,Both sexes,193
2008,Number,Both sexes,194
2009,Number,Both sexes,173
2010,Number,Both sexes,172
2011,Number,Both sexes,141
2012,Number,Both sexes,139
2013,Number,Both sexes,148
2014,Number,Both sexes,127
2015,Number,Both sexes,154
2016,Number,Both sexes,147
2017,Number,Both sexes,162
2018,Number,Both sexes,158
2019,Number,Both sexes,167
2020,Number,Both sexes,119
2021,Number,Both sexes,99
2022,Number,Both sexes,108
2023,Number,Both sexes,109
1996,Number,M,261
1997,Number,M,276
1998,Number,M,235
1999,Number,M,174
2000,Number,M,163
2001,Number,M,118
2002,Number,M,138
2003,Number,M,122
2004,Number,M,107
2005,Number,M,113
2006,Number,M,127
2007,Number,M,114
2008,Number,M,110
2009,Number,M,87
2010,Number,M,105
2011,Number,M,85
2012,Number,M,85
2013,Number,M,88
2014,Number,M,63
2015,Number,M,84
2016,Number,M,87
2017,Number,M,87
2018,Number,M,81
2019,Number,M,89
2020,Number,M,71
2021,Number,M,56
2022,Number,M,59
2023,Number,M,62
1996,Number,F,213
1997,Number,F,169
1998,Number,F,147
1999,Number,F,138
2000,Number,F,117
2001,Number,F,96
2002,Number,F,107
2003,Number,F,80
2004,Number,F,83
2005,Number,F,81
2006,Number,F,78
2007,Number,F,79
2008,Number,F,84
2009,Number,F,86
2010,Number,F,67
2011,Number,F,56
2012,Number,F,54
2013,Number,F,60
2014,Number,F,64
2015,Number,F,70
2016,Number,F,60
2017,Number,F,75
2018,Number,F,77
2019,Number,F,78
2020,Number,F,48
2021,Number,F,43
2022,Number,F,49
2023,Number,F,47
