Year,Value,UNIT_MEASURE
1996,23.6,Starosna dob
1997,23.5,Starosna dob
1998,23.9,Starosna dob
1999,24.2,Starosna dob
2000,24.2,Starosna dob
2001,24.2,Starosna dob
2002,24.2,Starosna dob
2003,24.3,Starosna dob
2004,24.5,Starosna dob
2005,24.5,Starosna dob
2006,24.6,Starosna dob
2007,24.8,Starosna dob
2008,24.9,Starosna dob
2009,25.1,Starosna dob
2010,25.4,Starosna dob
2011,25.6,Starosna dob
2012,25.7,Starosna dob
2013,26.1,Starosna dob
2014,26.2,Starosna dob
2015,26.4,Starosna dob
2016,26.3,Starosna dob
2017,26.7,Starosna dob
2018,26.7,Starosna dob
2019,26.8,Starosna dob
2020,26.9,Starosna dob
2021,27.1,Starosna dob
2022,27.2,Starosna dob
